Ticker	Name	Buy	Sell	OverBS	Date
71745	寶來PQ	1109	3146	-2037	2008-11-10
71683	寶來PM	1057	2470	-1413	2008-11-10
71756	永昌R5	344	1638	-1294	2008-11-10
71755	永昌R4	172	636	-464	2008-11-10
71782	寶來PV	284	681	-397	2008-11-10
71779	凱基P2	1195	1585	-390	2008-11-10
71680	寶來PJ	746	1132	-386	2008-11-10
5347	世界	0	311	-311	2008-11-10
71677	寶來PF	271	523	-252	2008-11-10
71747	寶來PS	654	847	-193	2008-11-10
71643	元大SX	0	160	-160	2008-11-10
3452	益通	16	166	-150	2008-11-10
6182	合晶	24	171	-147	2008-11-10
5483	中美晶	34	167	-133	2008-11-10
71697	康和W7	860	992	-132	2008-11-10
71786	寶來PZ	1474	1109	365	2008-11-10
71708	台証ST	344	0	344	2008-11-10
71787	寶來QA	690	546	144	2008-11-10
8933	愛地雅	141	0	141	2008-11-10
71743	寶來PN	456	328	128	2008-11-10
71730	大華PS	733	618	115	2008-11-10
71792	群益PT	502	390	112	2008-11-10
71382	寶來W6	106	0	106	2008-11-10
71797	凱基P3	547	443	104	2008-11-10
71604	金鼎PR	99	0	99	2008-11-10
71613	新壽U1	88	0	88	2008-11-10
71741	國泰Q8	96	21	75	2008-11-10
71804	台証TA	1338	1263	75	2008-11-10
71514	信證PE	57	0	57	2008-11-10
71788	寶來QB	557	505	52	2008-11-10
