Ticker	Name	Buy	Sell	OverBS	Date
6147	頎邦	456	1314	-858	2011-07-04
5347	世界	0	664	-664	2011-07-04
5355	佳總	0	662	-662	2011-07-04
8069	元太	0	570	-570	2011-07-04
4533	協易機	40	605	-565	2011-07-04
3265	台星科	0	526	-526	2011-07-04
8299	群聯	10	493	-483	2011-07-04
5425	台半	0	396	-396	2011-07-04
6261	久元	43	394	-351	2011-07-04
3556	禾瑞亞	0	250	-250	2011-07-04
3264	欣銓	0	247	-247	2011-07-04
1785	光洋科	0	200	-200	2011-07-04
6188	廣明	0	200	-200	2011-07-04
5371	中光電	260	450	-190	2011-07-04
8054	安國	0	187	-187	2011-07-04
8240	華宏	0	153	-153	2011-07-04
6279	胡連	62	138	-76	2011-07-04
4107	邦特	0	75	-75	2011-07-04
4138	曜亞	0	50	-50	2011-07-04
3152	璟德	0	42	-42	2011-07-04
3441	聯一光	0	30	-30	2011-07-04
5609	中菲行	0	30	-30	2011-07-04
6138	茂達	0	30	-30	2011-07-04
6223	旺矽	0	26	-26	2011-07-04
3068	美磊	0	20	-20	2011-07-04
4909	新復興	0	20	-20	2011-07-04
3582	凌耀	0	12	-12	2011-07-04
1565	精華	0	5	-5	2011-07-04
5349	先豐	1468	0	1468	2011-07-04
6008	凱基證	1100	0	1100	2011-07-04
8942	森鉅	700	0	700	2011-07-04
3211	順達	623	0	623	2011-07-04
6121	新普	787	250	537	2011-07-04
3454	晶睿	450	36	414	2011-07-04
8044	網家	305	0	305	2011-07-04
4729	熒茂	300	0	300	2011-07-04
6244	茂迪	401	165	236	2011-07-04
4523	永彰	180	0	180	2011-07-04
5530	龍巖	218	54	164	2011-07-04
3691	碩禾	93	0	93	2011-07-04
8096	擎亞	80	0	80	2011-07-04
5483	中美晶	245	166	79	2011-07-04
5205	漢康	50	0	50	2011-07-04
8383	千附	40	0	40	2011-07-04
4102	永日	30	0	30	2011-07-04
6195	詩肯	26	0	26	2011-07-04
