Ticker	Name	Buy	Sell	OverBS	Date
5371	中光電	627000	2655000	-2028000	2013-07-29
6147	頎邦	483000	1348000	-865000	2013-07-29
8069	元太	0	771000	-771000	2013-07-29
5425	台半	0	694000	-694000	2013-07-29
3105	穩懋	3000	609000	-606000	2013-07-29
1795	美時	0	441000	-441000	2013-07-29
5347	世界	1286000	1680000	-394000	2013-07-29
3260	威剛	160000	489000	-329000	2013-07-29
6188	廣明	79000	385000	-306000	2013-07-29
6015	宏遠證	0	252000	-252000	2013-07-29
8299	群聯	330000	575000	-245000	2013-07-29
8054	安國	7000	209000	-202000	2013-07-29
5443	均豪	6000	168000	-162000	2013-07-29
3508	位速	46000	182000	-136000	2013-07-29
1781	合世	0	133000	-133000	2013-07-29
3582	凌耀	0	132000	-132000	2013-07-29
6104	創惟	0	132000	-132000	2013-07-29
4707	磐亞	0	121000	-121000	2013-07-29
8044	網家	745000	856000	-111000	2013-07-29
3264	欣銓	52000	153000	-101000	2013-07-29
707769	國票QC	0	100000	-100000	2013-07-29
6290	良維	14000	112000	-98000	2013-07-29
6105	瑞傳	24000	120000	-96000	2013-07-29
1558	伸興	10000	104000	-94000	2013-07-29
3548	兆利	1000	92000	-91000	2013-07-29
3555	擎泰	0	83000	-83000	2013-07-29
4947	F-昂寶	0	81000	-81000	2013-07-29
3234	光環	1000	77000	-76000	2013-07-29
4927	F-泰鼎	41000	113000	-72000	2013-07-29
6143	振曜	0	72000	-72000	2013-07-29
6261	久元	0	70000	-70000	2013-07-29
3556	禾瑞亞	1000	70000	-69000	2013-07-29
4973	廣穎	18000	86000	-68000	2013-07-29
4971	F-IET	53000	113000	-60000	2013-07-29
4966	F-譜瑞	0	55000	-55000	2013-07-29
8086	宏捷科	0	53000	-53000	2013-07-29
6194	育富	82000	134000	-52000	2013-07-29
708037	凱基U9	0	50000	-50000	2013-07-29
8996	高力	0	50000	-50000	2013-07-29
1565	精華	32000	79000	-47000	2013-07-29
5426	振發	0	43000	-43000	2013-07-29
3630	新鉅科	2000	44000	-42000	2013-07-29
5511	德昌	0	42000	-42000	2013-07-29
3527	聚積	2000	43000	-41000	2013-07-29
4965	商店街	0	40000	-40000	2013-07-29
5274	信驊	8000	48000	-40000	2013-07-29
3452	益通	6000	45000	-39000	2013-07-29
5512	力麒	0	38000	-38000	2013-07-29
6245	立端	0	37000	-37000	2013-07-29
3362	先進光	2000	37000	-35000	2013-07-29
3191	和進	9000	42000	-33000	2013-07-29
8935	邦泰	1000	33000	-32000	2013-07-29
3089	展成	2000	33000	-31000	2013-07-29
5536	聖暉	0	30000	-30000	2013-07-29
8406	F-金可	39000	68000	-29000	2013-07-29
3587	閎康	1000	29000	-28000	2013-07-29
6016	康和證	0	28000	-28000	2013-07-29
4712	南璋	0	27000	-27000	2013-07-29
5483	中美晶	23000	50000	-27000	2013-07-29
1595	川寶	1000	27000	-26000	2013-07-29
3551	世禾	4000	30000	-26000	2013-07-29
3491	昇達科	0	25000	-25000	2013-07-29
4909	新復興	4000	29000	-25000	2013-07-29
4745	F-合富	0	24000	-24000	2013-07-29
3646	艾恩特	1000	24000	-23000	2013-07-29
5904	寶雅	189000	211000	-22000	2013-07-29
6195	詩肯	1000	23000	-22000	2013-07-29
8937	合騏	0	22000	-22000	2013-07-29
2724	F-富驛	7000	28000	-21000	2013-07-29
3163	波若威	0	21000	-21000	2013-07-29
4743	合一	4000	25000	-21000	2013-07-29
3388	崇越電	0	20000	-20000	2013-07-29
4123	晟德	2000	22000	-20000	2013-07-29
3310	佳穎	0	19000	-19000	2013-07-29
3266	昇陽	3000	21000	-18000	2013-07-29
6022	大眾證	0	18000	-18000	2013-07-29
8042	金山電	15000	33000	-18000	2013-07-29
3483	力致	0	17000	-17000	2013-07-29
3498	陽程	1000	18000	-17000	2013-07-29
3531	先益	1000	18000	-17000	2013-07-29
5324	士開	21000	38000	-17000	2013-07-29
6187	萬潤	0	17000	-17000	2013-07-29
4103	百略	0	16000	-16000	2013-07-29
5903	全家	12000	28000	-16000	2013-07-29
8354	冠郝	2000	18000	-16000	2013-07-29
5475	德宏	3000	18000	-15000	2013-07-29
4120	友華	2000	16000	-14000	2013-07-29
6509	聚和	0	14000	-14000	2013-07-29
1777	生泰	0	13000	-13000	2013-07-29
3373	熱映	0	13000	-13000	2013-07-29
3662	樂陞	10000	23000	-13000	2013-07-29
1788	杏昌	0	12000	-12000	2013-07-29
8085	福華	0	12000	-12000	2013-07-29
8183	精星	0	12000	-12000	2013-07-29
5312	寶島科	21000	32000	-11000	2013-07-29
1742	台蠟	0	11000	-11000	2013-07-29
4432	銘旺實	1000	12000	-11000	2013-07-29
4527	方土霖	0	11000	-11000	2013-07-29
4944	兆遠	0	11000	-11000	2013-07-29
5278	尚凡	0	11000	-11000	2013-07-29
4401	東隆興	657000	34000	623000	2013-07-29
6244	茂迪	750000	422000	328000	2013-07-29
70778P	元富U1	320000	5000	315000	2013-07-29
6274	台燿	300000	16000	284000	2013-07-29
6121	新普	355000	80000	275000	2013-07-29
708076	群益S7	219000	0	219000	2013-07-29
5466	泰林	211000	2000	209000	2013-07-29
5490	同亨	174000	0	174000	2013-07-29
6163	華電網	173000	0	173000	2013-07-29
5213	亞昕	159000	2000	157000	2013-07-29
5349	先豐	150000	0	150000	2013-07-29
3691	碩禾	132000	2000	130000	2013-07-29
9946	三發	132000	17000	115000	2013-07-29
5508	永信建	113000	0	113000	2013-07-29
4736	泰博	114000	6000	108000	2013-07-29
5351	鈺創	105000	0	105000	2013-07-29
708629	國泰Y6	105000	0	105000	2013-07-29
5326	漢磊	96000	0	96000	2013-07-29
1580	新麥	95000	2000	93000	2013-07-29
5356	協益	177000	85000	92000	2013-07-29
709043	日盛V2	90000	0	90000	2013-07-29
4402	福大	76000	1000	75000	2013-07-29
8080	奧斯特	75000	0	75000	2013-07-29
3325	旭品	80000	9000	71000	2013-07-29
3303	岱稜	68000	1000	67000	2013-07-29
3088	艾訊	65000	1000	64000	2013-07-29
6138	茂達	101000	38000	63000	2013-07-29
708446	永豐QC	61000	0	61000	2013-07-29
4912	F-聯德	53000	0	53000	2013-07-29
5530	龍巖	90000	37000	53000	2013-07-29
5529	志嘉	58000	6000	52000	2013-07-29
2729	瓦城	49000	0	49000	2013-07-29
5820	日盛金	47000	0	47000	2013-07-29
6182	合晶	41000	2000	39000	2013-07-29
5009	榮剛	52000	15000	36000	2013-07-29
5505	和旺	237000	201000	36000	2013-07-29
4974	亞泰	42000	8000	34000	2013-07-29
8383	千附	34000	0	34000	2013-07-29
3689	湧德	61000	27000	33000	2013-07-29
5230	雷笛克	49000	16000	33000	2013-07-29
3631	晟楠	48000	18000	30000	2013-07-29
1815	富喬	35000	6000	29000	2013-07-29
5489	彩富	35000	6000	29000	2013-07-29
6146	耕興	65000	37000	28000	2013-07-29
3068	美磊	26000	0	26000	2013-07-29
3211	順達	113000	87000	26000	2013-07-29
708108	凱基W4	25000	0	25000	2013-07-29
708238	T3元大	25000	0	25000	2013-07-29
4533	協易機	25000	1000	24000	2013-07-29
70808P	國泰Z2	24000	0	24000	2013-07-29
1785	光洋科	50000	27000	23000	2013-07-29
3317	尼克森	22000	0	22000	2013-07-29
1784	訊聯	21000	0	21000	2013-07-29
5905	南仁湖	50000	29000	21000	2013-07-29
5410	國眾	20000	0	20000	2013-07-29
6264	德士通	20000	0	20000	2013-07-29
8076	伍豐	21000	1000	20000	2013-07-29
9950	萬國通	20000	0	20000	2013-07-29
8088	品安	21000	5000	16000	2013-07-29
708772	日盛S2	15000	0	15000	2013-07-29
3363	上詮	14000	0	14000	2013-07-29
4121	優盛	14000	0	14000	2013-07-29
4987	科誠	14000	0	14000	2013-07-29
6180	橘子	14000	0	14000	2013-07-29
3522	宏森	13000	0	13000	2013-07-29
3529	力旺	40000	27000	13000	2013-07-29
3624	光頡	13000	0	13000	2013-07-29
