Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2015-01-08	1256	215	215.5	213	213	21000	4500500	213
2015-01-08	1258	24.8	24.8	24.8	24.8	7000	173600	24.8
2015-01-08	1259	74.2	74.2	73.2	73.3	75000	5525000	73.3
2015-01-08	1333	9.33	9.51	9.33	9.42	627000	5901920	9.42
2015-01-08	1336	14.1	14.35	14.1	14.1	151000	2142750	14.1
2015-01-08	1565	518	518	505	513	477000	243977000	513
2015-01-08	1566	22.1	22.1	21.7	21.8	552000	12083900	21.8
2015-01-08	1569	22.5	22.9	21.9	22.2	915000	20600150	22.2
2015-01-08	1570	14.8	15.05	14.8	15.05	150000	2242000	15.05
2015-01-08	1580	192.5	192.5	190	190	21000	4001500	190
2015-01-08	1584	11.45	11.55	11.35	11.45	79000	902000	11.45
2015-01-08	1586	32.45	32.75	31.2	31.6	226000	7169350	31.6
2015-01-08	1591	40	41	38	39	36000	1419550	39
2015-01-08	1593	42.5	42.7	42.2	42.2	71000	3020350	42.2
2015-01-08	1595	83	83.7	83	83	152000	12661000	83
2015-01-08	1597	42.55	42.75	41.7	41.75	60000	2536400	41.75
2015-01-08	1599	39.8	39.9	39.15	39.5	48000	1898100	39.5
2015-01-08	1742	27.5	27.65	27	27.35	128000	3482900	27.35
2015-01-08	1752	35.8	35.85	34.25	34.8	1128000	39167100	34.8
2015-01-08	1777	69.4	69.4	68.5	69.4	47000	3241900	69.4
2015-01-08	1781	26	26	25.3	25.3	143000	3638350	25.3
2015-01-08	1784	39.9	39.9	39.4	39.45	123000	4863350	39.45
2015-01-08	1785	25.25	25.8	25.2	25.2	1756000	44794350	25.2
2015-01-08	1787	28.7	28.7	28.1	28.15	499000	14163550	28.15
2015-01-08	1788	94.5	94.6	94	94.4	141000	13302200	94.4
2015-01-08	1795	101.5	101.5	95.3	97.6	6328000	617742500	97.6
2015-01-08	1799	41.5	41.5	39.7	40.1	452000	18154450	40.1
2015-01-08	1813	33.8	33.9	33	33.45	109000	3641300	33.45
2015-01-08	1815	11.4	11.5	11.4	11.45	610000	6981600	11.45
2015-01-08	2035	41.25	41.9	40.5	40.5	26000	1060800	40.5
2015-01-08	2061	19.8	20.8	19.7	20.8	794000	16292550	20.8
2015-01-08	2063	29.5	29.95	29.5	29.95	10000	297500	29.95
2015-01-08	2064	21.7	21.75	21.4	21.6	329000	7101200	21.6
2015-01-08	2066	109.5	109.5	109.5	109.5	109000	11935500	109.5
2015-01-08	2067	26.7	26.7	26.05	26.2	101000	2664750	26.2
2015-01-08	2221	18.85	18.85	18.6	18.65	97000	1812200	18.65
2015-01-08	2230	15.1	15.45	15.1	15.3	15000	228050	15.3
2015-01-08	2233	84.5	85.5	84.5	84.8	363000	30867300	84.8
2015-01-08	2235	92.4	95.7	91.5	95.7	338000	31999700	95.7
2015-01-08	2596	17.9	17.9	17.7	17.9	41000	730400	17.9
2015-01-08	2636	37.3	38.1	36.85	37.1	3193000	119293600	37.1
2015-01-08	2640	112	113	110	110.5	154000	17156000	110.5
2015-01-08	2641	12.25	12.3	11.8	12	1632000	19817950	12
2015-01-08	2718					0	0	
2015-01-08	2719	24.4	24.55	24.15	24.35	58000	1411700	24.35
2015-01-08	2724	28.4	28.65	28.4	28.6	16000	455650	28.6
2015-01-08	2726	40.2	40.2	40	40	89000	3564050	40
2015-01-08	2729	260	263	260	260.5	92000	23973000	260.5
2015-01-08	2734	41.85	41.85	41.6	41.8	52000	2168250	41.8
2015-01-08	2916	17.9	18.1	17.9	18.1	12000	215800	18.1
2015-01-08	2924	74	74.1	73.5	73.9	96000	7072700	73.9
2015-01-08	2926	173	173	172	172.5	28000	4827000	172.5
2015-01-08	3064	31.3	32.15	31.25	31.6	126000	3981150	31.6
2015-01-08	3066	9	9.47	9	9.47	17000	156320	9.47
2015-01-08	3067	21.9	22.6	21.9	22.6	144000	3249250	22.6
2015-01-08	3068	34.1	34.15	33.7	33.75	38000	1292000	33.75
2015-01-08	3071	9.3	9.65	9.26	9.26	1237000	11655970	9.26
