Adj Close	Close	Date	High	Low	Open	Ticker	Volume
45.12	45.12	2020-11-11	45.32	45.06	45.31	00679B	61949400
47.03	47.03	2020-11-11	47.37	47.0	47.37	00687B	11162930
38.43	38.43	2020-11-11	38.44	38.43	38.43	00694B	11682740
39.4	39.4	2020-11-11	39.43	39.38	39.4	00695B	12217040
47.07	47.07	2020-11-11	47.27	46.92	47.27	00696B	27163970
41.89	41.89	2020-11-11	41.96	41.87	41.96	00697B	6661770
19.45	19.45	2020-11-11	19.48	19.37	19.37	00718B	10078280
30.84	30.84	2020-11-11	30.84	30.8	30.8	00719B	5609600
45.45	45.45	2020-11-11	45.65	45.44	45.65	00720B	24591110
44.9	44.9	2020-11-11	44.9	44.69	44.8	00721B	23675870
48.34	48.34	2020-11-11	48.56	48.34	48.56	00722B	9436900
45.01	45.01	2020-11-11	45.11	44.97	45.11	00723B	4902410
44.03	44.03	2020-11-11	44.11	44.0	44.11	00724B	4975340
44.15	44.15	2020-11-11	44.2	44.12	44.2	00725B	4986960
44.25	44.25	2020-11-11	44.3	44.25	44.3	00726B	4469300
38.17	38.17	2020-11-11	38.2	38.17	38.2	00727B	3893370
20.76	20.76	2020-11-11	20.78	20.75	20.77	00734B	20817450
48.28	48.28	2020-11-11	48.28	48.28	48.28	00740B	14484000
37.66	37.66	2020-11-11	37.68	37.65	37.66	00741B	9151690
40.9	40.9	2020-11-11	40.9	40.8	40.8	00744B	4294100
39.64	39.64	2020-11-11	39.85	39.64	39.85	00745B	2428550
46.56	46.56	2020-11-11	46.58	46.5	46.58	00746B	10370990
50.35	50.35	2020-11-11	50.35	50.3	50.3	00747B	5538000
41.04	41.04	2020-11-11	41.04	41.02	41.02	00748B	4309100
46.7	46.7	2020-11-11	46.7	46.7	46.7	00749B	4670000
46.45	46.45	2020-11-11	46.45	46.45	46.45	00750B	4645000
47.19	47.19	2020-11-11	47.55	47.1	47.55	00751B	45669800
48.19	48.19	2020-11-11	48.19	48.19	48.19	00754B	4819000
46.09	46.09	2020-11-11	46.16	46.07	46.07	00755B	8758250
49.13	49.13	2020-11-11	49.17	49.12	49.17	00756B	5060460
60.5	60.5	2020-11-11	60.5	60.4	60.4	00758B	6160950
73.85	73.85	2020-11-11	73.9	73.8	73.8	00759B	15287900
67.95	67.95	2020-11-11	68.0	67.95	68.0	00760B	10537450
48.21	48.21	2020-11-11	48.7	48.21	48.7	00761B	5207990
47.23	47.23	2020-11-11	47.9	47.18	47.9	00764B	5338530
39.56	39.56	2020-11-11	39.56	39.56	39.56	00765B	3956000
74.85	74.85	2020-11-11	75.45	74.85	75.45	00768B	35172600
46.93	46.93	2020-11-11	47.3	46.93	47.3	00772B	14539610
47.62	47.62	2020-11-11	47.7	47.61	47.7	00773B	10530800
45.97	45.97	2020-11-11	45.97	45.97	45.97	00777B	4597000
47.5	47.5	2020-11-11	47.5	47.5	47.5	00778B	4845000
47.9	47.9	2020-11-11	47.9	47.9	47.9	00779B	4790000
42.45	42.45	2020-11-11	42.45	42.45	42.45	00780B	4245000
45.96	45.96	2020-11-11	46.18	45.96	46.18	00781B	4734420
44.57	44.57	2020-11-11	44.8	44.5	44.8	00782B	4898170
38.9	38.9	2020-11-11	38.9	38.9	38.9	00784B	3890000
45.29	45.29	2020-11-11	45.38	45.29	45.38	00785B	7024700
44.1	44.1	2020-11-11	44.2	44.1	44.15	00786B	11922060
44.81	44.81	2020-11-11	45.04	44.68	45.04	00787B	54682700
43.36	43.36	2020-11-11	43.45	43.32	43.33	00788B	64201850
68.5	68.5	2020-11-11	68.95	68.5	68.95	00789B	13525850
66.5	66.5	2020-11-11	66.5	66.4	66.4	00790B	6647500
57.6	57.6	2020-11-11	57.75	57.6	57.75	00791B	17310000
45.08	45.08	2020-11-11	45.5	45.08	45.5	00792B	1811600
44.55	44.55	2020-11-11	45.05	44.54	45.05	00793B	2056180
39.29	39.29	2020-11-11	39.29	39.2	39.2	00794B	3998510
45.54	45.54	2020-11-11	46.1	45.51	46.1	00795B	12548200
39.01	39.01	2020-11-11	39.02	38.96	38.96	00796B	8226210
44.17	44.17	2020-11-11	44.23	43.83	44.23	00799B	4892870
37.62	37.62	2020-11-11	37.64	37.62	37.64	00831B	9785400
46.3	46.3	2020-11-11	46.3	46.3	46.3	00832B	3472500
----	----	2020-11-11	----	----	----	00833B	0
44.4	44.4	2020-11-11	44.4	44.4	44.4	00834B	4440000
42.58	42.58	2020-11-11	42.68	42.52	42.68	00836B	5023640
38.7	38.7	2020-11-11	38.7	38.7	38.7	00838B	3870000
43.68	43.68	2020-11-11	43.84	43.68	43.84	00839B	4455680
42.03	42.03	2020-11-11	42.03	42.03	42.03	00840B	4203000
42.42	42.42	2020-11-11	42.46	42.42	42.46	00841B	4284460
42.5	42.5	2020-11-11	42.72	42.5	42.72	00842B	5527970
38.56	38.56	2020-11-11	38.67	38.56	38.67	00843B	3894670
42.38	42.38	2020-11-11	42.38	42.38	42.38	00844B	84760
38.52	38.52	2020-11-11	38.57	38.52	38.57	00845B	7752520
39.29	39.29	2020-11-11	39.29	39.29	39.29	00846B	7858000
36.89	36.89	2020-11-11	37.0	36.84	37.0	00847B	9810140
39.35	39.35	2020-11-11	39.35	39.31	39.31	00848B	8853150
37.77	37.77	2020-11-11	37.77	37.7	37.77	00849B	8006430
----	----	2020-11-11	----	----	----	00853B	0
40.16	40.16	2020-11-11	40.19	40.15	40.15	00854B	1888710
36.39	36.39	2020-11-11	36.39	36.37	36.37	00855B	1819440
37.49	37.49	2020-11-11	37.49	37.49	37.49	00856B	3749000
40.21	40.21	2020-11-11	40.34	40.21	40.33	00857B	4141970
23.11	23.11	2020-11-11	23.15	22.97	23.07	00858	3117410
36.96	36.96	2020-11-11	36.96	36.96	36.96	00859B	3696000
38.39	38.39	2020-11-11	38.41	38.39	38.4	00860B	3915810
40.83	40.83	2020-11-11	41.12	40.83	41.12	00862B	9651740
41.12	41.12	2020-11-11	41.19	41.12	41.19	00863B	8681250
37.57	37.57	2020-11-11	37.57	37.57	37.57	00864B	7889700
41.55	41.55	2020-11-11	41.55	41.55	41.55	00867B	83100
38.2	38.2	2020-11-11	38.2	38.2	38.2	00868B	3820000
39.68	39.68	2020-11-11	39.7	39.68	39.7	00869B	4009680
41.72	41.72	2020-11-11	41.84	41.7	41.84	00870B	9304320
39.68	39.68	2020-11-11	39.7	39.44	39.44	00871B	38611000
38.47	38.47	2020-11-11	38.47	38.47	38.47	00872B	3847000
38.2	38.2	2020-11-11	38.2	38.2	38.2	00873B	3820000
38.8	38.8	2020-11-11	38.86	38.8	38.86	00874B	3957720
14.52	14.52	2020-11-11	14.75	14.48	14.71	00877	96587650
38.46	38.46	2020-11-11	38.46	38.21	38.21	00879B	4610200
38.6	38.6	2020-11-11	38.6	38.28	38.28	00880B	3936560
59.4	59.4	2020-11-11	59.4	59.0	59.0	1240	3606000
14.9	14.9	2020-11-11	14.9	14.0	14.0	1258	1513350
68.4	68.4	2020-11-11	68.7	68.4	68.4	1259	753300
250.0	250.0	2020-11-11	251.5	248.0	250.0	1264	12520500
130.0	130.0	2020-11-11	132.0	129.5	132.0	1268	2995000
22.1	22.1	2020-11-11	22.15	20.3	20.3	1336	171502050
282.5	282.5	2020-11-11	285.0	275.0	276.5	1565	192339500
28.45	28.45	2020-11-11	28.6	27.85	27.85	1569	14455500
13.0	13.0	2020-11-11	13.0	12.9	12.95	1570	271750
82.8	82.8	2020-11-11	83.2	81.2	81.3	1580	25430000
9.91	9.91	2020-11-11	9.91	9.82	9.87	1584	1611690
40.1	40.1	2020-11-11	40.45	39.5	39.55	1586	26721800
19.15	19.15	2020-11-11	19.65	19.05	19.65	1591	582250
60.7	60.7	2020-11-11	62.6	60.7	62.6	1593	8666500
29.05	29.05	2020-11-11	29.25	29.0	29.25	1595	2094100
77.8	77.8	2020-11-11	78.2	77.1	78.0	1597	10557800
32.6	32.6	2020-11-11	32.9	32.35	32.75	1599	3320900
21.3	21.3	2020-11-11	21.7	20.45	20.55	1742	3322050
39.2	39.2	2020-11-11	39.8	38.8	39.55	1752	21678250
75.0	75.0	2020-11-11	75.0	74.5	74.5	1777	821400
28.8	28.8	2020-11-11	30.05	28.2	30.0	1781	50328600
37.25	37.25	2020-11-11	37.3	36.35	36.35	1784	4067200
45.2	45.2	2020-11-11	45.35	44.55	44.7	1785	343377500
117.5	117.5	2020-11-11	117.5	117.0	117.5	1788	7976500
20.95	20.95	2020-11-11	21.05	20.95	21.05	1796	126100
20.3	20.3	2020-11-11	21.5	20.1	20.75	1799	17596150
19.25	19.25	2020-11-11	19.3	19.15	19.3	1813	749000
10.15	10.15	2020-11-11	10.15	10.1	10.1	1815	8174950
37.5	37.5	2020-11-11	37.5	37.5	37.5	2035	750000
11.4	11.4	2020-11-11	11.4	11.4	11.4	2061	285000
31.2	31.2	2020-11-11	31.25	30.7	31.0	2063	587800
13.05	13.05	2020-11-11	13.05	13.05	13.05	2064	39150
44.75	44.75	2020-11-11	44.85	44.0	44.0	2065	8814100
52.6	52.6	2020-11-11	52.7	52.4	52.4	2066	421200
8.8	8.8	2020-11-11	8.98	8.8	8.98	2067	220180
24.5	24.5	2020-11-11	24.5	23.8	24.1	2070	288450
