Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2021-09-22	00679B	42.38	42.38	42.25	42.26	342000	42.26
2021-09-22	00687B	44.16	44.28	44.16	44.22	74000	44.22
2021-09-22	00694B	37.11	37.16	37.11	37.15	117000	37.15
2021-09-22	00695B	37.22	37.29	37.22	37.29	128000	37.29
2021-09-22	00696B	44.07	44.15	44.03	44.1	172000	44.1
2021-09-22	00697B	39.39	39.51	39.39	39.51	128000	39.51
2021-09-22	00718B	19.3	19.44	19.3	19.39	223000	19.39
2021-09-22	00719B	29.89	29.92	29.89	29.92	108000	29.92
2021-09-22	00720B	44.98	45.0	44.88	44.98	76000	44.98
2021-09-22	00721B	44.55	44.56	44.51	44.54	185000	44.54
2021-09-22	00722B	48.14	48.28	48.14	48.2	112000	48.2
2021-09-22	00723B	43.36	43.37	43.36	43.37	103000	43.37
2021-09-22	00724B	42.86	42.86	42.85	42.86	110000	42.86
2021-09-22	00725B	44.8	44.93	44.8	44.93	102000	44.93
2021-09-22	00726B	42.29	42.29	42.29	42.29	100000	42.29
2021-09-22	00727B	38.15	38.19	38.12	38.15	132000	38.15
2021-09-22	00734B	19.9	19.9	19.8	19.86	1010000	19.86
2021-09-22	00740B	48.42	48.49	48.4	48.49	103000	48.49
2021-09-22	00741B	37.25	37.38	37.22	37.27	136000	37.27
2021-09-22	00744B	41.61	41.61	41.61	41.61	100000	41.61
2021-09-22	00745B	40.42	40.42	40.42	40.42	100000	40.42
2021-09-22	00746B	44.86	44.86	44.79	44.82	118000	44.82
2021-09-22	00747B	51.3	51.35	51.25	51.35	106000	51.35
2021-09-22	00748B	41.31	41.31	41.31	41.31	100000	41.31
2021-09-22	00749B	43.15	43.15	43.08	43.08	157000	43.08
2021-09-22	00750B	44.21	44.21	44.21	44.21	100000	44.21
2021-09-22	00751B	45.38	45.43	45.28	45.39	96000	45.39
2021-09-22	00754B	46.98	46.99	46.98	46.99	103000	46.99
2021-09-22	00755B	44.65	44.78	44.65	44.73	113000	44.73
2021-09-22	00756B	44.94	45.06	44.75	44.8	183000	44.8
2021-09-22	00758B	63.25	63.3	63.25	63.3	103000	63.3
2021-09-22	00759B	71.0	71.05	71.0	71.05	107000	71.05
2021-09-22	00760B	65.4	65.4	65.4	65.4	111000	65.4
2021-09-22	00761B	46.62	46.8	46.62	46.8	104000	46.8
2021-09-22	00764B	44.19	44.32	44.19	44.32	174000	44.32
2021-09-22	00765B	39.45	39.45	39.45	39.45	100000	39.45
2021-09-22	00768B	70.5	70.85	70.5	70.85	262000	70.85
2021-09-22	00772B	44.75	44.84	44.75	44.8	675000	44.8
2021-09-22	00773B	45.71	45.83	45.71	45.78	214000	45.78
2021-09-22	00777B	44.23	44.23	44.23	44.23	100000	44.23
