Date	Ticker	Open	High	Low	Close	Volume
2020-05-11	00679B	50.00	50.05	49.76	49.81	588000
2020-05-11	00687B	52.30	52.30	51.90	52.05	185000
2020-05-11	00694B	40.56	40.56	40.45	40.45	307000
2020-05-11	00695B	42.15	42.17	42.00	42.00	396000
2020-05-11	00696B	52.10	52.10	51.85	51.90	489000
2020-05-11	00697B	44.72	44.72	44.65	44.66	205000
2020-05-11	00718B	19.84	19.84	19.75	19.75	580000
2020-05-11	00719B	32.27	32.27	32.20	32.20	106000
2020-05-11	00720B	42.99	43.00	42.79	42.80	499000
2020-05-11	00721B	45.62	45.62	45.38	45.38	190000
2020-05-11	00722B	47.94	47.94	47.03	47.05	487000
2020-05-11	00723B	45.50	45.50	44.71	44.79	172000
2020-05-11	00724B	42.87	42.87	42.01	42.09	161000
2020-05-11	00725B	41.70	41.70	41.25	41.25	183000
2020-05-11	00726B	41.17	41.17	41.06	41.06	104000
2020-05-11	00727B	38.04	38.04	38.03	38.03	102000
2020-05-11	00734B	20.05	20.07	20.02	20.04	1022000
2020-05-11	00740B	45.06	45.14	45.00	45.00	197000
2020-05-11	00741B	37.28	37.28	37.19	37.19	122000
2020-05-11	00744B	41.89	41.90	41.80	41.80	115000
2020-05-11	00745B	38.96	38.96	38.96	38.96	50000
2020-05-11	00746B	45.60	45.60	45.19	45.45	85000
2020-05-11	00747B	51.20	51.20	51.20	51.20	100000
2020-05-11	00748B	41.55	41.55	41.55	41.55	100000
2020-05-11	00749B	43.73	43.73	43.73	43.73	104000
2020-05-11	00750B	45.60	45.60	45.60	45.60	100000
2020-05-11	00751B	47.38	47.39	46.70	46.84	1069000
2020-05-11	00754B	49.38	49.38	48.41	48.46	105000
2020-05-11	00755B	47.43	47.43	46.53	46.56	300000
2020-05-11	00756B	46.59	46.59	46.18	46.23	122000
2020-05-11	00758B	57.00	57.00	56.75	56.75	128000
2020-05-11	00759B	73.40	73.50	73.40	73.50	101000
2020-05-11	00760B	62.30	62.30	61.90	62.00	108000
2020-05-11	00761B	47.73	47.74	47.55	47.55	121000
2020-05-11	00764B	52.80	52.80	52.60	52.60	106000
2020-05-11	00765B	39.93	39.93	39.93	39.93	100000
2020-05-11	00768B	82.00	82.00	82.00	82.00	100000
2020-05-11	00769B	59.75	59.75	59.75	59.75	100000
2020-05-11	00772B	46.58	46.63	46.30	46.58	775000
2020-05-11	00773B	45.90	45.90	45.41	45.43	783000
2020-05-11	00777B	45.83	45.83	45.62	45.62	101000
2020-05-11	00778B	44.87	44.87	44.87	44.87	300000
2020-05-11	00779B	53.20	53.20	53.20	53.20	100000
2020-05-11	00780B	42.43	42.44	42.35	42.35	147000
2020-05-11	00781B	45.75	45.75	45.74	45.74	102000
2020-05-11	00782B	46.05	46.05	45.32	45.32	106000
2020-05-11	00784B	40.23	40.30	40.23	40.30	140000
2020-05-11	00785B	42.84	42.84	42.84	42.84	100000
2020-05-11	00786B	42.41	42.44	42.37	42.37	21000
2020-05-11	00787B	44.29	44.64	44.29	44.61	26000
2020-05-11	00788B	43.74	43.74	43.51	43.52	125000
2020-05-11	00789B	68.55	68.55	67.95	67.95	121000
2020-05-11	00790B	63.95	63.95	63.95	63.95	100000
2020-05-11	00791B	58.60	58.60	58.60	58.60	100000
2020-05-11	00792B	44.34	44.39	44.34	44.38	126000
2020-05-11	00793B	45.16	45.16	44.89	44.91	117000
2020-05-11	00794B	40.34	40.34	40.34	40.34	101000
2020-05-11	00795B	50.25	50.25	49.93	49.95	265000
2020-05-11	00796B	39.91	39.91	39.74	39.74	283000
2020-05-11	00798B	42.25	42.25	42.12	42.12	145000
2020-05-11	00799B	44.37	44.39	44.29	44.31	115000
2020-05-11	00831B	39.76	39.76	39.76	39.76	50000
2020-05-11	00832B	51.25	51.25	51.25	51.25	50000
2020-05-11	00833B	49.00	49.00	48.99	48.99	100000
2020-05-11	00834B	42.40	42.40	42.39	42.39	100000
2020-05-11	00835B	43.00	43.00	43.00	43.00	2000
2020-05-11	00836B	41.78	41.78	41.59	41.59	102000
2020-05-11	00837B	35.20	35.20	34.93	35.00	115000
2020-05-11	00838B	39.57	39.57	39.57	39.57	100000
2020-05-11	00839B	43.00	43.00	43.00	43.00	100000
2020-05-11	00840B	41.90	41.90	41.90	41.90	100000
2020-05-11	00841B	42.45	42.45	42.45	42.45	100000
2020-05-11	00842B	40.30	40.36	40.30	40.36	52000
2020-05-11	00843B	39.64	39.66	39.60	39.60	54000
2020-05-11	00844B	40.08	40.17	40.08	40.17	3000
2020-05-11	00845B	35.93	35.96	35.92	35.96	217000
2020-05-11	00846B	38.91	38.91	38.87	38.87	201000
2020-05-11	00847B	38.00	38.01	37.65	37.68	414000
2020-05-11	00848B	37.67	37.67	37.66	37.66	212000
2020-05-11	00849B	38.64	38.64	38.58	38.60	211000
2020-05-11	00853B	37.31	37.31	37.17	37.18	8000
2020-05-11	00854B	39.00	39.33	39.00	39.02	139000
2020-05-11	00855B	35.48	35.49	35.43	35.43	108000
2020-05-11	00856B	39.42	39.42	39.42	39.42	100000
2020-05-11	00857B	44.23	44.25	44.23	44.25	101000
2020-05-11	00858	19.85	19.98	19.85	19.90	128000
2020-05-11	00859B	38.95	38.95	38.94	38.94	105000
2020-05-11	00860B	39.26	39.30	39.26	39.30	101000
2020-05-11	00862B	38.82	38.86	38.82	38.84	213000
2020-05-11	00863B	40.27	40.27	40.23	40.23	210000
2020-05-11	00864B	39.37	39.37	39.22	39.27	215000
2020-05-11	00867B	40.62	40.62	40.36	40.56	15000
2020-05-11	00868B	40.16	40.30	40.16	40.30	101000
2020-05-11	00869B	37.87	38.03	37.87	38.03	101000
2020-05-11	00870B	38.25	38.27	38.25	38.27	204000
2020-05-11	00871B	39.91	39.94	39.91	39.94	211000
2020-05-11	00872B	40.60	40.60	40.60	40.60	100000
2020-05-11	00873B	38.73	38.73	38.70	38.70	133000
2020-05-11	00874B	36.67	36.67	36.67	36.67	100000
2020-05-11	1240	52.80	52.90	52.50	52.80	18000
2020-05-11	1258	10.15	10.15	10.10	10.10	9000
2020-05-11	1259	68.00	68.70	67.20	68.10	35000
2020-05-11	1264	215.00	215.50	215.00	215.50	10000
2020-05-11	1268	125.00	129.50	124.00	128.50	164000
2020-05-11	1336	15.15	15.25	15.00	15.20	353000
2020-05-11	1565	365.00	385.00	360.50	380.00	513000
2020-05-11	1569	24.70	25.25	24.25	24.75	1414000
2020-05-11	1570	13.20	13.30	13.10	13.30	56000
2020-05-11	1580	90.10	91.50	90.10	91.00	94000
2020-05-11	1584	7.51	7.55	7.45	7.53	105000
2020-05-11	1586	39.55	39.70	38.85	39.10	1137000
2020-05-11	1591	20.50	20.85	20.00	20.00	47000
2020-05-11	1593	47.65	48.60	47.00	47.00	33000
2020-05-11	1595	33.60	36.80	33.60	36.30	306000
2020-05-11	1597	91.10	92.40	89.70	90.20	556000
2020-05-11	1599	31.00	32.10	30.90	31.00	66000
2020-05-11	1742	23.15	23.70	22.60	22.60	592000
2020-05-11	1752	44.50	44.60	43.00	43.80	1677000
2020-05-11	1777	82.80	83.20	82.00	82.80	169000
2020-05-11	1781	14.30	14.70	13.10	13.30	668000
2020-05-11	1784	42.55	43.20	39.00	39.05	3172000
2020-05-11	1785	20.20	21.10	20.10	20.55	4484000
2020-05-11	1788	107.00	107.50	107.00	107.50	18000
2020-05-11	1799	11.60	11.85	11.15	11.40	303000
2020-05-11	1813	21.10	21.20	20.65	20.90	183000
2020-05-11	1815	10.25	10.25	10.00	10.20	2174000
2020-05-11	2035	38.50	38.50	38.30	38.30	4000
2020-05-11	2061	8.38	8.38	7.80	8.17	54000
2020-05-11	2063	32.50	32.50	32.40	32.45	84000
2020-05-11	2064	11.55	11.55	11.50	11.50	85000
2020-05-11	2065	54.00	56.40	54.00	55.80	1088000
2020-05-11	2066	56.50	57.70	56.20	57.50	58000
2020-05-11	2067	8.83	8.83	8.65	8.78	23000
2020-05-11	2070	24.75	25.00	24.50	24.85	12000
2020-05-11	2221	25.00	25.70	25.00	25.30	201000
2020-05-11	2230	10.05	10.05	9.81	9.88	116000
2020-05-11	2235	44.20	44.65	44.20	44.65	27000
2020-05-11	2596	19.40	19.60	19.20	19.50	90000
2020-05-11	2640	76.60	78.00	76.60	77.30	167000
2020-05-11	2641	5.92	6.01	5.92	5.99	555000
2020-05-11	2643	42.50	43.30	42.45	42.95	432000
2020-05-11	2718	16.80	16.80	16.80	16.80	91000
2020-05-11	2719	7.66	7.99	7.41	7.63	15000
2020-05-11	2726	60.00	60.20	58.90	59.00	131000
2020-05-11	2729	229.50	231.00	228.00	229.50	87000
2020-05-11	2732	151.00	154.50	151.00	151.00	667000
2020-05-11	2734	9.60	9.60	9.16	9.57	9000
2020-05-11	2736	13.40	13.45	13.15	13.40	19000
2020-05-11	2740	13.50	13.50	13.50	13.50	1000
2020-05-11	2743	15.40	16.00	15.00	15.70	409000
2020-05-11	2745	15.50	16.50	15.50	16.45	44000
2020-05-11	2752	100.50	101.50	100.50	101.50	16000
2020-05-11	2916	16.95	16.95	16.85	16.95	46000
2020-05-11	2924	19.80	20.00	19.70	20.00	5000
2020-05-11	2926	86.00	87.20	85.50	85.90	19000
2020-05-11	2928	47.00	47.45	40.90	40.90	2086000
2020-05-11	2937	25.00	25.60	25.00	25.20	14000
2020-05-11	3064	14.50	14.50	13.20	14.40	138000
2020-05-11	3067	23.50	23.50	23.00	23.20	23000
2020-05-11	3071	17.95	18.00	17.80	17.85	367000
2020-05-11	3078	24.35	24.95	24.35	24.60	1930000
2020-05-11	3081	282.50	295.00	282.50	295.00	2506000
2020-05-11	3083	73.10	76.50	73.10	75.10	1401000
2020-05-11	3085	2.05	2.05	2.05	2.05	12000
2020-05-11	3088	54.10	54.70	54.10	54.50	197000
2020-05-11	3089	20.00	20.00	19.20	19.75	343000
2020-05-11	3092	41.75	42.95	41.75	42.55	351000
2020-05-11	3093	29.25	31.20	29.05	31.00	166000
2020-05-11	3095	1.88	1.94	1.88	1.94	2000
2020-05-11	3105	287.50	294.50	280.00	282.50	16173000
2020-05-11	3114	22.50	22.60	22.15	22.30	215000
2020-05-11	3115	9.34	9.40	9.30	9.33	12000
2020-05-11	3118	32.85	32.85	30.00	31.05	926000
2020-05-11	3122	11.50	12.20	11.50	12.20	577000
2020-05-11	3128	12.15	12.85	12.15	12.55	366000
2020-05-11	3131	229.00	246.00	227.00	245.00	3104000
2020-05-11	3141	21.40	22.15	21.30	22.15	912000
2020-05-11	3144	26.00	26.90	25.65	26.15	1406000
2020-05-11	3147	31.90	32.30	31.60	31.85	86000
2020-05-11	3152	326.00	344.00	318.50	318.50	1663000
2020-05-11	3162	9.60	9.68	9.05	9.68	115000
2020-05-11	3163	40.90	42.35	40.45	41.95	1843000
2020-05-11	3169	35.50	36.50	35.00	36.30	323000
2020-05-11	3171	17.70	17.70	17.45	17.50	130000
2020-05-11	3176	56.70	58.70	55.00	57.20	1707000
2020-05-11	3178	40.15	40.90	39.40	40.25	485000
2020-05-11	3188	14.10	14.15	14.10	14.15	11000
2020-05-11	3191	45.10	45.40	44.85	45.35	189000
2020-05-11	3202	19.00	19.50	18.80	18.85	1147000
2020-05-11	3205	41.70	43.25	41.70	42.10	119000
2020-05-11	3206	27.10	27.40	26.95	27.20	291000
