代碼,市場,漲停價
"1342",TSE,114.0
"1438",TSE,32.5
"1560",TSE,128.0
"1736",TSE,85.1
"2514",TSE,18.7
"3017",TSE,127.0
"4137",TSE,192.5
"4746",TSE,69.0
"5222",TSE,152.5
"6541",TSE,37.45
"6695",TSE,50.6
"6782",TSE,330.0
"8028",TSE,63.9
"8033",TSE,45.1
"1593",OTC,75.1
"3219",OTC,49.25
"3228",OTC,198.5
"3339",OTC,14.15
"3540",OTC,25.85
"3623",OTC,17.9
"4153",OTC,31.1
"4171",OTC,59.1
"6109",OTC,18.9
"6150",OTC,73.2
"6187",OTC,74.1
"6231",OTC,101.5
"6441",OTC,48.4
"6457",OTC,68.5
"6492",OTC,64.5
"6542",OTC,49.35
"6568",OTC,193.5
"6664",OTC,98.8
"6741",OTC,103.0
"6747",OTC,200.5
"6761",OTC,90.8
"6788",OTC,110.0
"8044",OTC,56.9
"8436",OTC,168.0
