Date	Ticker	Open	High	Low	Close	Volume
1994-06-24	0050	75.50	75.55	75.05	75.30	7669001
1994-06-24	0051	28.90	28.90	28.88	28.88	17100
1994-06-24	0052	48.05	48.13	47.87	47.87	100568
1994-06-24	0053	30.69	30.69	30.69	30.69	4000
1994-06-24	0054	19.74	19.75	19.73	19.73	3000
1994-06-24	0055	16.68	16.68	16.55	16.55	22000
1994-06-24	0056	24.20	24.20	23.98	24.03	15809373
1994-06-24	0057	45.71	45.90	45.63	45.63	20000
1994-06-24	0058	41.49	41.67	41.29	41.29	21000
1994-06-24	0059	41.77	41.77	41.49	41.49	12000
1994-06-24	0061	15.02	15.17	14.95	14.99	1123392
1994-06-24	006203	34.81	34.83	34.81	34.83	2000
1994-06-24	006204	48.33	48.33	48.33	48.33	1000
1994-06-24	006205	26.28	26.45	26.13	26.16	2414837
1994-06-24	006206	27.25	27.47	27.03	27.09	967787
1994-06-24	006207	19.06	19.26	18.97	19.02	204766
1994-06-24	006208	41.68	41.80	41.64	41.72	48585
1994-06-24	00625K	5.88	5.88	5.88	5.88	50000
1994-06-24	00631L	31.74	31.77	31.42	31.60	3273200
1994-06-24	00632R	13.27	13.34	13.24	13.30	109052056
1994-06-24	00633L	31.50	31.99	31.01	31.15	49133416
1994-06-24	00634R	7.94	8.01	7.90	7.97	975000
1994-06-24	00635U	18.62	18.68	18.62	18.67	466160
1994-06-24	00636	17.39	17.51	17.30	17.30	5017797
1994-06-24	00636K	5.65	5.65	5.64	5.64	200
1994-06-24	00637L	11.95	12.13	11.77	11.81	226641060
1994-06-24	00638R	16.07	16.16	15.95	16.11	281000
1994-06-24	00639	8.02	8.09	7.95	7.97	2598843
1994-06-24	00640L	19.18	19.34	19.00	19.08	1136000
1994-06-24	00641R	15.67	15.78	15.59	15.74	1052000
1994-06-24	00642U	16.09	16.09	15.96	15.97	12417843
1994-06-24	00643	10.16	10.22	10.03	10.08	754364
1994-06-24	00645	20.36	20.44	20.29	20.30	74337
1994-06-24	00646	24.12	24.14	23.85	23.85	365000
1994-06-24	00647L	27.41	27.41	27.00	27.08	250000
1994-06-24	00648R	14.29	14.29	14.22	14.29	2096000
1994-06-24	00649	19.61	19.66	19.36	19.36	21000
1994-06-24	00650L	26.44	26.83	26.09	26.21	150000
1994-06-24	00651R	9.09	9.16	9.05	9.13	1988000
1994-06-24	00652	22.38	22.40	22.28	22.30	18841
1994-06-24	00653L	28.10	28.40	28.00	28.01	263000
1994-06-24	00654R	14.50	14.61	14.46	14.61	273000
1994-06-24	00655L	22.58	23.07	22.35	22.45	25954000
1994-06-24	00656R	14.60	14.78	14.58	14.75	295000
1994-06-24	00657	26.19	26.19	26.08	26.11	23000
1994-06-24	00657K	8.52	8.52	8.52	8.52	100
1994-06-24	00658L	31.92	32.14	31.57	31.57	164000
1994-06-24	00659R	13.00	13.08	12.96	13.05	251000
1994-06-24	00660	22.04	22.04	22.04	22.04	2000
1994-06-24	00662	27.35	27.43	27.27	27.27	252653
1994-06-24	00663L	29.25	29.25	28.96	29.05	136000
1994-06-24	00664R	14.98	15.07	14.98	15.04	5309000
1994-06-24	00665L	24.92	25.31	24.38	24.44	357000
1994-06-24	00666R	14.44	14.52	14.30	14.46	655000
1994-06-24	00667	20.02	20.05	19.94	19.94	22000
1994-06-24	00668	25.57	25.63	25.50	25.55	226000
1994-06-24	00668K	8.31	8.31	8.31	8.31	100
1994-06-24	00669R	14.11	14.18	14.08	14.16	3417000
1994-06-24	00670L	26.32	26.45	26.12	26.17	1034000
1994-06-24	00671R	15.20	15.29	15.16	15.29	3166000
1994-06-24	00672L	13.71	13.72	13.51	13.53	86940000
1994-06-24	00673R	18.12	18.26	18.09	18.22	3936100
1994-06-24	00674R	20.14	20.14	20.09	20.09	272000
1994-06-24	00675L	12.68	12.68	12.54	12.59	261000
1994-06-24	00676R	8.12	8.16	8.11	8.13	2660000
1994-06-24	00677U	8.01	8.07	7.94	8.03	111722005
1994-06-24	00678	20.85	20.96	20.65	20.71	406000
1994-06-24	00680L	18.70	18.70	18.69	18.70	3000
1994-06-24	00681R	18.96	18.96	18.96	18.96	3000
1994-06-24	00682U	19.24	19.24	19.17	19.18	122000
1994-06-24	00683L	18.80	18.81	18.75	18.80	525000
1994-06-24	00684R	19.58	19.58	19.58	19.58	1000
1994-06-24	00685L	11.11	11.12	11.02	11.06	125000
1994-06-24	00686R	8.87	8.91	8.86	8.89	240000
1994-06-24	00688L	19.05	19.05	19.05	19.05	202000
1994-06-24	00689R	19.35	19.35	19.35	19.35	207000
1994-06-24	00690	19.63	19.63	19.50	19.54	381574
1994-06-24	00692	19.35	19.35	19.29	19.32	327672
1994-06-24	00693U	16.78	16.78	16.73	16.78	915000
1994-06-24	00700	19.51	19.51	19.15	19.15	137100
1994-06-24	00701	21.16	21.18	21.05	21.08	75694
1994-06-24	00702	19.95	20.06	19.92	19.97	136000
1994-06-24	00703	18.49	18.65	18.33	18.35	672000
1994-06-24	00706L	17.65	17.65	17.53	17.59	380000
1994-06-24	00708L	16.52	16.60	16.50	16.60	1341000
1994-06-24	00709	18.14	18.19	18.05	18.05	173189
1994-06-24	00710B	20.15	20.15	20.15	20.15	1000
1994-06-24	00711B	19.02	19.02	19.02	19.02	11000
1994-06-24	00712	17.94	18.09	17.94	18.07	118000
1994-06-24	00713	27.97	27.97	27.77	27.77	44000
1994-06-24	00714	19.02	19.02	18.81	18.81	150000
1994-06-24	00715L	18.35	18.35	17.97	17.97	184000
1994-06-24	00716R	18.39	18.39	18.32	18.33	18000
1994-06-24	00717	18.77	18.77	18.65	18.65	831833
1994-06-24	00728	17.70	17.71	17.64	17.70	992000
1994-06-24	00729R	20.68	20.77	20.68	20.72	608000
1994-06-24	00730	17.48	17.48	17.38	17.41	136000
1994-06-24	00731	49.00	49.00	48.72	48.72	4000
1994-06-24	00732	39.03	39.03	39.03	39.03	1000
1994-06-24	00733	15.47	15.47	15.37	15.37	209205
1994-06-24	00735	16.49	16.65	16.49	16.59	305000
1994-06-24	00736	18.06	18.14	18.01	18.01	306000
1994-06-24	00737	18.20	18.27	18.00	18.05	2427521
1994-06-24	00738U	17.41	17.43	17.39	17.39	158000
1994-06-24	00739	17.10	17.24	16.99	17.00	2202095
1994-06-24	00742	19.51	19.51	19.51	19.51	1000
1994-06-24	00743	17.39	17.55	17.27	17.34	311696
1994-06-24	00752	20.98	20.98	20.71	20.72	464100
1994-06-24	00753L	22.00	22.00	21.13	21.17	580000
1994-06-24	00757	18.30	18.45	18.29	18.30	207000
