Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2006-06-05	0015	9.16	9.16	9	9	98000	888430	9
2006-06-05	0050	54.3	54.3	52.3	52.45	6797000	362530700	52.45
2006-06-05	01001T	11	11	10.9	10.9	1416000	15463700	10.9
2006-06-05	01002T	10.42	10.52	10.31	10.33	4475000	46690750	10.33
2006-06-05	01003T	10.4	10.41	10.37	10.37	1709000	17761540	10.37
2006-06-05	01004T	10.43	10.49	10.42	10.42	1233000	12881580	10.42
2006-06-05	1101	25.8	25.95	24.4	24.5	13866235	351187395	24.5
2006-06-05	1101A					0	0	
2006-06-05	1102	24.4	24.75	24.1	24.15	6169930	151088853	24.15
2006-06-05	1103	18.35	18.5	17.25	17.25	6409115	113462581	17.25
2006-06-05	1104	11.15	11.25	10.9	10.9	750003	8273072	10.9
2006-06-05	1107	0.92	0.97	0.88	0.88	1059000	949790	0.88
2006-06-05	1108	8.65	8.65	8	8.11	1035438	8661761	8.11
2006-06-05	1109	11	11	10.3	10.35	983364	10293431	10.35
2006-06-05	1110	7.25	7.34	7.11	7.16	933652	6712335	7.16
2006-06-05	1201	12.7	13.15	12.1	12.15	14976564	190802051	12.15
2006-06-05	1203	10.7	10.95	10.5	10.5	475698	5082358	10.5
2006-06-05	1207	1.95	1.95	1.89	1.9	541078	1034457	1.9
2006-06-05	1210	12.75	12.8	12.5	12.5	1399238	17688097	12.5
2006-06-05	1213	15.3	15.65	14.8	14.8	138627	2074178	14.8
2006-06-05	1215	5.31	5.45	5.1	5.2	777823	4156461	5.2
2006-06-05	1216	24	24.9	23.5	23.85	23584540	572439851	23.85
2006-06-05	1217	6.99	6.99	6.6	6.7	916549	6225676	6.7
2006-06-05	1218	6.3	6.34	6	6.05	651694	4027027	6.05
2006-06-05	1219	5.3	5.34	5.05	5.17	266052	1377913	5.17
2006-06-05	1220	7.4	7.4	7.21	7.21	108000	787860	7.21
2006-06-05	1225	5.1	5.19	4.96	5.01	349000	1750070	5.01
2006-06-05	1227	15.5	15.55	15.25	15.25	654470	10090820	15.25
2006-06-05	1229	14.2	14.25	13.5	13.5	4317707	60445242	13.5
2006-06-05	1231	9.73	9.8	9.56	9.63	344207	3333550	9.63
2006-06-05	1232	18.2	18.35	18.2	18.3	33000	602300	18.3
2006-06-05	1233	31.2	31.2	30	30	230438	7027958	30
2006-06-05	1234	13.5	13.5	12.5	12.5	5052000	64789350	12.5
2006-06-05	1235	14	14	13.7	13.95	37219	514250	13.95
2006-06-05	1236	18.5	18.6	18.3	18.3	126250	2320299	18.3
2006-06-05	1301	49	49.4	48.05	48.1	12512623	609873136	48.1
2006-06-05	1303	45.5	46.05	44.55	44.55	10867756	493613556	44.55
2006-06-05	1304	9.4	9.46	9.1	9.12	2444008	22678616	9.12
2006-06-05	1305	7.82	7.93	7.3	7.35	1273427	9755534	7.35
2006-06-05	1307	18.05	18.05	17.65	17.7	41440	736292	17.7
2006-06-05	1308	13.25	13.3	12.85	12.85	708597	9268409	12.85
2006-06-05	1309	7.58	7.59	7.27	7.27	920938	6823456	7.27
2006-06-05	1310	13.45	13.65	13.1	13.1	3796295	50922007	13.1
2006-06-05	1311	20.8	20.95	19.5	19.5	1278879	25792625	19.5
2006-06-05	1312	7.81	7.95	7.65	7.65	2009249	15681045	7.65
2006-06-05	1312A	9.85	10	9.83	9.83	9000	88720	9.83
2006-06-05	1313	10.5	10.55	10	10	3836397	39147020	10
2006-06-05	1314	8	8.06	7.79	7.85	20959171	166726420	7.85
2006-06-05	1315	19.1	19.1	17.75	17.75	1186031	21529899	17.75
2006-06-05	1316	4.27	4.46	4.06	4.08	479600	2031920	4.08
2006-06-05	1319	37.4	37.4	35.5	35.55	505729	18424092	35.55
2006-06-05	1321	18.5	18.95	17.3	17.4	1205000	21788200	17.4
2006-06-05	1323	8.12	8.15	7.93	8.04	74000	596110	8.04
2006-06-05	1324	7.59	7.76	7.42	7.42	32000	241020	7.42
2006-06-05	1325	11.15	11.35	10.9	11.1	2175000	24328950	11.1
2006-06-05	1326	49.75	50.3	49.5	49.5	7895289	394350981	49.5
2006-06-05	1402	26	26.2	24.3	24.3	13391240	336856374	24.3
2006-06-05	1408	0.25	0.25	0.23	0.25	3457824	837395	0.25
2006-06-05	1409	6.5	6.6	6.15	6.26	6683055	42536941	6.26
2006-06-05	1410	7.61	7.61	7.26	7.28	236100	1747285	7.28
2006-06-05	1413	2.23	2.29	2.14	2.14	732949	1610280	2.14
2006-06-05	1414	4.35	4.35	4.06	4.09	911289	3812639	4.09
2006-06-05	1416	4.81	4.92	4.52	4.52	4735770	22032850	4.52
