Ticker	Name	Buy	Sell	OverBS	Date
04535	工銀LE	15798000	1768000	14030000	2006-11-22
04536	工銀LF	15871000	1849000	14022000	2006-11-22
04524	日盛58	15155000	1155000	14000000	2006-11-22
04528	日盛62	14196000	244000	13952000	2006-11-22
04529	日盛63	14008000	108000	13900000	2006-11-22
04532	日盛66	13915000	75000	13840000	2006-11-22
04537	工銀LG	14462000	695000	13767000	2006-11-22
04531	日盛65	13815000	82000	13733000	2006-11-22
04523	日盛57	14391000	1756000	12635000	2006-11-22
04538	日盛BY	12356000	558000	11798000	2006-11-22
04519	兆豐K7	9286000	3891000	5395000	2006-11-22
2449	京元電子	4879000	133000	4746000	2006-11-22
2377	微星	4142000	878000	3264000	2006-11-22
2883	開發金	2746000	24000	2722000	2006-11-22
04412	永豐8C	2782000	89000	2693000	2006-11-22
2515	中工	2500000	1000	2499000	2006-11-22
04152	日盛27	2223000	0	2223000	2006-11-22
3231	緯創	1987000	51000	1936000	2006-11-22
04088	永豐6D	2075000	205000	1870000	2006-11-22
03814	兆豐B3	1754000	0	1754000	2006-11-22
2356	英業達	1548000	198000	1350000	2006-11-22
03978	富邦CN	1637000	315000	1322000	2006-11-22
2376	技嘉	2328000	1011000	1317000	2006-11-22
04071	元大98	1567000	356000	1211000	2006-11-22
2834	臺企銀	1209000	0	1209000	2006-11-22
1201	味全	1535000	341000	1194000	2006-11-22
04359	永豐7Z	8219000	7050000	1169000	2006-11-22
03695	富邦BH	996000	1000	995000	2006-11-22
0050	元大台灣50	1146000	168000	978000	2006-11-22
2323	中環	1000000	25000	975000	2006-11-22
04176	康和CN	962000	1000	961000	2006-11-22
0052	富邦科技	1372000	414000	958000	2006-11-22
04095	元富KU	1179000	266000	913000	2006-11-22
2888	新光金	2169000	1278000	891000	2006-11-22
2363	矽統	1799000	937000	862000	2006-11-22
2311	日月光	1075000	227000	848000	2006-11-22
2547	日勝生	905000	66000	839000	2006-11-22
3033	威健	795000	0	795000	2006-11-22
04069	大華C9	1204000	411000	793000	2006-11-22
2492	華新科	1242000	464000	778000	2006-11-22
03857	元大83	949000	189000	760000	2006-11-22
03896	大華LC	945000	185000	760000	2006-11-22
03895	寶來B8	2133000	1379000	754000	2006-11-22
08002	寶來A5	713000	0	713000	2006-11-22
03813	兆豐B2	732000	20000	712000	2006-11-22
04269	日盛37	3123000	2420000	703000	2006-11-22
04017	兆豐E5	988000	288000	700000	2006-11-22
04415	永豐8F	2304000	1636000	668000	2006-11-22
2457	飛宏	915000	250000	665000	2006-11-22
03725	凱基2X	641000	0	641000	2006-11-22
2384	勝華	723000	120000	603000	2006-11-22
03859	富邦BZ	675000	86000	589000	2006-11-22
2353	宏碁	1374000	785000	589000	2006-11-22
5854	合庫	921000	341000	580000	2006-11-22
3057	喬鼎	624000	48000	576000	2006-11-22
04195	富邦DE	971000	400000	571000	2006-11-22
03987	統一CU	550000	0	550000	2006-11-22
04281	凱基4C	2478000	1953000	525000	2006-11-22
2382	廣達	591000	70000	521000	2006-11-22
04162	大華MB	516000	0	516000	2006-11-22
04169	工銀KW	615000	105000	510000	2006-11-22
04157	大華LW	2466000	1957000	509000	2006-11-22
1904	正隆	529000	29000	500000	2006-11-22
04005	國泰FZ	730000	233000	497000	2006-11-22
04194	富邦DD	1890000	1395000	495000	2006-11-22
3474	華亞科	2019000	1525000	494000	2006-11-22
2409	友達	792000	308000	484000	2006-11-22
2357	華碩	685000	214000	471000	2006-11-22
2104	國際中橡	660000	195000	465000	2006-11-22
04136	康和CG	487000	36000	451000	2006-11-22
03951	兆豐C7	547000	97000	450000	2006-11-22
03833	工銀KC	438000	0	438000	2006-11-22
03817	兆豐B6	534000	101000	433000	2006-11-22
3007	綠點	459000	39000	420000	2006-11-22
04006	國泰GA	419000	0	419000	2006-11-22
04137	康和CH	415000	0	415000	2006-11-22
6239	力成	649000	246450	402550	2006-11-22
2368	金像電	401000	0	401000	2006-11-22
04125	兆豐F8	500000	100000	400000	2006-11-22
03977	富邦CM	384000	0	384000	2006-11-22
04265	永豐7U	1452000	1071000	381000	2006-11-22
04224	永豐7D	679000	305000	374000	2006-11-22
2505	國揚	409000	50000	359000	2006-11-22
2417	圓剛	419000	65000	354000	2006-11-22
04226	統一DB	1051000	704000	347000	2006-11-22
04402	富邦DL	980000	639000	341000	2006-11-22
04271	日盛39	773000	434000	339000	2006-11-22
2002	中鋼	352000	14000	338000	2006-11-22
5203	訊連	422000	84000	338000	2006-11-22
2340	台亞	436000	110000	326000	2006-11-22
2336	致伸	470000	150000	320000	2006-11-22
2455	全新	349000	30000	319000	2006-11-22
1437	勤益控	315000	0	315000	2006-11-22
04047	凱基3R	679000	376000	303000	2006-11-22
2403	友尚	300000	0	300000	2006-11-22
04356	群益71	1784000	1486000	298000	2006-11-22
04357	群益72	297000	0	297000	2006-11-22
2345	智邦	291000	0	291000	2006-11-22
03894	康和CC	1212000	922000	290000	2006-11-22
03994	永豐5T	698000	412000	286000	2006-11-22
04142	元大AQ	345000	70000	275000	2006-11-22
2014	中鴻	338000	64000	274000	2006-11-22
03941	亞東HW	403000	130000	273000	2006-11-22
9904	寶成	296000	30000	266000	2006-11-22
04324	凱基4N	866000	609000	257000	2006-11-22
2379	瑞昱	328000	71000	257000	2006-11-22
03971	凱基3L	256000	0	256000	2006-11-22
2303	聯電	392000	139000	253000	2006-11-22
2485	兆赫	405000	153000	252000	2006-11-22
04052	元大95	273000	24000	249000	2006-11-22
3009	奇美電	381000	134000	247000	2006-11-22
9907	統一實	249000	2000	247000	2006-11-22
2881	富邦金	344000	100000	244000	2006-11-22
03825	凱基CZ	1095000	855000	240000	2006-11-22
04427	大華NE	555000	315000	240000	2006-11-22
1440	南紡	240000	0	240000	2006-11-22
04175	康和CM	346000	113000	233000	2006-11-22
03992	永豐5R	247000	15000	232000	2006-11-22
2402	毅嘉	271000	43000	228000	2006-11-22
04064	大華LS	232000	5000	227000	2006-11-22
03914	元富A1	1099000	874000	225000	2006-11-22
8078	華寶	497000	275000	222000	2006-11-22
2371	大同	407000	187000	220000	2006-11-22
3026	禾伸堂	220000	0	220000	2006-11-22
03836	工銀KF	217000	0	217000	2006-11-22
04208	元大BK	602000	388000	214000	2006-11-22
2312	金寶	222000	10000	212000	2006-11-22
2461	光群雷	240000	31000	209000	2006-11-22
2892	第一金	394000	185000	209000	2006-11-22
04228	寶來CD	221000	14000	207000	2006-11-22
03838	工銀KH	204000	0	204000	2006-11-22
04106	永豐6M	489000	289000	200000	2006-11-22
3005	神基	200000	0	200000	2006-11-22
04101	凱基3V	203000	4000	199000	2006-11-22
2439	美律	200000	2000	198000	2006-11-22
03854	凱基DA	195000	0	195000	2006-11-22
03918	富邦CE	292000	98000	194000	2006-11-22
03955	兆豐D2	216000	25000	191000	2006-11-22
1532	勤美	431000	242000	189000	2006-11-22
2545	皇翔	349000	161000	188000	2006-11-22
03956	兆豐D3	664000	477000	187000	2006-11-22
03889	永豐5K	920000	735000	185000	2006-11-22
2607	榮運	184000	0	184000	2006-11-22
3035	智原	396000	212000	184000	2006-11-22
04526	日盛60	2670000	2488000	182000	2006-11-22
03877	永昌LH	180000	1000	179000	2006-11-22
03873	大華LB	203000	26000	177000	2006-11-22
04037	永豐6B	195000	19000	176000	2006-11-22
04372	大華NA	358000	183000	175000	2006-11-22
2882	國泰金	306000	131000	175000	2006-11-22
3059	華晶科	193000	19000	174000	2006-11-22
03916	凱基3G	948000	776000	172000	2006-11-22
03966	統一CS	663000	493000	170000	2006-11-22
04051	元大94	261000	92000	169000	2006-11-22
03819	兆豐B8	233000	65000	168000	2006-11-22
03973	元大88	168000	0	168000	2006-11-22
2325	矽品	468000	300000	168000	2006-11-22
2342	茂矽	235000	68000	167000	2006-11-22
04462	凱基4W	1375000	1212000	163000	2006-11-22
04141	台証NU	163000	1000	162000	2006-11-22
04098	元富KX	235000	78000	157000	2006-11-22
1538	正峰	156000	0	156000	2006-11-22
03979	富邦CP	154000	0	154000	2006-11-22
04361	大華D8	711000	558000	153000	2006-11-22
6285	啟碁	170000	17000	153000	2006-11-22
04144	元大AS	805000	653000	152000	2006-11-22
03927	大華LI	152000	1000	151000	2006-11-22
3702	大聯大	151000	0	151000	2006-11-22
0051	元大中型100	176000	31000	145000	2006-11-22
04219	永豐6Y	888000	750000	138000	2006-11-22
04252	永豐7F	1130000	992000	138000	2006-11-22
04072	元大99	341000	205000	136000	2006-11-22
04028	大華LK	311000	179000	132000	2006-11-22
04029	大華LL	141000	10000	131000	2006-11-22
2903	遠百	202000	71000	131000	2006-11-22
04434	日盛49	425000	295000	130000	2006-11-22
2452	乾坤	242000	114000	128000	2006-11-22
01002T	土銀國泰R1	126000	0	126000	2006-11-22
03995	永豐5U	134000	8000	126000	2006-11-22
03982	永昌LT	394000	271000	123000	2006-11-22
03988	統一CV	120000	0	120000	2006-11-22
1312	國喬	120000	0	120000	2006-11-22
2847	大眾銀	117000	0	117000	2006-11-22
03888	統一CC	496000	383000	113000	2006-11-22
08004	元京AD	658000	546000	112000	2006-11-22
04487	康和DM	506000	395000	111000	2006-11-22
03724	凱基2W	110000	0	110000	2006-11-22
03943	日盛14	110000	0	110000	2006-11-22
6192	巨路	110000	0	110000	2006-11-22
04145	元大AT	2270000	2162000	108000	2006-11-22
1314	中石化	158000	51000	107000	2006-11-22
2845	遠東銀	128000	21000	107000	2006-11-22
3037	欣興	721000	614000	107000	2006-11-22
4532	瑞智	105000	0	105000	2006-11-22
6141	柏承	157000	54000	103000	2006-11-22
2501	國建	180000	78000	102000	2006-11-22
03855	元大81	100000	0	100000	2006-11-22
03856	元大82	145000	45000	100000	2006-11-22
04509	兆豐J6	327000	227000	100000	2006-11-22
1522	堤維西	100000	0	100000	2006-11-22
03967	統一CT	364000	268000	96000	2006-11-22
6277	宏正	96000	0	96000	2006-11-22
04046	日盛26	103000	11000	92000	2006-11-22
04154	日盛29	834000	744000	90000	2006-11-22
04235	元富LD	1596000	1506000	90000	2006-11-22
1103	嘉泥	89000	1000	88000	2006-11-22
2886	兆豐金	87000	1000	86000	2006-11-22
03948	兆豐C4	396000	311000	85000	2006-11-22
03898	大華LE	449000	365000	84000	2006-11-22
04087	永豐6C	83000	0	83000	2006-11-22
1303	南亞	89000	6000	83000	2006-11-22
04217	日盛36	232000	150000	82000	2006-11-22
03841	大華KV	103000	22000	81000	2006-11-22
04203	元大BE	361000	280000	81000	2006-11-22
2498	宏達電	237000	157000	80000	2006-11-22
6142	友勁	80000	0	80000	2006-11-22
6145	勁永	80000	0	80000	2006-11-22
04036	永豐6A	99000	20000	79000	2006-11-22
03899	大華LF	77000	0	77000	2006-11-22
03885	永昌LR	297000	221000	76000	2006-11-22
1560	中砂	118000	42000	76000	2006-11-22
03851	元大77	94000	20000	74000	2006-11-22
6131	鈞泰	75000	1000	74000	2006-11-22
03815	兆豐B4	71000	0	71000	2006-11-22
1722	台肥	149000	78000	71000	2006-11-22
04262	永豐7R	71000	1000	70000	2006-11-22
2884	玉山金	70000	0	70000	2006-11-22
03917	富邦CD	882000	813000	69000	2006-11-22
03976	元大91	82000	14000	68000	2006-11-22
2101	南港	115000	47000	68000	2006-11-22
04116	永昌MB	406000	339000	67000	2006-11-22
