Ticker	Name	Buy	Sell	OverBS	Date
2311	日月光	47891000	22880500	25010500	2013-11-18
2890	永豐金	9579000	1540830	8038170	2013-11-18
2317	鴻海	15181182	7399594	7781588	2013-11-18
2881	富邦金	8226310	1693236	6533074	2013-11-18
3474	華亞科	7644000	1160000	6484000	2013-11-18
2887	台新金	7454000	1857000	5597000	2013-11-18
3682	亞太電	6791000	1975000	4816000	2013-11-18
2884	玉山金	9445650	4852427	4593223	2013-11-18
2882	國泰金	9436000	5086562	4349438	2013-11-18
2324	仁寶	9652000	6423000	3229000	2013-11-18
5871	中租-KY	3743250	770862	2972388	2013-11-18
2883	開發金	5051000	2079649	2971351	2013-11-18
2312	金寶	3025000	162000	2863000	2013-11-18
9904	寶成	3695592	1103000	2592592	2013-11-18
4938	和碩	5284000	2757000	2527000	2013-11-18
2474	可成	2384250	238000	2146250	2013-11-18
1310	台苯	2156000	164000	1992000	2013-11-18
0061	元大寶滬深	1847000	10000	1837000	2013-11-18
2357	華碩	2417860	987157	1430703	2013-11-18
2308	台達電	3687450	2509954	1177496	2013-11-18
2610	華航	1454000	318000	1136000	2013-11-18
2847	大眾銀	1135000	28000	1107000	2013-11-18
1504	東元	1667640	568000	1099640	2013-11-18
2313	華通	3899000	2819000	1080000	2013-11-18
2498	宏達電	1749000	682288	1066712	2013-11-18
1101	台泥	4263000	3250000	1013000	2013-11-18
2833	台壽保	1035000	78000	957000	2013-11-18
2888	新光金	7562000	6613859	948141	2013-11-18
2504	國產	916000	21000	895000	2013-11-18
1434	福懋	1394000	560000	834000	2013-11-18
6282	康舒	1254000	436000	818000	2013-11-18
2448	晶電	1492000	718000	774000	2013-11-18
1314	中石化	938000	168587	769413	2013-11-18
2439	美律	1068000	354000	714000	2013-11-18
1305	華夏	1026000	313000	713000	2013-11-18
2885	元大金	1889000	1183118	705882	2013-11-18
3041	揚智	657000	40000	617000	2013-11-18
2548	華固	694387	81000	613387	2013-11-18
5880	合庫金	1165000	561660	603340	2013-11-18
2880	華南金	1049000	448000	601000	2013-11-18
2376	技嘉	960170	396000	564170	2013-11-18
3057	喬鼎	844000	287000	557000	2013-11-18
2049	上銀	665670	127000	538670	2013-11-18
2618	長榮航	1312000	794500	517500	2013-11-18
1590	亞德客-KY	580000	66000	514000	2013-11-18
05851P	上証2X凱基08售02	499000	0	499000	2013-11-18
1326	台化	1525000	1040081	484919	2013-11-18
2886	兆豐金	4211000	3746597	464403	2013-11-18
1507	永大	936000	488000	448000	2013-11-18
05587P	T50正2群益08售06	443000	0	443000	2013-11-18
2362	藍天	709000	266000	443000	2013-11-18
1707	葡萄王	455000	15000	440000	2013-11-18
04853P	新唐康和19售02	404000	0	404000	2013-11-18
067272	亞聚麥證19購01	400000	0	400000	2013-11-18
068055	華航凱基19購18	400000	0	400000	2013-11-18
066087	華航元大19購09	397000	0	397000	2013-11-18
8039	台虹	875000	488000	387000	2013-11-18
2458	義隆	559000	178000	381000	2013-11-18
2536	宏普	369000	15000	354000	2013-11-18
2002	中鋼	1360000	1012783	347217	2013-11-18
2892	第一金	1343000	1009746	333254	2013-11-18
910322	康師傅-DR	303000	11000	292000	2013-11-18
3450	聯鈞	291000	29000	262000	2013-11-18
1604	聲寶	267000	13000	254000	2013-11-18
068938	臺股指法興19購03	250000	0	250000	2013-11-18
1402	遠東新	3597845	3382312	215533	2013-11-18
1227	佳格	478730	263500	215230	2013-11-18
1715	萬洲	249000	40000	209000	2013-11-18
1303	南亞	686000	483426	202574	2013-11-18
066524	聯發科元大19購13	200000	0	200000	2013-11-18
2477	美隆電	225000	31720	193280	2013-11-18
01002T	土銀國泰R1	185000	2000	183000	2013-11-18
8078	華寶	357000	174000	183000	2013-11-18
1217	愛之味	172000	6000	166000	2013-11-18
2515	中工	174000	15000	159000	2013-11-18
2505	國揚	191000	33000	158000	2013-11-18
068772	創意康和1A購01	199000	50000	149000	2013-11-18
5521	工信	151000	2000	149000	2013-11-18
2809	京城銀	179000	33000	146000	2013-11-18
1582	信錦	173000	29000	144000	2013-11-18
3030	德律	162000	22000	140000	2013-11-18
1536	和大	207000	70000	137000	2013-11-18
2832	台產	156000	24000	132000	2013-11-18
1409	新纖	150000	19000	131000	2013-11-18
1905	華紙	159000	31000	128000	2013-11-18
2419	仲琦	146000	18000	128000	2013-11-18
3008	大立光	188000	60000	128000	2013-11-18
6278	台表科	157663	30000	127663	2013-11-18
3010	華立	207000	81000	126000	2013-11-18
3059	華晶科	205000	79000	126000	2013-11-18
3584	介面	137000	11000	126000	2013-11-18
4960	誠美材	224000	98000	126000	2013-11-18
4725	信昌化	153000	28000	125000	2013-11-18
01003T	兆豐新光R1	129000	9000	120000	2013-11-18
1308	亞聚	169000	50000	119000	2013-11-18
1589	永冠-KY	122000	8000	114000	2013-11-18
2911	麗嬰房	223000	112000	111000	2013-11-18
1714	和桐	122000	12000	110000	2013-11-18
910861	神州-DR	110000	0	110000	2013-11-18
1476	儒鴻	475000	366750	108250	2013-11-18
2388	威盛	212000	108000	104000	2013-11-18
3049	和鑫	127000	26000	101000	2013-11-18
0055	元大MSCI金融	100000	0	100000	2013-11-18
1104	環泥	142000	42000	100000	2013-11-18
065042	大成鋼日盛18購01	99000	0	99000	2013-11-18
1560	中砂	330000	231000	99000	2013-11-18
4532	瑞智	168000	71000	97000	2013-11-18
6145	勁永	105000	9000	96000	2013-11-18
9914	美利達	261000	166000	95000	2013-11-18
6153	嘉聯益	140000	48000	92000	2013-11-18
2908	特力	101000	16000	85000	2013-11-18
01008T	駿馬R1	84000	0	84000	2013-11-18
1626	艾美特-KY	100000	20000	80000	2013-11-18
3380	明泰	160000	80000	80000	2013-11-18
3454	晶睿	103000	24000	79000	2013-11-18
6202	盛群	89000	10000	79000	2013-11-18
9910	豐泰	132000	53000	79000	2013-11-18
9938	百和	242000	163000	79000	2013-11-18
3026	禾伸堂	78000	3000	75000	2013-11-18
8101	華冠	135000	60000	75000	2013-11-18
2538	基泰	192000	118000	74000	2013-11-18
6271	同欣電	201000	127000	74000	2013-11-18
4144	康聯-KY	93000	23000	70000	2013-11-18
1904	正隆	188000	120000	68000	2013-11-18
1710	東聯	162000	95000	67000	2013-11-18
2014	中鴻	74000	8000	66000	2013-11-18
2404	漢唐	82000	16000	66000	2013-11-18
6285	啟碁	232000	166000	66000	2013-11-18
2428	興勤	75000	12000	63000	2013-11-18
2453	凌群	75000	15000	60000	2013-11-18
