Ticker	Name	Buy	Sell	OverBS	Date
2882	國泰金	2901000	13000	2888000	2016-05-26
2618	長榮航	1388000	0	1388000	2016-05-26
1210	大成	1037000	102000	935000	2016-05-26
2481	強茂	808000	0	808000	2016-05-26
1215	卜蜂	780000	0	780000	2016-05-26
2002	中鋼	700000	0	700000	2016-05-26
2886	兆豐金	648000	12000	636000	2016-05-26
2492	華新科	592000	0	592000	2016-05-26
3380	明泰	549000	0	549000	2016-05-26
2354	鴻準	543000	1000	542000	2016-05-26
2383	台光電	723000	213000	510000	2016-05-26
2485	兆赫	506000	0	506000	2016-05-26
2456	奇力新	445000	0	445000	2016-05-26
8222	寶一	404000	0	404000	2016-05-26
3017	奇鋐	368000	0	368000	2016-05-26
2498	宏達電	343000	0	343000	2016-05-26
2454	聯發科	330000	0	330000	2016-05-26
1101	台泥	236000	2000	234000	2016-05-26
2327	國巨	231000	0	231000	2016-05-26
2883	開發金	201000	10000	191000	2016-05-26
1707	葡萄王	175000	0	175000	2016-05-26
8341	日友	175000	0	175000	2016-05-26
2377	微星	190000	38000	152000	2016-05-26
9910	豐泰	132000	0	132000	2016-05-26
2330	台積電	158000	33000	125000	2016-05-26
2903	遠百	123000	1000	122000	2016-05-26
3596	智易	120000	0	120000	2016-05-26
3376	新日興	106000	0	106000	2016-05-26
2228	劍麟	100000	0	100000	2016-05-26
6414	樺漢	122000	28100	93900	2016-05-26
2317	鴻海	96000	9000	87000	2016-05-26
1402	遠東新	89000	3000	86000	2016-05-26
2324	仁寶	85000	1000	84000	2016-05-26
3514	昱晶	80000	0	80000	2016-05-26
6505	台塑化	81000	5000	76000	2016-05-26
2449	京元電子	72000	1000	71000	2016-05-26
2542	興富發	70000	1000	69000	2016-05-26
2347	聯強	65000	1000	64000	2016-05-26
2356	英業達	61000	1000	60000	2016-05-26
5264	鎧勝-KY	60000	0	60000	2016-05-26
9933	中鼎	54000	1000	53000	2016-05-26
00632R	元大台灣50反1	50000	0	50000	2016-05-26
1525	江申	50000	0	50000	2016-05-26
3704	合勤控	50000	0	50000	2016-05-26
3702	大聯大	50000	2000	48000	2016-05-26
1102	亞泥	45000	0	45000	2016-05-26
2376	技嘉	45000	0	45000	2016-05-26
2382	廣達	47000	3000	44000	2016-05-26
9914	美利達	44000	0	44000	2016-05-26
2915	潤泰全	44000	1000	43000	2016-05-26
1476	儒鴻	40000	0	40000	2016-05-26
9945	潤泰新	34000	0	34000	2016-05-26
6176	瑞儀	33000	0	33000	2016-05-26
3034	聯詠	31000	0	31000	2016-05-26
2392	正崴	29000	1000	28000	2016-05-26
2385	群光	24000	0	24000	2016-05-26
4958	臻鼎-KY	23000	0	23000	2016-05-26
4938	和碩	24000	2000	22000	2016-05-26
1216	統一	22000	3000	19000	2016-05-26
6239	力成	17000	1000	16000	2016-05-26
2308	台達電	15000	2000	13000	2016-05-26
2514	龍邦	11000	0	11000	2016-05-26
1723	中碳	8000	0	8000	2016-05-26
5288	豐祥-KY	8000	0	8000	2016-05-26
2357	華碩	6000	0	6000	2016-05-26
8422	可寧衛	5000	0	5000	2016-05-26
1314	中石化	4000	0	4000	2016-05-26
2344	華邦電	4000	0	4000	2016-05-26
2912	統一超	4000	0	4000	2016-05-26
2929	淘帝-KY	3000	0	3000	2016-05-26
6116	彩晶	3000	0	3000	2016-05-26
1605	華新	2000	0	2000	2016-05-26
1789	神隆	2000	0	2000	2016-05-26
1907	永豐餘	2000	0	2000	2016-05-26
2313	華通	2000	0	2000	2016-05-26
2448	晶電	2000	0	2000	2016-05-26
2451	創見	3000	1000	2000	2016-05-26
2607	榮運	2000	0	2000	2016-05-26
3682	亞太電	2000	0	2000	2016-05-26
4119	旭富	2000	0	2000	2016-05-26
6257	矽格	2000	0	2000	2016-05-26
9940	信義	2000	0	2000	2016-05-26
1303	南亞	1000	0	1000	2016-05-26
2458	義隆	1000	0	1000	2016-05-26
2603	長榮	1000	0	1000	2016-05-26
2849	安泰銀	1000	0	1000	2016-05-26
3035	智原	1000	0	1000	2016-05-26
3037	欣興	1000	0	1000	2016-05-26
4960	誠美材	1000	0	1000	2016-05-26
8081	致新	1000	0	1000	2016-05-26
2105	正新	41000	830000	-789000	2016-05-26
2379	瑞昱	15000	705900	-690900	2016-05-26
3045	台灣大	0	657000	-657000	2016-05-26
1312	國喬	0	637000	-637000	2016-05-26
1319	東陽	1000	518000	-517000	2016-05-26
2439	美律	102000	592000	-490000	2016-05-26
8404	百和興業-KY	0	425000	-425000	2016-05-26
1326	台化	0	419000	-419000	2016-05-26
3189	景碩	0	406000	-406000	2016-05-26
2345	智邦	0	306000	-306000	2016-05-26
4935	茂林-KY	33000	320000	-287000	2016-05-26
2412	中華電	0	234000	-234000	2016-05-26
9938	百和	0	218000	-218000	2016-05-26
3231	緯創	65000	279000	-214000	2016-05-26
3474	華亞科	0	204000	-204000	2016-05-26
4746	台耀	267000	470000	-203000	2016-05-26
6456	GIS-KY	0	169000	-169000	2016-05-26
2355	敬鵬	1000	167000	-166000	2016-05-26
1532	勤美	0	150000	-150000	2016-05-26
2397	友通	0	150000	-150000	2016-05-26
2102	泰豐	0	140000	-140000	2016-05-26
8464	億豐	0	138000	-138000	2016-05-26
2106	建大	1000	110000	-109000	2016-05-26
1590	亞德客-KY	0	107000	-107000	2016-05-26
2204	中華	0	107000	-107000	2016-05-26
6415	矽力-KY	20000	123000	-103000	2016-05-26
3023	信邦	0	101653	-101653	2016-05-26
6271	同欣電	8000	100000	-92000	2016-05-26
9904	寶成	0	85000	-85000	2016-05-26
6285	啟碁	0	80000	-80000	2016-05-26
1338	廣華-KY	0	78000	-78000	2016-05-26
1104	環泥	0	77000	-77000	2016-05-26
1702	南僑	0	76000	-76000	2016-05-26
2393	億光	0	74000	-74000	2016-05-26
3454	晶睿	0	51000	-51000	2016-05-26
2231	為升	0	47000	-47000	2016-05-26
2301	光寶科	88000	126000	-38000	2016-05-26
4968	立積	0	37000	-37000	2016-05-26
2723	美食-KY	0	36000	-36000	2016-05-26
1536	和大	0	35000	-35000	2016-05-26
2034	允強	0	35000	-35000	2016-05-26
4426	利勤	0	29000	-29000	2016-05-26
2888	新光金	0	21000	-21000	2016-05-26
6409	旭隼	0	20000	-20000	2016-05-26
9930	中聯資源	0	20000	-20000	2016-05-26
2891	中信金	0	16000	-16000	2016-05-26
4763	材料-KY	0	15000	-15000	2016-05-26
2474	可成	0	14000	-14000	2016-05-26
2885	元大金	0	13000	-13000	2016-05-26
2727	王品	0	11000	-11000	2016-05-26
1262	綠悅-KY	0	9000	-9000	2016-05-26
6166	凌華	0	9000	-9000	2016-05-26
2881	富邦金	0	8000	-8000	2016-05-26
2455	全新	158000	164000	-6000	2016-05-26
2887	台新金	0	6000	-6000	2016-05-26
2880	華南金	0	5000	-5000	2016-05-26
2892	第一金	0	5000	-5000	2016-05-26
6277	宏正	15000	20000	-5000	2016-05-26
2409	友達	0	4000	-4000	2016-05-26
2801	彰銀	0	4000	-4000	2016-05-26
2890	永豐金	0	4000	-4000	2016-05-26
5880	合庫金	0	4000	-4000	2016-05-26
2441	超豐	0	3000	-3000	2016-05-26
2489	瑞軒	0	3000	-3000	2016-05-26
2823	中壽	0	3000	-3000	2016-05-26
2884	玉山金	0	3000	-3000	2016-05-26
1301	台塑	0	2000	-2000	2016-05-26
2812	台中銀	0	2000	-2000	2016-05-26
2834	臺企銀	0	2000	-2000	2016-05-26
3036	文曄	0	2000	-2000	2016-05-26
3481	群創	0	2000	-2000	2016-05-26
3576	聯合再生	0	1193	-1193	2016-05-26
1227	佳格	0	1000	-1000	2016-05-26
1434	福懋	0	1000	-1000	2016-05-26
1440	南紡	0	1000	-1000	2016-05-26
1507	永大	0	1000	-1000	2016-05-26
1722	台肥	0	1000	-1000	2016-05-26
1802	台玻	0	1000	-1000	2016-05-26
2206	三陽工業	0	1000	-1000	2016-05-26
2227	裕日車	0	1000	-1000	2016-05-26
2353	宏碁	0	1000	-1000	2016-05-26
2408	南亞科	0	1000	-1000	2016-05-26
2501	國建	0	1000	-1000	2016-05-26
2545	皇翔	0	1000	-1000	2016-05-26
2634	漢翔	0	1000	-1000	2016-05-26
2809	京城銀	0	1000	-1000	2016-05-26
2845	遠東銀	0	1000	-1000	2016-05-26
2905	三商	0	1000	-1000	2016-05-26
3022	威強電	0	1000	-1000	2016-05-26
4904	遠傳	0	1000	-1000	2016-05-26
5388	中磊	0	1000	-1000	2016-05-26
5871	中租-KY	0	1000	-1000	2016-05-26
6282	康舒	0	1000	-1000	2016-05-26
9907	統一實	0	1000	-1000	2016-05-26
9917	中保科	0	1000	-1000	2016-05-26
9925	新保	0	1000	-1000	2016-05-26
