Adj Close	Close	Date	High	Low	Open	Ticker	Volume
114.65	114.65	2020-11-27	114.85	114.1	114.5	0050	5329935
41.44	41.44	2020-11-27	41.44	41.0	41.0	0051	69929
101.65	101.65	2020-11-27	102.0	101.25	101.7	0052	945532
53.6	53.6	2020-11-27	53.6	53.5	53.6	0053	7619
26.3	26.3	2020-11-27	26.3	26.23	26.3	0054	5395
17.85	17.85	2020-11-27	17.9	17.83	17.89	0055	46740
29.32	29.32	2020-11-27	29.34	29.1	29.15	0056	12563047
75.15	75.15	2020-11-27	75.15	74.85	74.85	0057	33816
22.78	22.78	2020-11-27	22.85	22.72	22.77	0061	234080
52.8	52.8	2020-11-27	53.1	52.8	53.1	006203	74203
68.65	68.65	2020-11-27	68.65	68.6	68.6	006204	16839
36.94	36.94	2020-11-27	37.11	36.8	36.86	006205	1398986
37.85	37.85	2020-11-27	38.01	37.67	37.67	006206	195761
29.74	29.74	2020-11-27	29.82	29.74	29.8	006207	40819
64.45	64.45	2020-11-27	64.6	64.2	64.45	006208	1781109
8.56	8.56	2020-11-27	8.56	8.56	8.56	00625K	50000
79.25	79.25	2020-11-27	79.3	78.0	78.35	00631L	2570520
7.48	7.48	2020-11-27	7.55	7.48	7.52	00632R	114862280
64.95	64.95	2020-11-27	65.45	64.1	64.2	00633L	7923100
4.22	4.22	2020-11-27	4.25	4.21	4.23	00634R	922000
24.65	24.65	2020-11-27	24.76	24.64	24.76	00635U	829020
26.21	26.21	2020-11-27	26.35	26.08	26.12	00636	818410
9.2	9.2	2020-11-27	9.2	9.2	9.2	00636K	100
25.32	25.32	2020-11-27	25.54	25.04	25.06	00637L	52883006
8.47	8.47	2020-11-27	8.53	8.45	8.53	00638R	691000
15.6	15.6	2020-11-27	15.69	15.55	15.56	00639	1260289
24.16	24.16	2020-11-27	24.24	23.81	24.15	00640L	940100
11.94	11.94	2020-11-27	12.01	11.93	11.96	00641R	347000
8.04	8.04	2020-11-27	8.08	8.0	8.07	00642U	13058210
17.66	17.66	2020-11-27	17.79	17.66	17.69	00643	618105
--	--	2020-11-27	--	--	--	00643K	0
23.44	23.44	2020-11-27	23.47	23.25	23.41	00645	398782
31.59	31.59	2020-11-27	31.6	31.5	31.58	00646	268167
47.16	47.16	2020-11-27	47.2	46.89	47.05	00647L	124022
8.69	8.69	2020-11-27	8.72	8.69	8.71	00648R	1065000
26.8	26.8	2020-11-27	26.84	26.67	26.7	00650L	330000
7.65	7.65	2020-11-27	7.73	7.64	7.73	00651R	27000
22.81	22.81	2020-11-27	22.9	22.67	22.67	00652	120650
28.63	28.63	2020-11-27	28.85	28.56	28.71	00653L	2407000
11.21	11.21	2020-11-27	11.21	11.13	11.18	00654R	33000
48.31	48.31	2020-11-27	48.68	47.66	47.66	00655L	2673000
7.77	7.77	2020-11-27	7.8	7.73	7.79	00656R	384000
32.92	32.92	2020-11-27	32.92	32.84	32.84	00657	110271
11.55	11.55	2020-11-27	11.55	11.55	11.55	00657K	100
24.62	24.62	2020-11-27	24.63	24.5	24.59	00660	81245
33.34	33.34	2020-11-27	33.34	33.16	33.16	00661	4050
44.66	44.66	2020-11-27	44.79	44.5	44.79	00662	279677
70.8	70.8	2020-11-27	71.05	70.15	70.15	00663L	27000
8.5	8.5	2020-11-27	8.56	8.49	8.54	00664R	1764000
24.8	24.8	2020-11-27	24.85	24.58	24.7	00665L	110000
11.68	11.68	2020-11-27	11.7	11.65	11.7	00666R	121000
30.7	30.7	2020-11-27	30.7	30.6	30.6	00668	19830
10.75	10.75	2020-11-27	10.75	10.75	10.75	00668K	100
9.54	9.54	2020-11-27	9.56	9.52	9.55	00669R	2056000
73.65	73.65	2020-11-27	73.7	73.15	73.5	00670L	390014
6.87	6.87	2020-11-27	6.88	6.85	6.86	00671R	1095000
26.75	26.75	2020-11-27	26.77	26.58	26.62	00673R	1122250
13.4	13.4	2020-11-27	13.41	13.37	13.37	00674R	73000
30.5	30.5	2020-11-27	30.51	30.03	30.16	00675L	119030
4.63	4.63	2020-11-27	4.66	4.61	4.66	00676R	3078000
3.82	3.82	2020-11-27	3.84	3.81	3.83	00677U	54069050
25.65	25.65	2020-11-27	25.73	25.63	25.73	00678	623699
29.63	29.63	2020-11-27	29.74	29.63	29.73	00680L	24000
12.63	12.63	2020-11-27	12.63	12.63	12.63	00681R	2000
18.34	18.34	2020-11-27	18.36	18.33	18.36	00682U	83000
17.24	17.24	2020-11-27	17.29	17.23	17.29	00683L	650000
18.94	18.94	2020-11-27	18.97	18.92	18.92	00684R	4000
26.68	26.68	2020-11-27	26.82	26.33	26.54	00685L	13000
5.04	5.04	2020-11-27	5.07	5.04	5.06	00686R	28000
29.76	29.76	2020-11-27	29.77	29.76	29.77	00688L	102000
