Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2022-07-19	0050	113.95	114.65	113.6	114.3	13479392	114.3
2022-07-19	0051	52.25	52.35	52.0	52.2	10923	52.2
2022-07-19	0052	96.3	97.1	96.3	96.75	260906	96.75
2022-07-19	0053	55.75	55.85	55.75	55.85	2581	55.85
2022-07-19	0055	21.79	21.84	21.68	21.78	137040	21.78
2022-07-19	0056	27.41	27.69	27.31	27.68	10965309	27.68
2022-07-19	0057	80.9	81.55	80.9	81.2	25530	81.2
2022-07-19	0061	20.29	20.4	20.16	20.25	55041	20.25
2022-07-19	006203	55.35	55.4	55.35	55.4	2882	55.4
2022-07-19	006204	74.9	75.05	74.9	75.05	24935	75.05
2022-07-19	006205	33.8	33.84	33.5	33.5	897711	33.5
2022-07-19	006206	32.4	32.51	32.12	32.16	65618	32.16
2022-07-19	006207	26.76	26.79	26.6	26.62	62401	26.62
2022-07-19	006208	65.55	65.9	65.25	65.8	2693823	65.8
2022-07-19	00625K	--	--	--	--	0	--
2022-07-19	00631L	97.35	99.0	97.25	98.85	6393785	98.85
2022-07-19	00632R	6.01	6.02	5.96	5.96	128325956	5.96
2022-07-19	00633L	46.6	46.61	45.33	45.45	9887563	45.45
2022-07-19	00634R	4.23	4.28	4.23	4.28	1040000	4.28
2022-07-19	00635U	22.48	22.51	22.45	22.51	373789	22.51
2022-07-19	00636	23.34	23.35	23.01	23.06	498206	23.06
2022-07-19	00636K	7.69	7.69	7.69	7.69	200	7.69
2022-07-19	00637L	18.44	18.46	17.95	17.99	85009422	17.99
2022-07-19	00638R	8.93	9.06	8.92	9.03	881150	9.03
2022-07-19	00639	14.57	14.58	14.36	14.37	647137	14.37
2022-07-19	00640L	26.88	27.09	26.88	26.95	28000	26.95
2022-07-19	00641R	10.22	10.22	10.17	10.2	202000	10.2
2022-07-19	00642U	20.29	20.41	20.26	20.29	3825433	20.29
2022-07-19	00643	17.08	17.1	16.95	16.97	410713	16.97
2022-07-19	00643K	--	--	--	--	0	--
2022-07-19	00645	25.19	25.3	25.16	25.22	83276	25.22
2022-07-19	00646	35.45	35.52	35.41	35.48	414424	35.48
2022-07-19	00647L	51.3	51.45	51.15	51.35	212000	51.35
2022-07-19	00648R	7.72	7.72	7.7	7.71	695100	7.71
2022-07-19	00650L	15.94	16.01	15.7	15.8	1473540	15.8
2022-07-19	00651R	8.45	8.53	8.45	8.52	172000	8.52
2022-07-19	00652	26.88	26.89	26.65	26.87	27089	26.87
2022-07-19	00653L	37.6	38.0	37.39	37.99	215431	37.99
2022-07-19	00654R	8.83	8.83	8.78	8.78	273000	8.78
2022-07-19	00655L	33.6	33.62	32.68	32.76	2038752	32.76
2022-07-19	00656R	7.97	8.07	7.97	8.07	219000	8.07
2022-07-19	00657	31.02	31.15	31.02	31.03	3718	31.03
2022-07-19	00657K	10.4	10.4	10.4	10.4	200	10.4
2022-07-19	00660	25.45	25.46	25.45	25.46	2511	25.46
2022-07-19	00661	--	--	--	--	620	--
2022-07-19	00662	45.89	45.95	45.82	45.86	482821	45.86
2022-07-19	00663L	88.7	90.0	88.7	89.7	46000	89.7
2022-07-19	00664R	6.8	6.8	6.74	6.75	6073747	6.75
2022-07-19	00665L	10.6	10.6	10.35	10.45	3324085	10.45
2022-07-19	00666R	14.61	14.7	14.61	14.7	158000	14.7
