Date	Ticker	Open	High	Low	Close	Volume
2020-05-11	0050	85.00	85.40	84.70	85.05	6655422
2020-05-11	0051	33.91	34.16	33.91	34.11	25300
2020-05-11	0052	64.20	64.55	64.00	64.20	131598
2020-05-11	0053	38.97	39.33	38.97	39.30	46000
2020-05-11	0054	22.90	23.21	22.90	23.15	35000
2020-05-11	0055	17.04	17.23	17.04	17.22	58000
2020-05-11	0056	27.64	27.72	27.60	27.66	13102769
2020-05-11	0057	56.30	56.35	56.25	56.25	88000
2020-05-11	0061	17.68	17.80	17.63	17.63	304517
2020-05-11	006203	39.94	39.97	39.94	39.97	3000
2020-05-11	006204	54.65	55.05	54.65	55.00	176037
2020-05-11	006205	29.39	29.50	29.21	29.24	1902359
2020-05-11	006206	30.75	30.95	30.65	30.72	180139
2020-05-11	006207	23.03	23.21	22.87	22.91	892599
2020-05-11	006208	48.79	48.92	48.52	48.72	1533795
2020-05-11	00625K	7.06	7.06	7.06	7.06	50000
2020-05-11	00631L	44.83	45.20	44.50	44.87	7902586
2020-05-11	00632R	10.22	10.28	10.18	10.22	146768455
2020-05-11	00633L	42.55	43.15	42.22	42.35	18160165
2020-05-11	00634R	5.70	5.71	5.64	5.70	1061000
2020-05-11	00635U	24.20	24.29	24.17	24.18	2232369
2020-05-11	00636	20.49	20.64	20.39	20.40	1950377
2020-05-11	00636K	6.87	6.87	6.87	6.87	100
2020-05-11	00637L	16.43	16.67	16.30	16.32	85893298
2020-05-11	00638R	11.46	11.48	11.36	11.45	982000
2020-05-11	00639	11.59	11.59	11.37	11.39	2767914
2020-05-11	00640L	16.48	16.69	16.48	16.61	2426039
2020-05-11	00641R	14.91	14.97	14.87	14.89	1322000
2020-05-11	00642U	9.05	9.50	9.01	9.47	67100177
2020-05-11	00643	13.83	13.92	13.63	13.67	838082
2020-05-11	00645	19.10	19.20	19.10	19.19	98453
2020-05-11	00646	26.79	26.82	26.74	26.75	877441
2020-05-11	00647L	32.25	32.33	32.06	32.07	935000
2020-05-11	00648R	11.21	11.22	11.18	11.22	1111000
2020-05-11	00650L	22.01	22.69	21.93	22.41	643000
2020-05-11	00651R	8.84	8.91	8.76	8.81	1496000
2020-05-11	00652	17.39	17.44	17.23	17.33	796745
2020-05-11	00653L	15.80	16.09	15.64	15.90	16371010
2020-05-11	00654R	15.90	16.03	15.75	15.84	333000
2020-05-11	00655L	31.03	31.44	30.71	30.78	5271100
2020-05-11	00656R	10.40	10.43	10.32	10.43	263998
2020-05-11	00657	25.40	25.51	25.40	25.45	124242
2020-05-11	00657K	8.52	8.52	8.52	8.52	100
2020-05-11	00660	20.83	20.89	20.80	20.85	216000
2020-05-11	00661	26.06	26.06	26.00	26.00	3000
2020-05-11	00662	35.70	35.76	35.60	35.61	297218
2020-05-11	00663L	40.08	40.40	39.80	40.06	210000
2020-05-11	00664R	11.63	11.67	11.57	11.61	4494000
2020-05-11	00665L	21.12	21.65	21.12	21.31	211000
2020-05-11	00666R	13.55	13.55	13.46	13.52	172000
2020-05-11	00668	26.50	26.54	26.45	26.45	201819
2020-05-11	00668K	8.86	8.86	8.86	8.86	100
2020-05-11	00669R	12.26	12.28	12.23	12.28	6771000
2020-05-11	00670L	44.52	44.67	44.32	44.39	1776000
2020-05-11	00671R	9.48	9.48	9.44	9.48	2620000
2020-05-11	00672L	3.00	3.07	2.96	3.07	46665598
2020-05-11	00673R	42.21	42.36	41.35	41.81	949460
2020-05-11	00674R	14.30	14.32	14.25	14.32	740000
2020-05-11	00675L	17.52	17.67	17.37	17.54	584000
