Date	Ticker	Action	Value
2022-08-16	00701	XD	0.25
2022-08-16	00771	XD	0.16
2022-08-16	00878	XD	0.28
2022-08-16	00881	XD	0.26
2022-08-16	00891	XD	0.26
2022-08-16	00894	XD	0.19
2022-08-16	00900	XD	1.2
2022-08-16	2301	XD	1.5
2022-08-16	3605	XD	1.499756
2022-08-16	6666	XD	1.5
2022-08-16	00679B	XD	0.29
2022-08-16	00718B	XD	0.418
2022-08-16	00721B	XD	0.86
2022-08-16	00748B	XD	0.8
2022-08-16	00754B	XD	0.349
2022-08-16	00755B	XD	0.374
2022-08-16	00756B	XD	0.413
2022-08-16	00772B	XD	0.138
2022-08-16	00773B	XD	0.148
2022-08-16	00780B	XD	0.43
2022-08-16	00786B	XD	0.46
2022-08-16	00794B	XD	0.618
2022-08-16	00795B	XD	0.289
2022-08-16	00799B	XD	0.41
2022-08-16	00840B	XD	0.29
2022-08-16	00841B	XD	0.32
2022-08-16	00845B	XD	0.313
2022-08-16	00846B	XD	0.263
2022-08-16	00847B	XD	0.276
2022-08-16	00860B	XD	0.258
2022-08-16	00890B	XD	0.42
2022-08-16	3552	XD	2.5
2022-08-16	3624	XD	2.2
2022-08-16	6234	XD	0.75
2022-08-16	8043	XD	1.0
