ETF_Ticker	ETF_Name	StartDate	UpdateDate
0050	元大台灣50	2003-06-30	2020-05-08
0051	元大中型100	2006-08-31	2020-05-08
0052	富邦科技	2006-09-12	2020-05-08
0053	元大電子	2007-07-16	2020-05-08
0054	元大台商50	2007-07-16	2020-05-08
0055	元大MSCI金融	2007-07-16	2020-05-08
0056	元大高股息	2007-12-26	2020-05-08
0057	富邦摩台	2008-02-27	2020-05-08
0058	富邦發達	2008-02-27	2019-12-06
0059	富邦金融	2008-02-27	2019-12-20
006201	元大富櫃50	2011-01-27	2020-05-08
006203	元大MSCI台灣	2011-05-12	2020-05-08
006204	永豐臺灣加權	2011-09-28	2020-05-08
006208	富邦台50	2012-07-07	2020-05-08
00690	兆豐藍籌30	2017-03-31	2020-05-08
00692	富邦公司治理	2017-05-17	2020-05-08
00701	國泰臺灣低波動30	2017-08-17	2020-05-08
00713	元大台灣高息低波	2017-09-27	2020-05-08
00728	第一金工業30	2018-04-18	2020-05-08
00730	富邦臺灣優質高息	2018-02-08	2020-05-08
00731	FH富時高息低波	2018-04-20	2020-05-08
00733	富邦臺灣中小	2018-05-17	2020-05-08
00742	新光內需收益	2018-06-22	2020-05-08
00850	元大臺灣ESG永續	2019-08-16	2020-05-08
