Date	Ticker	Open	High	Low	Close	Volume
2020-05-04	0050	82.40	83.30	82.20	83.00	15648380
2020-05-04	0051	33.39	33.39	32.51	32.93	38732
2020-05-04	0052	63.55	63.55	62.85	63.00	248994
2020-05-04	0053	38.90	38.90	37.92	38.06	23106
2020-05-04	0054	22.16	22.20	22.16	22.19	7000
2020-05-04	0055	16.99	16.99	16.50	16.85	27000
2020-05-04	0056	26.91	27.15	26.70	27.09	26549120
2020-05-04	0057	54.70	54.80	54.70	54.70	27000
2020-05-04	0061	17.01	17.09	16.87	16.92	330296
2020-05-04	006203	39.04	39.08	39.04	39.08	6000
2020-05-04	006204	53.35	53.35	53.25	53.25	7000
2020-05-04	006205	28.65	28.65	27.73	27.78	3210700
2020-05-04	006206	29.70	29.80	28.95	29.12	857077
2020-05-04	006207	22.05	22.20	21.53	21.72	1674000
2020-05-04	006208	47.90	47.90	47.25	47.70	2021636
2020-05-04	00625K	6.99	6.99	6.90	6.90	56000
2020-05-04	00631L	41.61	42.60	41.51	42.18	16425468
2020-05-04	00632R	10.60	10.63	10.52	10.56	441980276
2020-05-04	00633L	38.80	38.96	38.25	38.50	18785500
2020-05-04	00634R	5.83	5.99	5.83	5.98	4467000
2020-05-04	00635U	24.14	24.35	24.13	24.22	1254116
2020-05-04	00636	19.70	19.75	19.10	19.41	2484761
2020-05-04	00636K	6.47	6.47	6.47	6.47	100
2020-05-04	00637L	15.00	15.10	14.64	14.85	128743748
2020-05-04	00638R	12.04	12.04	11.95	11.96	1796000
2020-05-04	00639	10.80	10.80	10.60	10.66	2208532
2020-05-04	00640L	15.81	15.81	15.26	15.40	1344003
2020-05-04	00641R	15.56	15.80	15.55	15.57	1127002
2020-05-04	00642U	8.60	8.63	8.34	8.56	60808290
2020-05-04	00643	13.00	13.10	12.85	12.91	1213311
2020-05-04	00645	19.09	19.09	18.47	18.47	142984
2020-05-04	00646	26.02	26.02	25.29	25.66	2529583
2020-05-04	00647L	28.93	29.45	28.72	29.32	4040000
2020-05-04	00648R	11.83	11.85	11.73	11.76	4044010
2020-05-04	00650L	21.38	21.40	20.67	20.75	716000
2020-05-04	00651R	8.84	9.20	8.84	9.18	1113000
2020-05-04	00652	17.74	17.74	17.14	17.25	940589
2020-05-04	00653L	15.96	16.29	15.78	16.04	13694000
2020-05-04	00654R	15.95	16.10	15.80	15.93	810000
2020-05-04	00655L	28.12	28.40	27.72	27.98	8032100
