Ticker	Name	StartDate	UpdateDate
000116	日盛證券	1996-06-28	2002-02-05
000930	華南永昌證券	1995-12-27	2001-12-19
000960	富邦證券	1995-12-12	2001-12-19
0009A0	永豐金證券	1994-12-06	2002-05-09
1101	台泥	1962-02-09	2020-05-08
1102	亞泥	1962-06-08	2020-05-08
1103	嘉泥	1969-11-14	2020-05-08
1104	環泥	1971-02-01	2020-05-08
1107	建台	2007-10-22	2012-06-07
1108	幸福	1990-06-06	2020-05-08
1109	信大	1991-12-05	2020-05-08
1110	東泥	1994-10-22	2020-05-08
1201	味全	1962-02-09	2020-05-08
1203	味王	1964-08-24	2020-05-08
1204	津津	1998-02-02	2005-10-04
1206	台鳳	1966-11-29	2000-08-05
1207	嘉食化	1974-06-27	2007-04-11
1209	益華	1968-08-01	2000-11-15
1210	大成	1978-05-20	2020-05-08
1212	中日	1979-06-06	2005-10-28
1213	大飲	1981-04-10	2020-05-08
1215	卜蜂	1987-07-27	2020-05-08
1216	統一	1987-12-28	2020-05-08
1217	愛之味	1989-10-28	2020-05-08
1218	泰山	1989-11-11	2020-05-08
1219	福壽	1990-12-01	2020-05-08
1220	台榮	1991-11-20	2020-05-08
1221	久津	1991-11-23	2003-06-18
1222	源益	1992-03-18	2003-01-09
1224	惠勝	2004-07-07	2006-09-04
1225	福懋油	1993-09-27	2020-05-08
1227	佳格	1994-04-09	2020-05-08
1228	臺芳	1994-10-11	2004-03-15
1229	聯華	1976-07-19	2020-05-08
1230	聯成食品	1995-10-20	2001-11-01
1231	聯華食	1995-11-02	2020-05-08
1232	大統益	1996-02-09	2020-05-08
1233	天仁	1997-03-18	2020-05-08
1234	黑松	1999-03-12	2020-05-08
1235	興泰	2000-09-11	2020-05-08
1236	宏亞	1998-05-08	2020-05-08
1240	茂生農經	2018-08-03	2020-05-08
1256	鮮活果汁-KY	2012-09-05	2020-05-08
1258	其祥-KY	2011-12-12	2020-05-08
1259	安心	2011-12-15	2020-05-08
1262	綠悅-KY	2014-01-16	2019-10-04
1264	德麥	2015-04-09	2020-05-08
1268	漢來美食	2017-09-27	2020-05-08
1301	台塑	1964-07-27	2020-05-08
1303	南亞	1967-11-05	2020-05-08
1304	台聚	1972-05-20	2020-05-08
1305	華夏	1973-03-05	2020-05-08
1306	合發	1979-06-04	2005-10-04
1307	三芳	1985-11-23	2020-05-08
1308	亞聚	1986-06-20	2020-05-08
1309	台達化	1986-06-27	2020-05-08
1310	台苯	1987-08-06	2020-05-08
1311	福聚	1988-10-20	2008-04-23
1312	國喬	1988-12-21	2020-05-08
1313	聯成	1989-03-27	2020-05-08
1314	中石化	1991-07-12	2020-05-08
1315	達新	1992-05-09	2020-05-08
1316	上曜	1992-10-15	2020-05-08
1319	東陽	1994-12-12	2019-06-21
1319	東陽	2019-06-28	2020-05-08
1321	大洋	1999-01-26	2020-05-08
1323	永裕	1996-07-17	2020-05-08
1324	地球	1997-12-26	2020-05-08
1325	恆大	1999-03-29	2020-05-08
1326	台化	1984-12-20	2020-05-08
1333	恩得利	2005-08-08	2020-05-08
1336	台翰	2007-11-02	2020-05-08
1337	再生-KY	2011-08-17	2020-05-08
1338	廣華-KY	2012-12-19	2020-05-08
1339	昭輝	2012-04-24	2020-05-08
1340	勝悅-KY	2014-01-14	2020-05-08
1341	富林-KY	2018-12-21	2020-05-08
1402	遠東新	1967-04-14	2020-05-08
1407	華隆	2003-11-10	2005-01-26
1408	中紡	2006-06-26	2007-12-19
1409	新纖	1973-08-31	2020-05-08
1410	南染	1973-10-18	2020-05-08
1413	宏洲	1975-12-23	2020-05-08
1414	東和	1976-02-02	2020-05-08
1416	廣豐	1976-04-20	2020-05-08
1417	嘉裕	1976-12-28	2020-05-08
