Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1309,profit,4.2%,9.8%,2.4%,4.8%,1798
1313,profit,5.26%,9.96%,3.01%,9.96%,1237
1609,profit,3.52%,9.91%,3.52%,9.91%,664
1802,profit,1.81%,8.25%,-0.2%,5.84%,302
2002,profit,4.69%,9.96%,3.84%,9.96%,1436
2009,profit,2.08%,9.89%,2.08%,9.89%,606
2023,profit,2.72%,9.78%,1.9%,9.78%,390
2030,profit,4.71%,10.0%,3.24%,10.0%,697
2376,loss,-3.03%,-2.16%,-7.36%,-4.76%,-4161
2436,profit,1.69%,4.17%,-2.22%,0.39%,1045
6142,loss,0.0%,1.28%,-5.1%,-3.06%,-563
1815,profit,2.13%,3.19%,-1.6%,-1.06%,287
2641,profit,3.49%,9.84%,3.49%,9.84%,456
total,84.62%,,,,0.87%,4194,482000.0
