Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1474,profit,1.62%,9.72%,1.21%,6.48%,126
1529,loss,-0.9%,-0.9%,-9.91%,-9.61%,-495
2705,loss,-0.61%,-0.61%,-4.91%,-3.37%,-493
5608,profit,3.44%,3.44%,-5.31%,-4.22%,181
6164,loss,0.15%,0.15%,-6.3%,-6.3%,-197
8261,profit,1.77%,1.95%,-3.37%,-3.19%,383
3287,loss,0.92%,1.33%,-4.39%,-3.98%,-295
3675,profit,0.0%,5.13%,0.0%,4.04%,818
5245,profit,0.0%,4.0%,-4.44%,-4.11%,632
6138,loss,-0.59%,1.3%,-3.78%,-2.36%,-2587
6175,loss,0.0%,1.26%,-4.04%,-3.79%,-563
6208,loss,-0.47%,-0.16%,-9.95%,-7.74%,-932
6472,profit,0.88%,4.71%,-4.71%,-4.71%,1992
8349,profit,0.19%,5.24%,0.19%,0.58%,695
8390,loss,-0.5%,0.75%,-5.0%,-5.0%,-564
8472,profit,4.05%,4.05%,-0.62%,-0.62%,1105
total,50.0%,,,,-0.03%,-194,615250.0
