ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,datetime
1641805210648513000,53.3,1556,53.3,61,53.4,14,1,2022-01-10 09:00:10
1641805210682696000,53.4,14,53.3,61,53.5,23,1,2022-01-10 09:00:10
1641805210724762000,53.5,1,53.3,61,53.5,22,1,2022-01-10 09:00:10
1641805210757219000,53.3,1,53.3,60,53.5,22,2,2022-01-10 09:00:10
1641805211051248000,53.3,10,53.3,50,53.5,22,2,2022-01-10 09:00:11
1641805211279859000,53.5,6,53.3,50,53.5,16,1,2022-01-10 09:00:11
1641805211553804000,53.5,7,53.3,50,53.5,9,1,2022-01-10 09:00:11
1641805211592441000,53.5,9,53.3,50,53.6,22,1,2022-01-10 09:00:11
1641805211651038000,53.6,2,53.3,50,53.6,20,1,2022-01-10 09:00:11
1641805211964071000,53.6,2,53.3,50,53.6,18,1,2022-01-10 09:00:11
1641805212095417000,53.3,1,53.3,49,53.6,18,2,2022-01-10 09:00:12
1641805212173714000,53.6,1,53.3,49,53.6,17,1,2022-01-10 09:00:12
1641805212207846000,53.6,2,53.3,49,53.6,15,1,2022-01-10 09:00:12
1641805212307435000,53.6,10,53.3,49,53.6,7,1,2022-01-10 09:00:12
1641805212339309000,53.6,1,53.3,49,53.6,6,1,2022-01-10 09:00:12
1641805212342802000,53.6,6,53.3,49,53.7,16,1,2022-01-10 09:00:12
1641805212497887000,53.7,2,53.3,49,53.7,14,1,2022-01-10 09:00:12
1641805212646944000,53.7,14,53.3,49,54.0,43,1,2022-01-10 09:00:12
1641805212646944000,53.8,66,53.3,49,54.0,43,1,2022-01-10 09:00:12
1641805212646944000,53.9,20,53.3,49,54.0,43,1,2022-01-10 09:00:12
1641805212701965000,53.4,1,53.3,49,54.0,39,2,2022-01-10 09:00:12
1641805212764018000,53.9,1,53.3,47,54.0,38,1,2022-01-10 09:00:12
1641805212764018000,54.0,1,53.3,47,54.0,38,1,2022-01-10 09:00:12
1641805212794110000,54.0,3,53.3,47,54.0,35,1,2022-01-10 09:00:12
1641805213191030000,54.0,1,53.3,57,54.0,29,1,2022-01-10 09:00:13
1641805213256207000,54.0,5,53.6,6,54.0,24,1,2022-01-10 09:00:13
1641805213356032000,54.0,5,53.8,2,54.0,19,1,2022-01-10 09:00:13
1641805213382606000,54.0,2,53.8,2,54.0,17,1,2022-01-10 09:00:13
1641805213472218000,54.0,1,53.8,2,54.0,16,1,2022-01-10 09:00:13
1641805213681817000,54.0,2,53.8,2,54.0,14,1,2022-01-10 09:00:13
1641805213703085000,54.0,2,53.8,2,54.0,12,1,2022-01-10 09:00:13
1641805213858045000,53.8,2,53.5,2,54.0,12,2,2022-01-10 09:00:13
1641805213858045000,53.6,6,53.5,2,54.0,12,2,2022-01-10 09:00:13
1641805213858045000,53.5,2,53.5,2,54.0,12,2,2022-01-10 09:00:13
1641805213879250000,54.0,4,53.5,2,54.0,8,1,2022-01-10 09:00:13
1641805213908079000,53.9,1,53.5,2,53.9,1,1,2022-01-10 09:00:13
1641805214008726000,53.9,1,53.6,8,54.0,7,1,2022-01-10 09:00:14
1641805214008726000,54.0,1,53.6,8,54.0,7,1,2022-01-10 09:00:14
1641805214157580000,53.7,1,53.7,1,54.0,7,2,2022-01-10 09:00:14
1641805214420448000,54.0,1,53.8,4,54.0,6,1,2022-01-10 09:00:14
1641805214461272000,54.0,2,53.8,14,54.0,4,1,2022-01-10 09:00:14
1641805214538956000,54.0,4,53.9,8,54.1,16,1,2022-01-10 09:00:14
1641805214690989000,54.1,16,53.9,8,54.2,11,1,2022-01-10 09:00:14
1641805214690989000,54.2,4,53.9,8,54.2,11,1,2022-01-10 09:00:14
1641805214699921000,53.9,8,53.8,12,54.2,11,2,2022-01-10 09:00:14
1641805214699921000,53.8,2,53.8,12,54.2,11,2,2022-01-10 09:00:14
1641805214852965000,53.8,12,53.6,8,53.7,7,2,2022-01-10 09:00:14
1641805214852965000,53.7,1,53.6,8,53.7,7,2,2022-01-10 09:00:14
1641805214907472000,53.7,1,53.6,8,53.7,6,1,2022-01-10 09:00:14
1641805215080972000,53.7,3,53.6,8,53.7,3,1,2022-01-10 09:00:15
1641805215130211000,53.7,3,53.6,8,54.0,10,1,2022-01-10 09:00:15
1641805215183968000,53.9,3,53.6,8,53.9,2,1,2022-01-10 09:00:15
1641805215366487000,53.9,1,53.7,1,53.9,1,1,2022-01-10 09:00:15
1641805215470974000,53.9,1,53.7,1,54.0,10,1,2022-01-10 09:00:15
1641805215517334000,53.9,5,53.7,1,54.3,64,1,2022-01-10 09:00:15
1641805215517334000,54.0,10,53.7,1,54.3,64,1,2022-01-10 09:00:15
1641805215517334000,54.2,11,53.7,1,54.3,64,1,2022-01-10 09:00:15
1641805215517334000,54.3,4,53.7,1,54.3,64,1,2022-01-10 09:00:15
1641805215705658000,53.9,1,53.8,2,53.9,4,1,2022-01-10 09:00:15
1641805215783183000,53.9,1,53.8,2,53.9,3,1,2022-01-10 09:00:15
1641805215833690000,53.8,3,53.7,1,53.8,2,2,2022-01-10 09:00:15
1641805215870998000,53.7,1,53.6,8,53.7,1,2,2022-01-10 09:00:15
1641805215967047000,53.7,1,53.6,8,53.9,1,1,2022-01-10 09:00:15
1641805215967047000,53.8,2,53.6,8,53.9,1,1,2022-01-10 09:00:15
1641805215967047000,53.9,2,53.6,8,53.9,1,1,2022-01-10 09:00:15
1641805215982891000,53.9,1,53.6,8,54.0,15,1,2022-01-10 09:00:15
1641805216013721000,53.6,1,53.6,7,54.0,15,2,2022-01-10 09:00:16
1641805216244865000,53.8,1,53.6,8,53.8,1,1,2022-01-10 09:00:16
1641805216398881000,53.6,9,53.5,1,53.8,2,2,2022-01-10 09:00:16
1641805216398881000,53.5,1,53.5,1,53.8,2,2,2022-01-10 09:00:16
1641805216404004000,53.8,2,53.5,1,54.0,13,1,2022-01-10 09:00:16
1641805216404004000,54.0,2,53.5,1,54.0,13,1,2022-01-10 09:00:16
1641805216504528000,53.6,1,53.6,1,53.9,20,2,2022-01-10 09:00:16
1641805216526510000,53.9,20,53.6,1,54.0,23,1,2022-01-10 09:00:16
1641805216558651000,54.0,1,53.6,1,54.0,22,1,2022-01-10 09:00:16
1641805216658553000,54.0,1,53.7,1,54.0,21,1,2022-01-10 09:00:16
1641805216761003000,54.0,1,53.7,2,54.0,20,1,2022-01-10 09:00:16
1641805216859008000,53.8,1,53.7,2,53.8,4,1,2022-01-10 09:00:16
1641805216923531000,53.7,2,53.3,60,53.8,4,2,2022-01-10 09:00:16
1641805216923531000,53.6,1,53.3,60,53.8,4,2,2022-01-10 09:00:16
1641805216923531000,53.5,1,53.3,60,53.8,4,2,2022-01-10 09:00:16
1641805216923531000,53.3,6,53.3,60,53.8,4,2,2022-01-10 09:00:16
1641805217021659000,53.7,2,53.3,56,53.8,4,1,2022-01-10 09:00:17
1641805217083977000,53.3,1,53.3,56,53.8,4,2,2022-01-10 09:00:17
1641805217105975000,53.8,1,53.3,56,53.8,3,1,2022-01-10 09:00:17
1641805217113150000,53.8,3,53.3,56,54.0,23,1,2022-01-10 09:00:17
1641805217113150000,53.9,1,53.3,56,54.0,23,1,2022-01-10 09:00:17
1641805217113150000,54.0,1,53.3,56,54.0,23,1,2022-01-10 09:00:17
1641805217152861000,54.0,3,53.4,1,54.0,16,1,2022-01-10 09:00:17
1641805217202620000,53.4,1,53.3,59,53.9,5,2,2022-01-10 09:00:17
1641805217264792000,53.8,1,53.3,56,53.9,5,1,2022-01-10 09:00:17
1641805217321496000,53.9,5,54.0,66,54.1,15,1,2022-01-10 09:00:17
1641805217321496000,54.0,19,54.0,66,54.1,15,1,2022-01-10 09:00:17
1641805217351163000,54.0,3,54.0,63,54.1,15,2,2022-01-10 09:00:17
1641805217358593000,54.1,6,54.0,63,54.1,9,1,2022-01-10 09:00:17
1641805217380420000,54.0,3,54.0,60,54.1,9,2,2022-01-10 09:00:17
1641805217388788000,54.0,1,54.0,59,54.1,9,2,2022-01-10 09:00:17
1641805217416674000,54.0,3,54.0,56,54.1,9,2,2022-01-10 09:00:17
1641805217435596000,54.0,3,54.0,53,54.1,9,2,2022-01-10 09:00:17
1641805217473026000,54.1,5,54.0,53,54.1,4,1,2022-01-10 09:00:17
1641805217502887000,54.1,1,54.0,55,54.1,3,1,2022-01-10 09:00:17
1641805217705535000,54.1,1,54.0,55,54.1,2,1,2022-01-10 09:00:17
1641805217815240000,54.0,10,54.0,45,54.1,2,2,2022-01-10 09:00:17
1641805217884323000,54.0,5,54.0,40,54.1,2,2,2022-01-10 09:00:17
1641805217890153000,54.1,2,54.0,40,54.3,61,1,2022-01-10 09:00:17
1641805217890153000,54.2,5,54.0,40,54.3,61,1,2022-01-10 09:00:17
1641805217890153000,54.3,3,54.0,40,54.3,61,1,2022-01-10 09:00:17
1641805217921355000,54.3,13,54.0,40,54.3,48,1,2022-01-10 09:00:17
1641805218000909000,54.1,1,54.0,33,54.3,48,2,2022-01-10 09:00:18
1641805218000909000,54.0,7,54.0,33,54.3,48,2,2022-01-10 09:00:18
1641805218277097000,54.3,1,54.0,33,54.3,47,1,2022-01-10 09:00:18
1641805218337771000,54.3,5,54.0,33,54.3,42,1,2022-01-10 09:00:18
1641805218420227000,54.3,1,54.0,34,54.3,41,1,2022-01-10 09:00:18
1641805218451339000,54.3,1,54.0,34,54.3,40,1,2022-01-10 09:00:18
1641805218459029000,54.3,23,54.0,34,54.3,17,1,2022-01-10 09:00:18
1641805218885548000,54.3,2,54.0,37,54.3,15,1,2022-01-10 09:00:18
1641805218918871000,54.1,1,54.0,37,54.1,9,1,2022-01-10 09:00:18
1641805218993746000,54.0,10,54.0,27,54.1,9,2,2022-01-10 09:00:18
1641805219028688000,54.0,26,54.0,4,54.1,9,2,2022-01-10 09:00:19
1641805219094081000,54.0,4,54.0,1,54.1,9,2,2022-01-10 09:00:19
1641805219259246000,54.0,2,53.9,1,54.1,9,2,2022-01-10 09:00:19
1641805219271900000,54.1,1,53.9,1,54.1,8,1,2022-01-10 09:00:19
1641805219383578000,54.1,1,54.0,1,54.1,7,1,2022-01-10 09:00:19
1641805219426975000,54.1,2,54.0,1,54.1,5,1,2022-01-10 09:00:19
1641805219442752000,54.0,1,53.9,3,54.1,5,2,2022-01-10 09:00:19
1641805219600014000,53.9,3,53.6,2,54.0,5,2,2022-01-10 09:00:19
1641805219600014000,53.6,2,53.6,2,54.0,5,2,2022-01-10 09:00:19
1641805219628498000,54.0,5,53.6,2,54.1,5,1,2022-01-10 09:00:19
1641805219660433000,54.1,1,53.6,2,54.1,4,1,2022-01-10 09:00:19
1641805219796018000,54.1,1,54.0,1,54.1,3,1,2022-01-10 09:00:19
1641805219867659000,54.1,1,54.0,3,54.1,2,1,2022-01-10 09:00:19
1641805219921445000,54.0,1,54.0,3,54.1,12,2,2022-01-10 09:00:19
1641805220029108000,54.0,1,54.0,2,54.1,12,2,2022-01-10 09:00:20
1641805220076948000,54.1,2,54.0,2,54.1,10,1,2022-01-10 09:00:20
1641805220098282000,54.0,2,53.7,1,54.0,8,2,2022-01-10 09:00:20
1641805220102963000,54.0,1,53.7,1,54.0,7,1,2022-01-10 09:00:20
1641805220228325000,54.0,1,53.7,1,54.0,6,1,2022-01-10 09:00:20
1641805220258211000,53.7,1,53.3,16,54.0,6,2,2022-01-10 09:00:20
1641805220258211000,53.6,4,53.3,16,54.0,6,2,2022-01-10 09:00:20
1641805220258211000,53.5,3,53.3,16,54.0,6,2,2022-01-10 09:00:20
1641805220258211000,53.4,10,53.3,16,54.0,6,2,2022-01-10 09:00:20
1641805220258211000,53.3,42,53.3,16,54.0,6,2,2022-01-10 09:00:20
1641805220275608000,54.0,1,53.3,16,54.0,5,1,2022-01-10 09:00:20
1641805220277260000,54.0,5,53.3,16,54.1,10,1,2022-01-10 09:00:20
1641805220277260000,54.1,5,53.3,16,54.1,10,1,2022-01-10 09:00:20
1641805220331883000,53.9,1,53.3,13,54.1,5,1,2022-01-10 09:00:20
1641805220331883000,54.1,5,53.3,13,54.1,5,1,2022-01-10 09:00:20
1641805220487417000,54.0,1,53.4,4,53.9,5,2,2022-01-10 09:00:20
1641805220703395000,53.9,1,53.4,1,53.9,4,1,2022-01-10 09:00:20
1641805220772209000,53.4,1,53.3,13,53.9,4,2,2022-01-10 09:00:20
1641805220787664000,53.9,1,53.3,13,53.9,3,1,2022-01-10 09:00:20
1641805220844428000,53.9,1,53.8,1,53.9,2,1,2022-01-10 09:00:20
1641805220864148000,53.9,1,53.8,1,53.9,1,1,2022-01-10 09:00:20
1641805220867140000,53.8,1,53.3,13,53.9,1,2,2022-01-10 09:00:20
1641805220874494000,53.9,1,53.3,13,54.0,23,1,2022-01-10 09:00:20
1641805220914524000,54.0,1,53.3,13,54.0,22,1,2022-01-10 09:00:20
1641805220968194000,54.0,2,53.3,13,54.0,20,1,2022-01-10 09:00:20
1641805220969301000,54.0,3,53.3,13,54.0,17,1,2022-01-10 09:00:20
1641805220996460000,53.3,1,53.3,12,54.0,17,2,2022-01-10 09:00:20
1641805220997145000,53.3,1,53.3,11,54.0,17,2,2022-01-10 09:00:20
1641805221054005000,54.0,1,53.3,11,54.0,16,1,2022-01-10 09:00:21
1641805221132663000,53.3,5,53.3,6,53.9,5,2,2022-01-10 09:00:21
1641805221137497000,53.9,2,53.7,1,53.9,3,1,2022-01-10 09:00:21
1641805221220581000,53.9,1,53.7,1,53.9,2,1,2022-01-10 09:00:21
1641805221230163000,53.9,2,53.7,1,54.0,24,1,2022-01-10 09:00:21
1641805221230163000,54.0,3,53.7,1,54.0,24,1,2022-01-10 09:00:21
1641805221343364000,53.9,3,53.7,1,53.9,2,1,2022-01-10 09:00:21
1641805221359019000,53.9,2,53.7,1,54.0,17,1,2022-01-10 09:00:21
1641805221359019000,54.0,7,53.7,1,54.0,17,1,2022-01-10 09:00:21
1641805221517977000,53.9,1,53.7,1,53.9,4,1,2022-01-10 09:00:21
1641805221532879000,53.9,2,53.7,1,53.9,2,1,2022-01-10 09:00:21
1641805221541025000,53.7,1,53.3,6,53.4,1,2,2022-01-10 09:00:21
1641805221574423000,53.4,1,53.3,6,53.9,2,1,2022-01-10 09:00:21
1641805221712306000,53.9,1,53.3,6,53.9,1,1,2022-01-10 09:00:21
1641805221787020000,53.9,1,53.3,6,54.0,18,1,2022-01-10 09:00:21
1641805221823654000,54.0,1,53.3,6,54.0,17,1,2022-01-10 09:00:21
1641805221827515000,54.0,1,53.3,6,54.0,16,1,2022-01-10 09:00:21
1641805221865141000,54.0,1,53.3,6,54.0,15,1,2022-01-10 09:00:21
1641805221870027000,54.0,1,53.3,6,54.0,14,1,2022-01-10 09:00:21
1641805221975725000,53.9,1,53.3,6,53.9,1,1,2022-01-10 09:00:21
1641805222019923000,53.9,1,53.5,10,54.0,14,1,2022-01-10 09:00:22
1641805222031574000,54.0,1,53.5,10,54.0,13,1,2022-01-10 09:00:22
1641805222069608000,54.0,1,53.5,10,54.0,12,1,2022-01-10 09:00:22
1641805222069633000,54.0,1,53.5,10,54.0,11,1,2022-01-10 09:00:22
1641805222275975000,53.9,1,53.7,1,54.0,11,1,2022-01-10 09:00:22
1641805222298759000,54.0,1,53.7,1,54.0,10,1,2022-01-10 09:00:22
1641805222301367000,54.0,1,53.7,1,54.0,9,1,2022-01-10 09:00:22
1641805222312918000,54.0,4,53.7,1,54.0,5,1,2022-01-10 09:00:22
1641805222316971000,53.7,1,53.5,8,54.0,5,2,2022-01-10 09:00:22
1641805222316971000,53.5,2,53.5,8,54.0,5,2,2022-01-10 09:00:22
1641805222400650000,53.9,4,53.5,8,54.0,5,1,2022-01-10 09:00:22
1641805222492401000,53.9,1,53.6,2,53.9,7,1,2022-01-10 09:00:22
1641805222522151000,53.9,10,53.6,2,53.9,7,1,2022-01-10 09:00:22
1641805222682746000,53.8,10,53.7,4,54.0,14,1,2022-01-10 09:00:22
1641805222682746000,53.9,9,53.7,4,54.0,14,1,2022-01-10 09:00:22
1641805222682746000,54.0,1,53.7,4,54.0,14,1,2022-01-10 09:00:22
1641805222740878000,54.0,1,53.7,4,54.0,13,1,2022-01-10 09:00:22
1641805222845668000,53.8,1,53.7,4,53.9,5,2,2022-01-10 09:00:22
1641805222858910000,53.9,1,53.7,4,53.9,4,1,2022-01-10 09:00:22
1641805222894512000,53.9,3,53.7,4,53.9,1,1,2022-01-10 09:00:22
1641805223094977000,53.9,1,53.7,4,54.0,11,1,2022-01-10 09:00:23
1641805223094977000,54.0,2,53.7,4,54.0,11,1,2022-01-10 09:00:23
1641805223231967000,54.0,1,53.7,4,54.0,10,1,2022-01-10 09:00:23
1641805223236223000,54.0,1,53.7,4,54.0,9,1,2022-01-10 09:00:23
1641805223273522000,54.0,5,53.7,4,54.0,4,1,2022-01-10 09:00:23
1641805223325542000,53.7,3,53.7,1,54.0,4,2,2022-01-10 09:00:23
1641805223417745000,54.0,2,53.7,1,54.0,2,1,2022-01-10 09:00:23
1641805223608033000,54.0,2,53.8,1,54.1,6,1,2022-01-10 09:00:23
1641805223754731000,53.9,1,53.8,1,54.1,6,1,2022-01-10 09:00:23
1641805223791579000,54.0,1,53.8,1,54.3,26,1,2022-01-10 09:00:23
1641805223791579000,54.1,6,53.8,1,54.3,26,1,2022-01-10 09:00:23
1641805223791579000,54.2,1,53.8,1,54.3,26,1,2022-01-10 09:00:23
1641805223791579000,54.3,2,53.8,1,54.3,26,1,2022-01-10 09:00:23
1641805223850276000,54.3,1,53.8,1,54.3,25,1,2022-01-10 09:00:23
1641805223860730000,54.3,5,53.8,1,54.3,20,1,2022-01-10 09:00:23
1641805223881868000,53.8,2,53.7,1,53.8,13,2,2022-01-10 09:00:23
1641805223912786000,53.7,1,53.6,8,53.8,13,2,2022-01-10 09:00:23
1641805223916509000,53.6,5,53.6,3,53.8,13,2,2022-01-10 09:00:23
1641805223948293000,53.8,2,53.6,3,53.8,11,1,2022-01-10 09:00:23
1641805223980734000,53.8,1,53.6,3,53.8,10,1,2022-01-10 09:00:23
1641805224012835000,53.8,1,53.6,3,53.8,9,1,2022-01-10 09:00:24
1641805224077679000,53.6,3,53.5,13,53.8,9,2,2022-01-10 09:00:24
1641805224181571000,53.8,1,53.5,13,53.8,8,1,2022-01-10 09:00:24
1641805224363238000,53.8,2,53.5,13,53.8,6,1,2022-01-10 09:00:24
1641805224928865000,53.8,1,53.6,3,53.8,5,1,2022-01-10 09:00:24
1641805224964894000,53.8,3,53.6,3,53.8,2,1,2022-01-10 09:00:24
1641805225032049000,53.8,2,53.6,3,53.9,5,1,2022-01-10 09:00:25
1641805225032803000,53.9,1,53.6,3,53.9,4,1,2022-01-10 09:00:25
1641805225081939000,53.9,4,53.6,3,54.0,10,1,2022-01-10 09:00:25
1641805225081939000,54.0,4,53.6,3,54.0,10,1,2022-01-10 09:00:25
1641805225187220000,53.8,1,53.6,3,53.8,4,1,2022-01-10 09:00:25
1641805225194659000,53.8,1,53.6,3,53.8,3,1,2022-01-10 09:00:25
1641805225224194000,53.8,3,53.6,3,54.0,10,1,2022-01-10 09:00:25
1641805225311105000,53.7,1,53.6,3,53.7,4,1,2022-01-10 09:00:25
1641805225346346000,53.7,1,53.6,3,53.7,3,1,2022-01-10 09:00:25
1641805225353622000,53.7,1,53.5,14,53.7,2,1,2022-01-10 09:00:25
1641805225476897000,53.7,2,53.5,9,54.0,3,1,2022-01-10 09:00:25
1641805225476897000,54.0,8,53.5,9,54.0,3,1,2022-01-10 09:00:25
1641805225678498000,53.6,2,53.4,2,53.9,1,2,2022-01-10 09:00:25
1641805225678498000,53.5,9,53.4,2,53.9,1,2,2022-01-10 09:00:25
1641805225678498000,53.4,9,53.4,2,53.9,1,2,2022-01-10 09:00:25
1641805225689494000,53.9,1,53.4,2,54.0,2,1,2022-01-10 09:00:25
1641805225689494000,54.0,1,53.4,2,54.0,2,1,2022-01-10 09:00:25
1641805225761739000,53.9,1,53.4,2,53.9,1,1,2022-01-10 09:00:25
