交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-25,MarginTrading,Common,1110,IJ333,1,22.0,9031,21.35,13000,0,0,2,0,31,30.0,64,-649.9999999999986,127.0,-777.0,-776.9999999999986,-8.6%
2022-03-25,MarginTrading,Common,1612,IJ327,1,30.2,12243,30.75,18000,0,0,3,0,43,44.0,92,550.0000000000007,182.0,369.0,368.0000000000007,3.01%
2022-03-25,MarginTrading,Common,1711,IG456,2,27.35,22777,26.4,32000,0,0,6,0,77,38.0,158,-1900.0000000000057,279.0,-2216.0,-2179.0000000000055,-9.73%
2022-03-25,MarginTrading,Common,2313,IJ326,1,53.0,22075,51.6,31000,0,0,5,0,75,74.0,154,-1399.9999999999986,308.0,-1707.0,-1707.9999999999986,-7.73%
2022-03-25,MarginTrading,Common,2457,IJ328,1,47.65,19717,48.55,28000,0,0,5,0,67,69.0,145,899.9999999999986,286.0,614.0,613.9999999999986,3.11%
2022-03-25,MarginTrading,Common,2486,IJ324,1,49.0,20069,49.7,29000,0,0,5,0,69,71.0,149,700.0000000000028,294.0,407.0,406.00000000000284,2.03%
2022-03-25,MarginTrading,Common,3305,IJ321,1,80.0,32114,77.6,48000,0,0,8,0,114,111.0,232,-2400.0000000000055,465.0,-2864.0,-2865.0000000000055,-8.92%
2022-03-25,MarginTrading,Common,6190,IJ323,1,38.9,15955,37.75,23000,0,0,4,0,55,54.0,113,-1149.9999999999986,226.0,-1375.0,-1375.9999999999986,-8.62%
2022-03-25,MarginTrading,Common,8431,IJ325,1,76.6,38709,74.5,38000,0,0,7,0,109,106.0,223,-2099.9999999999945,445.0,-2545.0,-2544.9999999999945,-6.57%
合計,,,,,10,,452050,,260000,0,0,45,0,640,597.0,1330,-7450.0,2612.0,-10094.0,-10061.0,-2.23%
