交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-04-21,Cash,DayTrade,1219,IH230,1,27.7,27739,28.1,0,0,0,0,0,39,40.0,42,400.00000000000216,121.0,279.0,279.00000000000216,1.01%
2022-04-21,Cash,DayTrade,1220,IC038,1,24.65,24685,24.15,0,0,0,0,0,35,34.0,36,-500.0,105.0,-605.0,-605.0,-2.45%
2022-04-21,Cash,DayTrade,1220,IH714,1,23.6,23633,23.7,0,0,0,0,0,33,34.0,35,99.99999999999787,102.0,-1.0,-2.0000000000021316,0.0%
2022-04-21,Cash,DayTrade,1240,IF007,1,74.6,74706,75.4,0,0,0,0,0,106,107.0,113,800.0000000000114,326.0,474.0,474.00000000001137,0.63%
2022-04-21,Cash,DayTrade,1584,ID672,1,23.5,23533,23.0,0,0,0,0,0,33,33.0,34,-500.0,100.0,-599.0,-600.0,-2.55%
2022-04-21,Cash,DayTrade,1584,IG790,1,22.7,22732,23.1,0,0,0,0,0,32,33.0,34,400.00000000000216,99.0,302.0,301.00000000000216,1.33%
2022-04-21,Cash,DayTrade,4121,IB897,1,32.75,32796,33.1,0,0,0,0,0,46,47.0,49,350.0000000000014,142.0,208.0,208.00000000000142,0.63%
2022-04-21,Cash,DayTrade,4171,IC224,1,166.5,166737,163.0,0,0,0,0,0,237,232.0,244,-3500.0,713.0,-4213.0,-4213.0,-2.53%
2022-04-21,Cash,DayTrade,6164,IH860,1,14.8,14821,14.75,0,0,0,0,0,21,21.0,22,-50.00000000000071,64.0,-114.0,-114.00000000000071,-0.77%
2022-04-21,Cash,DayTrade,8171,IE544,1,52.4,52474,53.1,0,0,0,0,0,74,76.0,79,700.0000000000028,229.0,472.0,471.00000000000284,0.9%
合計,,,,,10,,463200,,0,0,0,0,0,656,657.0,688,-1799.0,2001.0,-3797.0,-3800.0,-0.82%
