Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,22709,
'1102,,,,,8842,
'1103,,,,,389,
'1104,,,,,512,
'1108,,,,,234,
'1109,,,,,160,
'1110,,,,,159,
'1201,,,,,6324,
'1203,,,,,31,
'1210,,,,,1578,
'1213,,,,,2,
'1215,,,,,193,
'1216,,,,,9682,
'1217,,,,,26672,
'1218,,,,,10163,
'1219,,,,,20215,
'1220,,,,,8537,
'1225,,,,,445,
'1227,,,,,1479,
'1229,,,,,2880,
'1231,,,,,711,
'1232,,,,,85,
'1233,,,,,10,
'1234,,,,,158,
'1235,,,,,239,
'1236,,,,,279,
'1240,,,,,1260,
'1256,,,,,11,
'1258,,,,,1339,
'1259,,,,,2,
'1264,,,,,1,
'1268,,,,,16,
'1301,,,,,7822,
'1303,,,,,8265,
'1304,,,,,8070,
'1305,,,,,976,
'1307,,,,,57,
'1308,,,,,5381,
'1309,,,,,774,
'1310,,,,,636,
'1312,,,,,5507,
'1313,,,,,2088,
'1314,,,,,13970,
'1315,,,,,7,
'1316,,,,,1195,
'1319,,,,,357,
'1321,,,,,87,
'1323,,,,,38,
'1324,,,,,19,
'1325,,,,,1846,
'1326,,,,,5231,
'1336,,,,,25,
'1337,,,,,179,
'1338,,,,,143,
'1339,,,,,102,
'1340,,,,,45,
'1341,,,,,7,
'1342,,,,,94,
'1402,,,,,6231,
'1409,,,,,1355,
'1410,,,,,1,
'1413,,,,,129,
'1414,,,,,759,
'1416,,,,,80,
'1417,,,,,196,
'1418,,,,,179,
'1419,,,,,23,
'1423,,,,,20,
'1432,,,,,430,
'1434,,,,,2607,
'1435,,,,,27,
'1436,,,,,70,
'1437,,,,,140,
'1438,,,,,70,
'1439,,,,,7,
'1440,,,,,1917,
'1441,,,,,19,
'1442,,,,,159,
'1443,,,,,12,
'1444,,,,,2091,
'1445,,,,,32,
'1446,,,,,76,
'1447,,,,,1473,
'1449,,,,,27,
'1451,,,,,171,
'1452,,,,,130,
'1453,,,,,18271,
'1454,,,,,109,
'1455,,,,,932,
'1456,,,,,25,
'1457,,,,,154,
'1459,,,,,311,
'1460,,,,,1047,
'1463,,,,,40,
'1464,,,,,145,
'1465,,,,,24,
'1466,,,,,627,
'1467,,,,,2042,
'1468,,,,,69,
'1470,,,,,154,
'1471,,,,,248,
'1472,,,,,6,
'1473,,,,,34,
'1474,,,,,200,
'1475,,,,,81,
'1476,,,,,691,
'1477,,,,,739,
'1503,,,,,78,
'1504,,,,,2816,
'1506,,,,,506,
'1512,,,,,12,
'1513,,,,,31367,
'1514,,,,,1715,
'1515,,,,,461,
'1516,,,,,537,
'1517,,,,,458,
'1519,,,,,1100,
'1521,,,,,20,
'1522,,,,,522,
'1524,,,,,1476,
'1525,,,,,0,
'1526,,,,,78,
'1527,,,,,136,
'1528,,,,,172,
'1529,,,,,1256,
'1530,,,,,24,
'1531,,,,,119,
'1532,,,,,153,
'1533,,,,,2602,
'1535,,,,,50,
'1536,,,,,196,
'1537,,,,,21,
'1538,,,,,8,
'1539,,,,,721,
'1540,,,,,134,
'1541,,,,,287,
'1558,,,,,26,
'1560,,,,,5334,
'1565,,,,,87,
'1568,,,,,429,
'1569,,,,,510,
'1570,,,,,132,
'1580,,,,,21,
'1582,,,,,90,
'1583,,,,,2,
'1584,,,,,3543,
'1586,,,,,256,
'1587,,,,,39,
'1589,,,,,6350,
'1590,,,,,917,
'1591,,,,,66,
'1593,,,,,16,
'1595,,,,,17,
'1597,,,,,51,
'1598,,,,,207,
'1599,,,,,435,
'1603,,,,,676,
'1604,,,,,304,
'1605,,,,,206346,
'1608,,,,,1871,
'1609,,,,,26924,
'1611,,,,,5695,
'1612,,,,,2549,
'1614,,,,,65,
'1615,,,,,66,
'1616,,,,,1042,
'1617,,,,,54,
'1618,,,,,266,
'1626,,,,,820,
'1701,,,,,6897,
'1702,,,,,404,
'1707,,,,,147,
'1708,,,,,103814,
'1709,,,,,6025,
'1710,,,,,1722,
'1711,,,,,7684,
'1712,,,,,13412,
'1713,,,,,50,
'1714,,,,,1950,
'1717,,,,,29013,
'1718,,,,,2267,
'1720,,,,,1074,
'1721,,,,,4294,
'1722,,,,,11754,
'1723,,,,,412,
'1725,,,,,26,
'1726,,,,,11,
'1727,,,,,3591,
'1730,,,,,13,
'1731,,,,,1877,
'1732,,,,,12449,
'1733,,,,,470,
'1734,,,,,9821,
'1735,,,,,1,
'1736,,,,,1033,
'1737,,,,,282,
'1742,,,,,62,
'1752,,,,,53,
'1760,,,,,5820,
'1762,,,,,1735,
'1773,,,,,547,
'1776,,,,,51,
'1777,,,,,17,
'1781,,,,,793,
'1783,,,,,223,
'1784,,,,,188,
'1785,,,,,2160,
'1786,,,,,6,
