交易日期,代號,名稱,買均,買量,賣均,賣量,累計買均,累計買量,損益,進場手續費,出場手續費,交易稅,淨損益,餘量,餘累買量,餘買均
2022-05-09,'6235,華孚,,,39.36,-355.0,-0.0,-355.0,,,,,,0.0,0.0,0.0
2022-05-10,'6235,華孚,,,38.44,-600.0,-0.0,-955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-05-26,'6235,華孚,39.46,655.0,,,-86.15433333333333,-300.0,,,,,,0.0,0.0,
2022-05-27,'6235,華孚,39.99,426.0,,,340.3336507936508,126.0,,,,,,0.0,0.0,
2022-05-31,'6235,華孚,,,44.9,-691.0,340.3336507936508,-565.0,3739958.0,11664.0,13264.0,93077.0,3621953.0,,0.0,
2022-06-01,'6235,華孚,,,45.25,-386.0,340.3336507936508,-951.0,2030359.0,6599.0,7467.0,52400.0,1963893.0,,0.0,
2022-06-10,'6235,華孚,44.11,718.0,,,1253.1601798487636,-233.0,,,,,,718.0,718.0,
2022-06-14,'6235,華孚,43.12,332.0,,,-2804.7523424723427,99.0,,,,,,332.0,1050.0,
2022-06-15,'6235,華孚,45.42,120.0,,,-1243.0140726244836,219.0,,,,,,120.0,1170.0,
2022-06-16,'6235,華孚,42.04,186.0,,,-652.8410911228689,405.0,,,,,,186.0,1356.0,
2022-06-17,'6235,華孚,41.81,777.0,,,-196.20496777052614,1182.0,,,,,,777.0,2133.0,
2022-06-20,'6235,華孚,42.52,226.0,,,-157.88689765963204,1408.0,,,,,,226.0,2359.0,
