Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,MaxOIStrikePut,MaxOIPut,TotalOIPut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-01-04,發行量加權股價指數,14732.53,14937.13,14720.25,14902.03,,,,,,,,,,,,,,,,,,
2021-01-05,發行量加權股價指數,14902.03,15000.03,14861.99,15000.03,,,,,,,,,,,,,,,,,,
2021-01-06,發行量加權股價指數,15000.03,15197.68,14837.0,14983.13,,,,,,,,,,,,,,,,,,
2021-01-07,發行量加權股價指數,14983.13,15270.4,14983.13,15214.0,,,,,,,,,,,,,,,,,,
2021-01-08,發行量加權股價指數,15214.0,15463.95,15214.0,15463.95,,,,,,,,,,,,,,,,,,
2021-01-11,發行量加權股價指數,15463.95,15557.3,15395.73,15557.3,,,,,,,,,,,,,,,,,,
2021-01-12,發行量加權股價指數,15557.3,15642.03,15421.23,15500.7,,,,,,,,,,,,,,,,,,
2021-01-13,發行量加權股價指數,15500.7,15778.52,15500.7,15769.98,,,,,,,,,,,,,,,,,,
2021-01-14,發行量加權股價指數,15769.98,15769.98,15620.96,15707.19,,,,,,,,,,,,,,,,,,
2021-01-15,發行量加權股價指數,15707.19,16041.59,15615.11,15616.39,,,,,,,,,,,,,,,,,,
2021-01-18,發行量加權股價指數,15616.39,15676.45,15320.97,15612.0,,,,,,,,,,,,,,,,,,
2021-01-19,發行量加權股價指數,15612.0,15928.14,15612.0,15877.37,,,,,,,,,,,,,,,,,,
2021-01-20,發行量加權股價指數,15877.37,16004.32,15745.48,15806.18,,,,,,,,,,,,,,,,,,
2021-01-21,發行量加權股價指數,15806.18,16238.46,15775.73,16153.77,,,,,,,,,,,,,,,,,,
2021-01-22,發行量加權股價指數,16153.77,16153.77,15973.02,16019.03,,,,,,,,,,,,,,,,,,
2021-01-25,發行量加權股價指數,16019.03,16019.03,15772.63,15946.54,,,,,,,,,,,,,,,,,,
2021-01-26,發行量加權股價指數,15946.54,16023.87,15589.21,15658.85,,,,,,,,,,,,,,,,,,
2021-01-27,發行量加權股價指數,15658.85,15837.47,15642.12,15701.45,,,,,,,,,,,,,,,,,,
2021-01-28,發行量加權股價指數,15701.45,15701.45,15367.45,15415.88,,,,,,,,,,,,,,,,,,
2021-01-29,發行量加權股價指數,15415.88,15603.41,15138.31,15138.31,,,,,,,,,,,,,,,,,,
2021-02-01,發行量加權股價指數,15138.31,15429.98,15089.96,15410.09,,,,,,,,,,,,,,,,,,
2021-02-02,發行量加權股價指數,15410.09,15838.15,15410.09,15760.05,,,,,,,,,,,,,,,,,,
2021-02-03,發行量加權股價指數,15760.05,15896.4,15741.16,15771.32,,,,,,,,,,,,,,,,,,
2021-02-04,發行量加權股價指數,15771.32,15801.37,15606.74,15706.22,,,,,,,,,,,,,,,,,,
2021-02-05,發行量加權股價指數,15706.22,15938.09,15706.22,15802.4,,,,,,,,,,,,,,,,,,
2021-02-17,發行量加權股價指數,15802.4,16406.78,15802.4,16362.29,,,,,,,,,,,,,,,,,,
2021-02-18,發行量加權股價指數,16362.29,16517.73,16323.22,16424.51,,,,,,,,,,,,,,,,,,
2021-02-19,發行量加權股價指數,16424.51,16424.51,16211.25,16341.38,,,,,,,,,,,,,,,,,,
2021-02-22,發行量加權股價指數,16341.38,16579.17,16341.38,16410.16,,,,,,,,,,,,,,,,,,
2021-02-23,發行量加權股價指數,16410.16,16467.75,16211.75,16443.4,,,,,,,,,,,,,,,,,,
2021-02-24,發行量加權股價指數,16443.4,16456.94,16212.53,16212.53,,,,,,,,,,,,,,,,,,
2021-02-25,發行量加權股價指數,16212.53,16474.05,16212.53,16452.18,,,,,,,,,,,,,,,,,,
2021-02-26,發行量加權股價指數,16452.18,16452.18,15953.8,15953.8,,,,,,,,,,,,,,,,,,
2021-03-02,發行量加權股價指數,15953.8,16262.91,15946.88,15946.88,,,,,,,,,,,,,,,,,,
2021-03-03,發行量加權股價指數,15946.88,16211.73,15884.55,16211.73,,,,,,,,,,,,,,,,,,
2021-03-04,發行量加權股價指數,16211.73,16211.73,15840.99,15906.41,,,,,,,,,,,,,,,,,,
2021-03-05,發行量加權股價指數,15906.41,15934.43,15636.43,15855.23,,,,,,,,,,,,,,,,,,
2021-03-08,發行量加權股價指數,15855.23,16074.97,15816.5,15820.11,,,,,,,,,,,,,,,,,,
