Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-03-02,發行量加權股價指數,15953.8,16262.91,15946.88,15946.88,,,,,,,,,,,,,,,,,,,,
2021-03-03,發行量加權股價指數,15946.88,16211.73,15884.55,16211.73,,,,,,,,,,,,,,,,,,,,
2021-03-04,發行量加權股價指數,16211.73,16211.73,15840.99,15906.41,,,,,,,,,,,,,,,,,,,,
2021-03-05,發行量加權股價指數,15906.41,15934.43,15636.43,15855.23,,,,,,,,,,,,,,,,,,,,
2021-03-08,發行量加權股價指數,15855.23,16074.97,15816.5,15820.11,,,,,,,,,,,,,,,,,,,,
2021-03-09,發行量加權股價指數,15820.11,15864.26,15657.92,15853.09,,,,,,,,,,,,,,,,,,,,
2021-03-10,發行量加權股價指數,15853.09,15986.07,15853.09,15911.67,,,,,,,,,,,,,,,,,,,,
2021-03-11,發行量加權股價指數,15911.67,16216.22,15911.67,16179.56,,,,,,,,,,,,,,,,,,,,
2021-03-12,發行量加權股價指數,16179.56,16298.03,16166.35,16255.18,,,,,,,,,,,,,,,,,,,,
2021-03-15,發行量加權股價指數,16255.18,16281.91,16194.91,16249.33,,,,,,,,,,,,,,,,,,,,
2021-03-16,發行量加權股價指數,16249.33,16340.66,16244.99,16313.16,,,,,,,,,,,,,,,,,,,,
2021-03-17,發行量加權股價指數,16313.16,16349.21,16166.35,16215.82,,,,,,,,,,,,,,,,,,,,
2021-03-18,發行量加權股價指數,16215.82,16410.02,16215.82,16287.84,,,,202104,17000.0,13378.0,66796.0,16845.45182346248,15000.0,11200.0,73272.0,15477.350147396004,0.0,,,-0.09,,,-0.04,0.09
2021-03-19,發行量加權股價指數,16287.84,16287.84,16022.17,16070.24,,,,202104,17000.0,13288.0,78528.0,16999.14425427873,15000.0,12310.0,79108.0,15357.44046114173,0.0,11732.0,5836.0,-0.01,0.08,,-0.05,0.07
