EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2003-04-25,2003-04-30,9.9,8.91,20,20,30,0,70,5,920,0.0929,9.9,0.0,8.8,-0.1111
2005-01-25,2005-04-19,12.2,10.98,20,20,37,0,77,84,1143,0.0937,12.2,0.0,10.8,-0.1148
2006-03-21,2006-05-05,9.11,10.02,20,20,27,0,67,45,-977,-0.1072,10.1,0.1087,9.11,0.0
2008-01-22,2008-02-29,15.0,16.5,21,24,45,0,90,38,-1590,-0.106,16.6,0.1067,15.0,0.0
2008-08-06,2008-09-18,15.3,13.77,22,20,46,0,88,43,1442,0.0942,15.3,0.0,13.5,-0.1176
2008-10-09,2008-10-27,13.0,11.7,20,20,39,0,79,18,1221,0.0939,13.0,0.0,11.3,-0.1308
2011-09-23,2013-04-22,18.65,20.52,27,29,56,0,112,577,-1982,-0.1063,20.8,0.1153,18.65,0.0
2014-09-26,2015-03-13,20.5,22.55,29,32,62,0,123,168,-2173,-0.106,22.6,0.1024,20.5,0.0
2015-08-24,2015-10-01,20.0,22.0,28,31,60,0,119,38,-2119,-0.106,22.05,0.1025,20.0,0.0
2020-06-05,2021-03-18,30.1,33.11,43,47,90,0,180,286,-3190,-0.106,33.4,0.1096,30.1,0.0
2021-10-22,2022-07-14,34.7,31.23,49,45,104,0,198,265,3272,0.0943,34.7,0.0,29.45,-0.1513
2022-09-07,2022-09-08,28.65,28.7,41,41,86,0,168,1,-218,-0.0076,28.7,0.0017,28.65,0.0
