EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2004-06-15,2004-06-17,20.2,18.18,29,26,61,0,116,2,1904,0.0943,20.2,0.0,17.6,-0.1287
2004-07-19,2004-07-22,17.4,15.66,25,22,52,0,99,3,1641,0.0943,17.4,0.0,15.1,-0.1322
2005-05-23,2005-06-06,15.9,17.49,23,25,48,0,96,14,-1686,-0.106,17.5,0.1006,15.9,0.0
2005-08-26,2005-08-30,14.3,12.87,20,20,43,0,83,4,1347,0.0942,14.3,0.0,12.5,-0.1259
2005-11-25,2006-01-11,11.4,12.54,20,20,34,0,74,47,-1214,-0.1065,12.6,0.1053,11.4,0.0
2008-09-01,2008-09-03,12.15,10.94,20,20,36,0,76,2,1134,0.0933,12.15,0.0,10.9,-0.1029
2008-10-09,2008-10-17,7.28,6.55,20,20,22,0,62,8,668,0.0918,7.28,0.0,6.34,-0.1291
2011-03-15,2011-04-07,16.4,18.04,23,26,49,0,98,23,-1738,-0.106,18.15,0.1067,16.4,0.0
2011-10-04,2011-11-10,15.3,13.77,22,20,46,0,88,37,1442,0.0942,15.3,0.0,12.95,-0.1536
2012-05-18,2012-08-13,12.25,13.48,20,20,37,0,77,87,-1307,-0.1067,13.75,0.1224,12.25,0.0
2014-04-28,2014-08-01,18.85,16.97,27,24,57,0,108,95,1772,0.094,18.85,0.0,16.6,-0.1194
2014-09-22,2015-03-30,16.1,14.49,23,21,48,0,92,189,1518,0.0943,16.1,0.0,14.4,-0.1056
2015-07-20,2015-08-19,14.4,12.96,21,20,43,0,84,30,1356,0.0942,14.4,0.0,12.6,-0.125
2016-01-13,2016-10-20,11.15,10.04,20,20,33,0,73,281,1037,0.093,11.15,0.0,9.99,-0.104
2017-05-31,2017-11-14,13.4,14.74,20,21,40,0,81,167,-1421,-0.106,15.1,0.1269,13.4,0.0
2018-03-23,2018-09-03,14.2,15.62,20,22,43,0,85,164,-1505,-0.106,15.65,0.1021,14.2,0.0
2019-10-14,2020-03-13,14.1,12.69,20,20,42,0,82,151,1328,0.0942,14.1,0.0,11.8,-0.1631
2020-09-24,2021-05-10,12.7,13.97,20,20,38,0,78,228,-1348,-0.1061,14.1,0.1102,12.7,0.0
2022-07-25,2022-10-21,14.8,13.8,21,20,44,0,85,88,915,0.0618,14.8,0.0,13.7,-0.0743
