代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,2985,-11195,6,9,15,40.0,-0.025939999999999998,68.26666666666667
1102,1590,4720,5,4,9,55.56,0.005222222222222225,82.55555555555556
1103,1211,2669,8,6,14,57.14,0.00792142857142857,50.357142857142854
1104,1284,526,6,7,13,46.15,-0.013838461538461534,76.6923076923077
1108,855,1995,7,6,13,53.85,-0.0006230769230769217,96.38461538461539
1109,1414,-4184,7,12,19,36.84,-0.03323157894736842,65.3157894736842
1110,1086,-5966,5,9,14,35.71,-0.03554999999999999,69.28571428571429
1201,1689,-12869,4,8,12,33.33,-0.039475,75.41666666666667
1203,1420,-4850,5,7,12,41.67,-0.022949999999999998,77.58333333333333
1210,1918,5802,6,5,11,54.55,0.003072727272727274,116.27272727272727
1213,1821,9929,14,8,22,63.64,0.02508181818181818,54.31818181818182
1215,2889,1851,9,8,17,52.94,-0.001064705882352939,63.64705882352941
1216,1914,-15544,2,5,7,28.57,-0.04874285714285714,87.71428571428571
1217,1077,-2577,7,10,17,41.18,-0.026141176470588237,70.82352941176471
1218,1557,-14777,5,13,18,27.78,-0.05178333333333333,41.05555555555556
1219,1234,-5124,6,8,14,42.86,-0.021249999999999998,75.71428571428571
1220,897,-1697,6,7,13,46.15,-0.020938461538461538,87.46153846153847
1225,2017,-207,5,8,13,38.46,-0.030223076923076922,59.30769230769231
1227,4301,17639,8,3,11,72.73,0.031818181818181815,127.72727272727273
1229,1362,-12042,4,8,12,33.33,-0.03969166666666667,47.75
1231,3037,9763,10,8,18,55.56,0.004800000000000001,49.77777777777778
1232,2346,-966,3,5,8,37.5,-0.030975000000000003,154.375
1233,2256,-23456,2,8,10,20.0,-0.06597,206.5
1234,1547,703,7,5,12,58.33,0.010249999999999999,99.75
1235,2286,7794,9,6,15,60.0,0.014106666666666665,87.46666666666667
1236,1660,-2990,7,8,15,46.67,-0.017266666666666666,94.86666666666666
1256,12973,77927,7,4,11,63.64,0.021463636363636362,32.45454545454545
1301,3860,-22800,3,6,9,33.33,-0.039233333333333335,82.55555555555556
1303,5424,-9274,7,8,15,46.67,-0.012533333333333336,76.4
1304,2057,2033,11,8,19,57.89,0.009526315789473683,60.526315789473685
1305,1695,8535,9,7,16,56.25,0.006087500000000003,30.5625
1307,1354,2436,5,5,10,50.0,-0.005899999999999998,88.9
1308,1814,1166,9,6,15,60.0,0.014026666666666661,62.2
1309,1797,-1867,11,10,21,52.38,-0.0025238095238095245,29.333333333333332
1310,1773,-3873,8,11,19,42.11,-0.02219473684210526,45.05263157894737
1312,1648,2982,10,9,19,52.63,0.0035842105263157904,38.8421052631579
1313,1295,11705,13,3,16,81.25,0.056118749999999995,41.3125
1314,1681,4759,12,10,22,54.55,0.0014999999999999987,30.227272727272727
1315,1648,-2418,5,6,11,45.45,-0.015636363636363636,96.9090909090909
1316,1738,3102,14,10,24,58.33,0.009845833333333337,31.958333333333332
1319,4405,28495,15,6,21,71.43,0.036966666666666675,37.904761904761905
1321,1831,-3401,7,8,15,46.67,-0.01279333333333333,55.53333333333333
1323,1997,-7427,7,9,16,43.75,-0.023149999999999997,64.875
1324,1296,-936,9,8,17,52.94,-0.0009235294117647087,65.23529411764706
1325,2378,-13978,7,12,19,36.84,-0.03274736842105263,90.05263157894737
1326,5968,25192,9,5,14,64.29,0.02275714285714286,129.71428571428572
1337,1685,24345,11,1,12,91.67,0.076825,49.333333333333336
1338,2755,7235,4,3,7,57.14,0.008457142857142856,40.57142857142857
1339,972,-9002,1,3,4,25.0,-0.0559,66.25
1340,2668,35652,8,3,11,72.73,0.03929090909090908,83.0909090909091
1341,745,-13185,0,2,2,0.0,-0.106,197.0
1342,681,1819,1,0,1,100.0,0.0155,26.0
1402,1426,-5876,3,6,9,33.33,-0.039344444444444446,91.44444444444444
1409,1037,-1487,7,7,14,50.0,-0.012564285714285712,46.714285714285715
1410,1724,-2534,10,8,18,55.56,-0.0007388888888888898,64.72222222222223
1413,1546,2144,16,11,27,59.26,0.005248148148148146,48.0
1414,1507,-2247,12,14,26,46.15,-0.019284615384615386,29.03846153846154
1416,1126,3494,9,6,15,60.0,0.011466666666666665,37.13333333333333
1417,867,1003,8,6,14,57.14,0.005078571428571426,55.357142857142854
1418,1353,-6863,8,16,24,33.33,-0.046391666666666664,31.416666666666668
1419,2542,-7572,6,8,14,42.86,-0.020199999999999996,68.78571428571429
1423,911,-1701,7,8,15,46.67,-0.017206666666666665,81.6
1432,123,-11643,1,1,2,50.0,-1.0451000000000001,2727.5
1434,1834,-7214,5,7,12,41.67,-0.024533333333333327,133.66666666666666
1435,1064,656,11,7,18,61.11,0.010694444444444447,32.888888888888886
1436,2074,-17224,2,10,12,16.67,-0.07370833333333333,168.58333333333334
1437,1596,1814,10,8,18,55.56,0.004638888888888888,35.05555555555556
1438,284,-29294,4,2,6,66.67,-5.714916666666667,891.5
1439,2499,-19409,7,17,24,29.17,-0.04805416666666667,40.708333333333336
1440,1658,-3548,9,11,20,45.0,-0.01883499999999999,36.5
1441,1276,-1636,11,10,21,52.38,-0.009466666666666668,51.285714285714285
1442,2094,-12644,6,14,20,30.0,-0.046595,68.15
1443,685,1025,8,5,13,61.54,0.007530769230769234,40.84615384615385
1444,1231,-3611,9,11,20,45.0,-0.019774999999999997,35.05
1445,723,-2213,5,6,11,45.45,-0.018354545454545453,110.36363636363636
1446,1942,-9182,11,9,20,55.0,0.0014850000000000015,30.55
1447,994,56,7,8,15,46.67,-0.014520000000000002,30.466666666666665
1449,1309,701,15,11,26,57.69,-0.005746153846153845,24.615384615384617
1451,2854,15896,15,8,23,65.22,0.02438260869565217,56.78260869565217
1452,1847,6963,13,7,20,65.0,0.020365,61.95
1453,1200,-330,12,8,20,60.0,0.006890000000000002,66.2
1454,866,1024,8,6,14,57.14,0.005592857142857141,97.35714285714286
1455,1509,-3559,10,12,22,45.45,-0.019672727272727272,56.04545454545455
1456,578,-8068,6,6,12,50.0,-0.09358333333333334,282.5
1457,651,-1911,5,5,10,50.0,-0.014600000000000002,58.3
1459,1077,-3047,7,10,17,41.18,-0.02615882352941177,43.23529411764706
1460,1245,2855,11,8,19,57.89,0.007078947368421052,61.31578947368421
1463,1199,3431,9,9,18,50.0,-0.010122222222222223,17.444444444444443
1464,1725,7155,12,6,18,66.67,0.02625,58.5
1465,1320,-2010,8,9,17,47.06,-0.012535294117647058,102.41176470588235
