代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
6186,2582,29008,21,3,24,87.5,0.0686,32.291666666666664
3044,6270,77200,12,2,14,85.71,0.0656857142857143,16.0
6129,2490,23030,17,3,20,85.0,0.06007999999999998,15.25
4911,4109,47431,11,2,13,84.62,0.0635,22.76923076923077
5425,1755,15975,10,2,12,83.33,0.06055833333333333,33.5
3629,1992,23588,10,2,12,83.33,0.06068333333333333,23.25
4991,3330,33380,9,2,11,81.82,0.05787272727272728,21.545454545454547
3541,6531,59469,13,3,16,81.25,0.0567625,26.875
8249,2328,25042,13,3,16,81.25,0.056525,33.1875
4935,2960,32810,8,2,10,80.0,0.054220000000000004,28.3
1608,1349,10161,15,4,19,78.95,0.050021052631578945,33.31578947368421
5455,1319,9811,15,4,19,78.95,0.045857894736842104,14.68421052631579
1512,1308,7192,17,5,22,77.27,0.04451363636363636,22.545454545454547
8411,2574,12256,10,3,13,76.92,0.048053846153846155,28.692307692307693
2481,1802,16288,10,3,13,76.92,0.04790769230769231,18.23076923076923
3288,1955,11945,16,5,21,76.19,0.04085714285714285,22.428571428571427
5211,3356,25794,15,5,20,75.0,0.04066499999999999,38.75
3259,2036,18994,12,4,16,75.0,0.04416875,32.75
1612,1003,9647,9,3,12,75.0,0.04340833333333333,33.0
1742,3415,28705,18,6,24,75.0,0.044104166666666667,32.083333333333336
2431,1158,7882,12,4,16,75.0,0.043024999999999994,30.9375
6425,2184,22326,9,3,12,75.0,0.044183333333333324,34.083333333333336
2504,1306,11124,12,4,16,75.0,0.043143749999999995,29.25
6283,3423,24187,21,7,28,75.0,0.04321785714285714,17.392857142857142
6101,2643,23147,17,6,23,73.91,0.0405,13.08695652173913
5356,2444,23546,14,5,19,73.68,0.04039473684210527,37.0
3031,2355,15125,14,5,19,73.68,0.041242105263157885,21.63157894736842
3406,23602,80288,14,5,19,73.68,0.04158947368421053,15.631578947368421
5481,1741,13889,14,5,19,73.68,0.04117894736842105,26.736842105263158
6229,1807,11283,14,5,19,73.68,0.0411578947368421,36.78947368421053
3508,4861,46429,14,5,19,73.68,0.041547368421052625,16.473684210526315
3499,1703,17037,11,4,15,73.33,0.04020666666666666,22.733333333333334
3362,2138,15412,11,4,15,73.33,0.04073333333333333,34.8
3557,1644,-2364,11,4,15,73.33,0.038566666666666666,18.8
2351,2411,16009,11,4,15,73.33,0.04072,24.866666666666667
8182,1919,15761,11,4,15,73.33,0.0407,29.2
3089,2162,12518,19,7,26,73.08,0.038773076923076924,23.96153846153846
6190,1680,10540,16,6,22,72.73,0.03768636363636364,30.59090909090909
8054,2722,18628,8,3,11,72.73,0.039663636363636366,37.27272727272727
3058,1728,11262,16,6,22,72.73,0.03826363636363637,36.04545454545455
6130,4340,31020,16,6,22,72.73,0.034340909090909096,25.545454545454547
6156,1768,2322,16,6,22,72.73,0.03395454545454545,11.727272727272727
4155,2213,11477,8,3,11,72.73,0.039636363636363636,33.45454545454545
3556,3359,29731,8,3,11,72.73,0.03971818181818182,17.0
8429,2041,10389,8,3,11,72.73,0.03949090909090909,32.81818181818182
2443,1572,4628,21,8,29,72.41,0.03100689655172413,25.482758620689655
1471,1704,10086,13,5,18,72.22,0.03627777777777778,17.11111111111111
6148,1500,6220,18,7,25,72.0,0.033008,29.68
8049,1777,9493,15,6,21,71.43,0.03558095238095238,21.61904761904762
8093,1634,14606,15,6,21,71.43,0.03484761904761905,21.428571428571427
1319,4405,28495,15,6,21,71.43,0.036966666666666675,37.904761904761905
4712,2619,10491,20,8,28,71.43,0.03547142857142858,17.714285714285715
3546,10082,79808,10,4,14,71.43,0.03707142857142858,38.5
3219,4286,23504,15,6,21,71.43,0.036557142857142864,16.428571428571427
2477,1634,11236,10,4,14,71.43,0.03670714285714285,26.857142857142858
2377,3813,37137,10,4,14,71.43,0.03702142857142857,21.142857142857142
6113,1724,11496,17,7,24,70.83,0.03383333333333333,28.791666666666668
4131,2780,17600,17,7,24,70.83,0.034062499999999996,18.583333333333332
2406,2416,20624,17,7,24,70.83,0.032508333333333334,13.0
8941,7046,42104,17,7,24,70.83,0.034687499999999996,35.583333333333336
3149,2412,5398,12,5,17,70.59,0.03500588235294117,22.352941176470587
2528,1138,7822,12,5,17,70.59,0.009952941176470586,37.88235294117647
2393,5114,28656,12,5,17,70.59,0.035382352941176476,35.05882352941177
8099,2323,14897,12,5,17,70.59,0.03534705882352942,32.0
