EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2003-07-04,2003-08-12,11.45,12.6,20,20,0,38,78,39,1072,0.0936,12.65,0.1048,11.45,0.0
2004-10-06,2005-04-07,13.25,11.93,20,20,0,36,76,183,-1396,-0.1054,13.25,0.0,11.5,-0.1321
2006-07-19,2006-08-31,10.0,11.0,20,20,0,33,73,43,927,0.0927,11.55,0.155,10.0,0.0
2006-10-02,2006-11-08,12.3,13.53,20,20,0,41,81,37,1149,0.0934,13.55,0.1016,12.3,0.0
2006-11-27,2007-03-01,14.6,16.06,21,23,0,48,92,94,1368,0.0937,16.15,0.1062,14.55,-0.0034
2008-04-16,2008-06-13,18.9,17.01,27,24,0,51,102,58,-1992,-0.1054,18.9,0.0,16.6,-0.1217
2009-05-06,2009-08-26,14.8,16.28,21,23,0,49,93,112,1387,0.0937,16.45,0.1115,14.8,0.0
2009-10-12,2009-11-19,17.3,19.03,25,27,0,57,109,38,1621,0.0937,19.1,0.104,17.3,0.0
2009-12-30,2010-01-11,19.1,21.01,27,30,0,63,120,12,1790,0.0937,21.25,0.1126,19.1,0.0
2010-12-16,2011-01-04,20.4,22.44,29,32,0,67,128,19,1912,0.0937,23.3,0.1422,20.4,0.0
2011-02-09,2011-02-25,23.55,21.2,34,30,0,64,128,16,-2478,-0.1052,23.55,0.0,21.0,-0.1083
2012-03-05,2012-07-25,19.5,17.55,28,25,0,53,106,142,-2056,-0.1054,19.5,0.0,17.45,-0.1051
2012-09-18,2013-05-07,19.1,21.01,27,30,0,63,120,231,1790,0.0937,21.3,0.1152,19.1,0.0
2013-05-22,2013-07-17,21.25,23.38,30,33,0,70,133,56,1997,0.094,23.9,0.1247,21.25,0.0
2013-09-27,2013-10-11,23.0,25.3,33,36,0,76,145,14,2155,0.0937,25.35,0.1022,23.0,0.0
2014-01-03,2014-08-04,24.4,21.96,35,31,0,66,132,213,-2572,-0.1054,24.4,0.0,21.85,-0.1045
2015-03-09,2015-08-24,21.75,19.57,31,28,0,59,118,168,-2298,-0.1057,21.75,0.0,19.5,-0.1034
2016-03-28,2016-11-15,22.95,25.25,33,36,0,76,145,232,2155,0.0939,25.5,0.1111,22.95,0.0
2017-02-02,2017-09-04,26.2,28.82,37,41,0,86,164,214,2456,0.0937,29.15,0.1126,26.2,0.0
2017-12-27,2018-02-06,34.0,30.6,48,44,0,92,184,41,-3584,-0.1054,34.0,0.0,30.55,-0.1015
2018-04-13,2020-03-17,34.0,30.6,48,44,0,92,184,704,-3584,-0.1054,34.0,0.0,30.35,-0.1074
2021-02-18,2021-04-19,32.0,35.2,46,50,0,106,202,60,2998,0.0937,37.0,0.1562,32.0,0.0
