EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2006-01-18,2006-01-20,18.1,16.29,26,23,0,49,98,2,-1908,-0.1054,18.1,0.0,16.0,-0.116
2008-05-16,2008-05-26,15.6,14.04,22,20,0,42,84,10,-1644,-0.1054,15.6,0.0,13.4,-0.141
2009-03-27,2009-04-15,6.95,7.65,20,20,0,23,63,19,637,0.0917,8.03,0.1554,6.95,0.0
2009-10-01,2009-10-06,8.74,9.61,20,20,0,29,69,5,801,0.0916,9.99,0.143,8.74,0.0
2012-10-01,2012-10-12,5.38,5.92,20,20,0,18,58,11,482,0.0896,6.09,0.132,5.38,0.0
2013-11-28,2014-01-06,16.5,18.15,24,26,0,54,104,39,1546,0.0937,18.55,0.1242,16.5,0.0
2014-01-07,2014-02-12,19.8,21.78,28,31,0,65,124,36,1856,0.0937,21.8,0.101,19.8,0.0
2016-06-15,2016-06-20,21.3,23.43,30,33,0,70,133,5,1997,0.0938,23.6,0.108,21.3,0.0
2017-01-18,2017-02-03,25.5,22.95,36,33,0,69,138,16,-2688,-0.1054,25.5,0.0,22.45,-0.1196
2021-01-20,2021-01-25,40.7,36.63,58,52,0,110,220,5,-4290,-0.1054,40.7,0.0,35.85,-0.1192
