代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,0,0,0,0,0,0,,
1102,0,0,0,0,0,0,,
1103,0,0,0,0,0,0,,
1104,0,0,0,0,0,0,,
1108,0,0,0,0,0,0,,
1109,0,0,0,0,0,0,,
1110,0,0,0,0,0,0,,
1201,0,0,0,0,0,0,,
1203,0,0,0,0,0,0,,
1210,0,0,0,0,0,0,,
1213,0,0,0,0,0,0,,
1215,0,0,0,0,0,0,,
1216,0,0,0,0,0,0,,
1217,0,0,0,0,0,0,,
1218,0,0,0,0,0,0,,
1219,0,0,0,0,0,0,,
1220,0,0,0,0,0,0,,
1225,0,0,0,0,0,0,,
1227,0,0,0,0,0,0,,
1229,0,0,0,0,0,0,,
1231,0,0,0,0,0,0,,
1232,0,0,0,0,0,0,,
1233,0,0,0,0,0,0,,
1234,0,0,0,0,0,0,,
1235,0,0,0,0,0,0,,
1236,0,0,0,0,0,0,,
1256,0,0,0,0,0,0,,
1301,0,0,0,0,0,0,,
1303,0,0,0,0,0,0,,
1304,0,0,0,0,0,0,,
1305,0,0,0,0,0,0,,
1307,0,0,0,0,0,0,,
1308,0,0,0,0,0,0,,
1309,0,0,0,0,0,0,,
1310,0,0,0,0,0,0,,
1312,0,0,0,0,0,0,,
1313,0,0,0,0,0,0,,
1314,0,0,0,0,0,0,,
1315,0,0,0,0,0,0,,
1316,0,0,0,0,0,0,,
1319,0,0,0,0,0,0,,
1321,0,0,0,0,0,0,,
1323,0,0,0,0,0,0,,
1324,0,0,0,0,0,0,,
1325,0,0,0,0,0,0,,
1326,0,0,0,0,0,0,,
1337,0,0,0,0,0,0,,
1338,0,0,0,0,0,0,,
1339,0,0,0,0,0,0,,
1340,0,0,0,0,0,0,,
1341,0,0,0,0,0,0,,
1342,0,0,0,0,0,0,,
1402,0,0,0,0,0,0,,
1409,0,0,0,0,0,0,,
1410,0,0,0,0,0,0,,
1413,0,0,0,0,0,0,,
1414,0,0,0,0,0,0,,
1416,0,0,0,0,0,0,,
1417,0,0,0,0,0,0,,
1418,0,0,0,0,0,0,,
1419,0,0,0,0,0,0,,
1423,0,0,0,0,0,0,,
1432,0,0,0,0,0,0,,
1434,0,0,0,0,0,0,,
1435,0,0,0,0,0,0,,
1436,0,0,0,0,0,0,,
1437,0,0,0,0,0,0,,
1438,0,0,0,0,0,0,,
1439,0,0,0,0,0,0,,
1440,0,0,0,0,0,0,,
1441,0,0,0,0,0,0,,
1442,0,0,0,0,0,0,,
1443,0,0,0,0,0,0,,
1444,0,0,0,0,0,0,,
1445,0,0,0,0,0,0,,
1446,0,0,0,0,0,0,,
1447,0,0,0,0,0,0,,
1449,0,0,0,0,0,0,,
1451,0,0,0,0,0,0,,
