代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
5529,1462,21278,10,0,10,100.0,0.09333,21.8
6488,26502,259848,9,1,10,90.0,0.07379000000000001,11.6
1718,1087,10693,12,2,14,85.71,0.06429285714285715,18.0
4303,2740,26980,17,3,20,85.0,0.06110000000000001,29.65
2915,5527,54403,14,3,17,82.35,0.058552941176470585,26.352941176470587
5531,2159,27561,9,2,11,81.82,0.057218181818181814,28.636363636363637
1732,1269,12321,9,2,11,81.82,0.05733636363636364,27.272727272727273
3152,24407,192883,13,3,16,81.25,0.05636875000000001,27.5
8299,34607,282683,17,4,21,80.95,0.0557761904761905,26.571428571428573
1539,1533,15997,12,3,15,80.0,0.053266666666666664,27.266666666666666
8171,1619,15701,8,2,10,80.0,0.053849999999999995,12.6
6197,6256,44624,12,3,15,80.0,0.05391333333333334,19.6
6141,2665,18775,12,3,15,80.0,0.053913333333333334,28.133333333333333
6116,997,5663,12,3,15,80.0,0.05116,13.666666666666666
5902,1331,8979,8,2,10,80.0,0.05299999999999999,29.6
3317,2816,16534,11,3,14,78.57,0.05116428571428571,13.0
5398,1487,9953,11,3,14,78.57,0.04845714285714286,27.0
1516,1328,11992,11,3,14,78.57,0.04951428571428571,16.714285714285715
4131,2262,19688,10,3,13,76.92,0.047638461538461546,11.538461538461538
3289,5346,41544,10,3,13,76.92,0.04776923076923078,24.307692307692307
1413,774,3246,10,3,13,76.92,0.04192307692307694,25.846153846153847
5324,1525,9025,10,3,13,76.92,0.04277692307692308,21.615384615384617
5455,1455,9295,10,3,13,76.92,0.04471538461538463,19.615384615384617
1314,1280,9480,10,3,13,76.92,0.04703076923076922,19.615384615384617
3296,2677,15873,10,3,13,76.92,0.047753846153846154,12.23076923076923
6246,1139,4351,10,3,13,76.92,0.045846153846153856,11.076923076923077
2444,1420,8940,10,3,13,76.92,0.04757692307692308,13.538461538461538
1609,942,5348,10,3,13,76.92,0.04604615384615385,24.23076923076923
6150,6680,63260,13,4,17,76.47,0.046764705882352944,12.823529411764707
6233,4446,49664,13,4,17,76.47,0.04689411764705882,12.470588235294118
1446,1953,7907,13,4,17,76.47,0.045023529411764705,25.88235294117647
3324,8786,35924,13,4,17,76.47,0.04674117647058824,11.294117647058824
5474,5471,46349,9,3,12,75.0,0.044050000000000006,12.583333333333334
6124,3269,16371,12,4,16,75.0,0.043943750000000004,15.6875
3548,4207,28713,9,3,12,75.0,0.043933333333333345,18.916666666666668
5443,2527,18663,15,5,20,75.0,0.04385000000000001,13.55
6266,1782,6778,15,5,20,75.0,0.043100000000000006,27.5
6276,1951,11449,12,4,16,75.0,0.041825,11.75
8064,1493,9867,9,3,12,75.0,0.04384166666666667,14.25
8088,2376,18524,12,4,16,75.0,0.04396875,16.875
3310,1818,12142,9,3,12,75.0,0.043833333333333335,18.833333333333332
3325,2230,16560,9,3,12,75.0,0.04397499999999999,18.083333333333332
3252,1521,14539,9,3,12,75.0,0.04055833333333334,13.416666666666666
1475,2280,10710,12,4,16,75.0,0.043562500000000004,14.125
8081,23313,110077,15,5,20,75.0,0.043925000000000006,18.4
3191,1814,16606,9,3,12,75.0,0.04391666666666666,9.333333333333334
3038,1653,9387,12,4,16,75.0,0.04335,26.5
8942,3155,25615,9,3,12,75.0,0.04385,29.083333333333332
6160,6086,33254,17,6,23,73.91,0.04176521739130435,27.869565217391305
8183,1739,5731,14,5,19,73.68,0.040447368421052635,16.842105263157894
1526,2226,20504,14,5,19,73.68,0.039989473684210526,23.157894736842106
2031,3859,25051,14,5,19,73.68,0.04137368421052632,28.736842105263158
3035,9920,70520,14,5,19,73.68,0.041294736842105266,21.842105263157894
5351,2488,18302,14,5,19,73.68,0.04114210526315789,17.105263157894736
3306,3614,15746,11,4,15,73.33,0.040586666666666674,28.8
8928,2262,12998,11,4,15,73.33,0.04040666666666667,24.133333333333333
4119,6524,27156,11,4,15,73.33,0.043653333333333336,23.733333333333334
2612,4326,7424,11,4,15,73.33,0.04048000000000002,23.733333333333334
3661,30246,106824,8,3,11,72.73,0.0394,8.909090909090908
6169,1815,11435,8,3,11,72.73,0.039363636363636365,11.0
3260,3686,21744,8,3,11,72.73,0.039390909090909094,27.454545454545453
1435,2072,5538,16,6,22,72.73,0.03712272727272727,27.136363636363637
3557,1587,-2827,8,3,11,72.73,0.038390909090909094,21.90909090909091
2316,2759,17021,16,6,22,72.73,0.03930909090909091,29.59090909090909
3064,5446,57964,8,3,11,72.73,0.0394,10.818181818181818
4109,1581,6859,8,3,11,72.73,0.0394909090909091,24.818181818181817
6185,2581,14279,13,5,18,72.22,0.03852222222222222,21.166666666666668
6125,3312,21718,13,5,18,72.22,0.03835555555555556,25.666666666666668
2353,3755,18735,10,4,14,71.43,0.03683571428571429,29.928571428571427
4426,4074,4006,10,4,14,71.43,0.03675,14.714285714285714
2406,1627,12013,10,4,14,71.43,0.03632857142857143,8.214285714285714
8085,1600,8990,12,5,17,70.59,0.03360588235294117,10.588235294117647
4107,6078,21032,12,5,17,70.59,0.03514705882352942,28.176470588235293
6118,1648,5482,12,5,17,70.59,0.034529411764705885,13.588235294117647
