EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2012-08-22,2013-04-23,18.9,20.7,27,29,0,62,118,244,1682,0.089,20.8,0.1005,18.9,0.0
2013-08-20,2013-10-04,21.2,23.7,30,34,0,71,135,45,2365,0.1116,23.8,0.1226,21.2,0.0
2013-11-13,2014-08-19,23.5,21.05,33,30,0,63,126,279,-2576,-0.1096,23.5,0.0,21.1,-0.1021
2014-11-03,2015-04-17,20.65,22.45,29,32,0,67,128,165,1672,0.081,23.0,0.1138,20.65,0.0
2015-05-19,2015-08-03,22.8,20.95,32,30,0,63,125,76,-1975,-0.0866,22.8,0.0,20.1,-0.1184
2015-08-20,2016-03-29,21.0,22.95,30,33,0,69,132,222,1818,0.0866,23.3,0.1095,21.0,0.0
2016-06-01,2016-11-22,23.2,25.5,33,36,0,76,145,174,2155,0.0929,26.25,0.1315,23.2,0.0
2017-01-16,2017-08-30,26.0,28.6,37,41,0,86,164,226,2436,0.0937,28.7,0.1038,26.0,0.0
2017-10-26,2017-12-28,29.05,33.85,41,48,0,102,191,63,4609,0.1587,34.0,0.1704,29.05,0.0
2018-03-05,2018-08-28,33.0,36.2,47,52,0,109,208,176,2992,0.0907,36.5,0.1061,33.0,0.0
2018-10-02,2019-05-28,36.1,33.6,51,48,0,101,200,238,-2700,-0.0748,36.1,0.0,32.2,-0.108
2019-07-02,2020-03-19,33.7,30.0,48,43,0,90,181,261,-3881,-0.1152,33.7,0.0,30.0,-0.1098
2020-04-14,2021-03-29,30.65,34.0,44,48,0,102,194,349,3156,0.103,34.1,0.1126,30.65,0.0
2021-06-08,2022-06-10,35.25,34.25,50,49,0,103,202,367,-1202,-0.0341,,,,
