EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2013-07-19,2013-07-29,63.5,58.9,90,84,0,177,351,10,-4951,-0.078,63.5,0.0,57.1,-0.1008
2013-10-11,2013-11-06,63.9,57.4,91,82,0,172,345,26,-6845,-0.1071,63.9,0.0,57.3,-0.1033
2013-12-09,2014-01-21,55.3,48.0,79,68,0,144,291,43,-7591,-0.1373,55.3,0.0,47.2,-0.1465
2014-02-11,2014-02-17,57.2,62.3,82,89,0,187,358,6,4742,0.0829,63.9,0.1171,57.2,0.0
2014-03-28,2014-04-07,65.3,73.4,93,105,0,220,418,10,7682,0.1176,74.6,0.1424,65.3,0.0
2014-05-22,2014-06-11,80.5,73.8,115,105,0,221,441,20,-7141,-0.0887,80.5,0.0,72.0,-0.1056
2014-06-18,2014-07-03,85.7,96.3,122,137,0,289,548,15,10052,0.1173,96.3,0.1237,85.7,0.0
2014-08-29,2014-10-01,102.5,90.7,146,129,0,272,547,33,-12347,-0.1205,102.5,0.0,88.1,-0.1405
2014-10-30,2014-11-19,87.0,78.1,124,111,0,234,469,20,-9369,-0.1077,87.0,0.0,77.0,-0.1149
2014-11-28,2014-12-11,83.2,93.0,119,133,0,279,531,13,9269,0.1114,92.5,0.1118,83.2,0.0
2015-02-26,2015-03-10,99.7,112.5,142,160,0,338,640,12,12160,0.122,110.0,0.1033,99.7,0.0
2015-07-08,2015-07-13,96.6,92.3,138,132,0,277,547,5,-4847,-0.0502,96.6,0.0,85.1,-0.119
2015-09-11,2015-09-24,75.2,78.3,107,112,0,235,454,13,2646,0.0352,82.9,0.1024,75.2,0.0
2015-12-01,2015-12-14,83.8,72.6,119,103,0,218,440,13,-11640,-0.1389,83.8,0.0,74.6,-0.1098
2016-01-30,2016-03-18,71.5,75.6,102,108,0,227,437,48,3663,0.0512,79.0,0.1049,71.5,0.0
2016-04-20,2016-05-10,73.1,63.6,104,91,0,191,386,20,-9886,-0.1352,73.1,0.0,63.8,-0.1272
2016-06-02,2016-08-16,63.1,48.4,90,69,0,145,304,75,-15004,-0.2378,63.1,0.0,47.65,-0.2448
2016-09-22,2016-10-13,45.0,41.1,64,59,0,123,246,21,-4146,-0.0921,45.0,0.0,40.0,-0.1111
2016-11-28,2017-03-09,38.25,43.85,55,62,0,132,249,101,5351,0.1399,45.0,0.1765,38.25,0.0
2017-05-22,2017-06-13,30.6,34.15,44,49,0,102,195,22,3355,0.1096,33.95,0.1095,30.6,0.0
2017-08-30,2017-10-12,30.15,26.5,43,38,0,80,161,43,-3811,-0.1264,30.15,0.0,26.5,-0.1211
2017-10-26,2017-10-31,28.55,33.3,41,47,0,100,188,5,4562,0.1598,33.15,0.1611,28.55,0.0
2017-11-28,2017-12-21,31.0,33.5,44,48,0,100,192,23,2308,0.0745,35.2,0.1355,31.0,0.0
2018-01-16,2018-02-06,39.75,33.95,57,48,0,102,207,21,-6007,-0.1511,39.75,0.0,34.8,-0.1245
2018-03-08,2018-03-14,36.1,41.5,51,59,0,124,234,6,5166,0.1431,41.55,0.151,36.1,0.0
2018-05-18,2018-06-14,38.8,34.6,55,49,0,104,208,27,-4408,-0.1136,38.8,0.0,34.8,-0.1031
2018-07-17,2018-08-17,35.0,31.3,50,45,0,94,189,31,-3889,-0.1111,35.0,0.0,31.05,-0.1129
2018-08-30,2018-09-11,36.0,31.9,51,45,0,96,192,12,-4292,-0.1192,36.0,0.0,32.0,-0.1111
2018-11-06,2018-12-21,29.3,32.45,42,46,0,97,185,45,2965,0.1012,32.65,0.1143,29.3,0.0
2019-01-29,2019-03-15,31.2,37.0,44,53,0,111,208,45,5592,0.1792,36.35,0.1651,31.2,0.0
2019-06-06,2019-08-07,35.7,32.25,51,46,0,97,194,62,-3644,-0.1021,35.7,0.0,31.65,-0.1134
2019-09-05,2020-01-31,31.7,28.95,45,41,0,87,173,148,-2923,-0.0922,31.7,0.0,27.85,-0.1215
2020-04-06,2020-04-15,24.75,27.95,35,40,0,84,159,9,3041,0.1229,28.0,0.1313,24.75,0.0
2020-06-04,2020-06-09,27.4,29.3,39,42,0,88,169,5,1731,0.0632,31.5,0.1496,27.4,0.0
2020-07-13,2020-07-16,37.5,31.25,53,45,0,94,192,3,-6442,-0.1718,37.5,0.0,30.9,-0.176
2020-09-04,2020-09-08,22.8,25.6,32,36,0,77,145,4,2655,0.1164,26.65,0.1689,22.8,0.0
2020-10-19,2020-11-13,30.7,27.5,44,39,0,82,165,25,-3365,-0.1096,30.7,0.0,27.3,-0.1107
2020-12-30,2021-03-08,25.15,22.85,36,33,0,69,138,68,-2438,-0.0969,25.15,0.0,22.6,-0.1014
2021-03-12,2021-04-23,25.1,23.1,36,33,0,69,138,42,-2138,-0.0852,25.1,0.0,22.5,-0.1036
2021-05-17,2021-05-28,25.3,26.6,36,38,0,80,154,11,1146,0.0453,28.1,0.1107,25.3,0.0
2021-07-12,2021-09-24,23.3,26.25,33,37,0,79,149,74,2801,0.1202,28.1,0.206,23.3,0.0
2021-10-28,2021-12-20,26.45,29.55,38,42,0,89,169,53,2931,0.1108,31.9,0.206,26.45,0.0
2022-02-21,2022-05-03,25.0,27.6,36,39,0,83,158,71,2442,0.0977,28.8,0.152,25.0,0.0
2022-06-10,2022-06-10,26.9,27.45,38,39,0,82,159,0,391,0.0145,27.65,0.0279,26.9,0.0
