代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,6409,-14509,13,15,28,46.43,-0.0059250000000000014,87.85714285714286
1102,5005,295,13,10,23,56.52,0.007665217391304347,107.0
1103,2866,9214,19,11,30,63.33,0.02417,71.83333333333333
1104,2760,3290,11,9,20,55.0,0.014049999999999998,130.65
1108,1599,4751,14,8,22,63.64,0.022645454545454545,116.72727272727273
1109,2913,7707,19,11,30,63.33,0.021696666666666663,78.86666666666666
1110,2057,93,11,10,21,52.38,0.003542857142857143,127.42857142857143
1201,3820,-2120,15,11,26,57.69,0.008334615384615386,94.76923076923077
1203,3021,12879,11,6,17,64.71,0.03338823529411765,173.64705882352942
1210,6431,18469,19,11,30,63.33,0.024373333333333337,74.96666666666667
1213,2503,-5603,11,20,31,35.48,-0.029922580645161293,79.12903225806451
1215,9181,-731,16,14,30,53.33,0.00814,80.43333333333334
1216,8569,-28919,11,12,23,47.83,-0.015339130434782614,126.56521739130434
1217,1735,335,14,12,26,53.85,0.008042307692307694,100.53846153846153
1218,3833,13667,19,11,30,63.33,0.02808,75.53333333333333
1219,2198,8552,13,7,20,65.0,0.029939999999999994,134.2
1220,1227,-747,8,7,15,53.33,0.005673333333333334,187.6
1225,9651,22349,24,14,38,63.16,0.029523684210526313,47.078947368421055
1227,8153,-80453,7,16,23,30.43,-0.04919565217391304,126.52173913043478
1229,5712,41688,19,6,25,76.0,0.046348,96.04
1231,7301,12949,16,10,26,61.54,0.020546153846153846,89.11538461538461
1232,10444,37956,12,5,17,70.59,0.032152941176470586,167.0
1233,1841,-6941,3,5,8,37.5,-0.0161375,416.375
1234,2750,-200,8,6,14,57.14,0.004921428571428574,220.57142857142858
1235,6902,47948,24,9,33,72.73,0.048781818181818176,63.06060606060606
1236,2604,-15454,9,13,22,40.91,-0.022477272727272728,123.63636363636364
1256,55142,-121142,23,19,42,54.76,0.004350000000000001,34.57142857142857
1301,11056,27344,13,8,21,61.9,0.018333333333333333,136.0952380952381
1303,8527,4073,13,8,21,61.9,0.011933333333333336,125.33333333333333
1304,3545,-8645,17,15,32,53.12,-0.0070593750000000005,63.15625
1305,6479,-7929,24,23,47,51.06,-0.002155319148936169,34.808510638297875
1307,5066,-11516,14,16,30,46.67,-0.004010000000000001,75.23333333333333
1308,4765,-22765,17,20,37,45.95,-0.020856756756756755,59.2972972972973
1309,5115,-4525,23,21,44,52.27,0.002263636363636365,41.04545454545455
1310,4055,-805,20,19,39,51.28,-0.00037435897435897326,54.07692307692308
1312,5882,-19032,22,26,48,45.83,-0.012085416666666668,37.520833333333336
1313,3578,-15208,19,21,40,47.5,-0.010677499999999998,49.825
1314,2945,-7725,20,20,40,50.0,-0.01149,50.875
1315,4646,56104,12,3,15,80.0,0.08281999999999999,190.2
1316,2821,729,16,15,31,51.61,0.01444193548387096,68.41935483870968
1319,8529,9771,19,14,33,57.58,0.012303030303030303,53.60606060606061
1321,4566,19534,15,8,23,65.22,0.03197826086956522,108.47826086956522
1323,4660,-23710,10,14,24,41.67,-0.021695833333333334,112.375
1324,1733,4377,13,9,22,59.09,0.02235454545454545,120.31818181818181
1325,7725,-17175,18,11,29,62.07,0.016317241379310347,72.17241379310344
1326,9223,-11523,9,10,19,47.37,-0.006800000000000002,147.10526315789474
1337,5774,-52104,17,28,45,37.78,-0.040975555555555564,40.24444444444445
1338,17016,-48966,15,19,34,44.12,-0.011802941176470587,65.3529411764706
1339,9012,34438,19,11,30,63.33,0.029426666666666663,74.5
1340,10669,-90969,17,23,40,42.5,-0.0241575,45.525
1341,3729,9471,7,3,10,70.0,0.025779999999999997,118.9
1342,5710,22790,6,4,10,60.0,0.03497,49.9
1402,3778,4422,13,9,22,59.09,0.013263636363636356,125.68181818181819
1409,2263,717,17,11,28,60.71,0.016482142857142862,85.07142857142857
1410,3526,10324,13,7,20,65.0,0.020964999999999998,143.8
1413,2559,-2549,20,19,39,51.28,0.006833333333333329,52.41025641025641
1414,2137,2333,18,11,29,62.07,0.02115862068965517,81.86206896551724
1416,2837,-6687,15,15,30,50.0,-0.013443333333333333,85.16666666666667
1417,1967,-4917,15,15,30,50.0,-0.0037533333333333325,74.96666666666667
1418,2387,12563,24,11,35,68.57,0.036988571428571426,43.8
1419,5088,6562,13,8,21,61.9,0.012138095238095236,134.33333333333334
1423,1900,7170,15,8,23,65.22,0.02980869565217392,116.08695652173913
1432,3846,5044,24,17,41,58.54,0.020251219512195124,31.48780487804878
1434,3763,787,11,9,20,55.0,0.003054999999999996,139.35
1435,2990,-21140,15,14,29,51.72,0.003524137931034484,60.37931034482759
1436,4307,-6157,8,8,16,50.0,-0.0067687500000000005,186.9375
1437,3952,10448,20,12,32,62.5,0.020565625,75.375
1438,3297,39323,22,13,35,62.86,0.08290571428571429,56.94285714285714
1439,4524,-9924,16,15,31,51.61,0.00613548387096774,66.96774193548387
1440,3083,-22763,13,17,30,43.33,-0.033793333333333335,71.73333333333333
