代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
6558,4853,24687,17,5,22,77.27,0.04666363636363636,22.40909090909091
6548,24342,224058,17,6,23,73.91,0.05303913043478261,38.82608695652174
6432,5410,45940,22,8,30,73.33,0.05472999999999998,34.733333333333334
6488,88643,468157,27,10,37,72.97,0.04372972972972973,22.486486486486488
1539,5393,38897,30,12,42,71.43,0.04801904761904763,32.476190476190474
3581,3574,15526,22,9,31,70.97,0.03354193548387097,32.806451612903224
4714,3365,16155,29,12,41,70.73,0.03450243902439024,39.41463414634146
2351,19137,93513,35,15,50,70.0,0.033033999999999994,27.34
8279,16330,78870,16,7,23,69.57,0.03174782608695652,36.56521739130435
3432,4111,18449,32,14,46,69.57,0.03957608695652175,31.804347826086957
6138,18516,18134,34,15,49,69.39,0.04756734693877552,28.346938775510203
6148,2952,9098,29,13,42,69.05,0.03247380952380953,31.80952380952381
5202,4553,16327,31,14,45,68.89,0.027906666666666673,26.68888888888889
5269,174226,1591674,35,16,51,68.63,0.03220196078431373,15.431372549019608
1597,16372,65178,28,13,41,68.29,0.033063414634146346,26.73170731707317
3546,17695,60105,30,14,44,68.18,0.032470454545454545,27.636363636363637
6494,9432,23318,15,7,22,68.18,0.03485454545454546,34.90909090909091
6532,5894,5256,17,8,25,68.0,0.022724,31.76
6196,14238,69312,31,15,46,67.39,0.036395652173913044,32.23913043478261
3552,46168,69032,35,17,52,67.31,0.032615384615384616,18.21153846153846
9938,18426,91074,30,15,45,66.67,0.03185777777777778,31.755555555555556
3218,22288,48412,26,13,39,66.67,0.030346153846153853,38.333333333333336
8374,5890,17930,28,14,42,66.67,0.025526190476190473,35.69047619047619
6165,5984,14176,34,17,51,66.67,0.029645098039215688,18.92156862745098
3413,38248,34152,26,13,39,66.67,0.01845384615384615,19.333333333333332
2377,17637,33763,26,13,39,66.67,0.02452820512820514,37.15384615384615
6243,5140,57140,32,16,48,66.67,0.07076458333333334,22.333333333333332
3317,9703,6597,33,17,50,66.0,0.024908,21.32
2477,5872,22628,31,16,47,65.96,0.039125531914893624,33.787234042553195
4915,12542,53908,29,15,44,65.91,0.025218181818181817,32.18181818181818
5315,4266,4184,29,15,44,65.91,0.028647727272727276,31.454545454545453
2028,3888,17062,29,15,44,65.91,0.035256818181818174,30.477272727272727
1906,4298,14962,29,15,44,65.91,0.040631818181818186,34.59090909090909
8410,8094,8556,27,14,41,65.85,0.017770731707317078,32.34146341463415
6220,7941,33259,32,17,49,65.31,0.026712244897959186,28.93877551020408
2368,7690,14440,32,17,49,65.31,0.02162448979591837,30.775510204081634
6118,3441,4569,28,15,43,65.12,0.022697674418604652,34.44186046511628
2401,4504,8056,28,15,43,65.12,0.02965581395348837,37.604651162790695
1533,10893,32707,28,15,43,65.12,0.03546744186046512,35.02325581395349
