EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2017-12-21,2017-12-26,24.05,25.4,34,36,0,76,146,5,1204,0.0501,27.15,0.1289,24.0,-0.0021
2017-12-28,2018-02-07,24.2,21.35,34,30,0,64,128,41,-2978,-0.1231,24.2,0.0,20.7,-0.1446
2018-04-19,2018-04-25,24.2,21.0,34,30,0,63,127,6,-3327,-0.1375,24.2,0.0,20.8,-0.1405
2018-05-17,2018-06-27,23.45,20.65,33,29,0,62,124,41,-2924,-0.1247,23.45,0.0,19.8,-0.1557
2020-05-05,2020-06-01,22.95,22.7,33,32,0,68,133,27,-383,-0.0167,22.95,0.0,19.35,-0.1569
2020-06-03,2020-06-12,23.75,24.65,34,35,0,74,143,9,757,0.0319,26.15,0.1011,23.75,0.0
2020-06-16,2020-08-21,25.8,21.5,37,31,0,64,132,66,-4432,-0.1718,25.8,0.0,21.65,-0.1609
2020-09-02,2020-11-30,21.25,23.35,30,33,0,70,133,89,1967,0.0926,23.7,0.1153,21.25,0.0
2020-12-02,2021-01-18,23.65,21.2,34,30,0,64,128,47,-2578,-0.109,23.65,0.0,21.25,-0.1015
2021-12-06,2021-12-27,18.55,20.25,26,29,0,61,116,21,1584,0.0854,20.45,0.1024,18.55,0.0
2021-12-29,2022-01-25,20.05,17.9,29,26,0,54,109,27,-2259,-0.1127,20.05,0.0,17.6,-0.1222
2022-02-07,2022-02-18,17.65,18.95,25,27,0,57,109,11,1191,0.0675,19.9,0.1275,17.65,0.0
2022-02-22,2022-04-13,18.7,17.0,27,24,0,51,102,50,-1802,-0.0964,18.7,0.0,16.7,-0.107
2022-04-15,2022-06-10,17.2,18.4,25,26,0,55,106,56,1094,0.0636,18.65,0.0843,17.2,0.0
