代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均持倉時間(日)
1101,8653,-16203,19,23,42,45.24,62.0
1102,8692,-20642,19,24,43,44.19,45.7906976744186
1103,4495,155,23,19,42,54.76,46.42857142857143
1104,4884,-17834,17,26,43,39.53,41.25581395348837
1108,3280,-170,23,23,46,50.0,37.26086956521739
1109,3310,-10780,17,20,37,45.95,65.48648648648648
1110,3746,8334,25,20,45,55.56,43.0
1201,7446,-43896,17,32,49,34.69,27.816326530612244
1203,5719,-4379,23,23,46,50.0,60.95652173913044
1210,9236,-6076,24,27,51,47.06,42.588235294117645
1213,3632,-18382,15,21,36,41.67,26.333333333333332
1215,8790,-37430,18,31,49,36.73,47.816326530612244
1216,10524,-17324,18,24,42,42.86,62.166666666666664
1217,3026,-2226,23,19,42,54.76,30.833333333333332
1218,5035,-11185,27,27,54,50.0,20.703703703703702
1219,3970,-10320,22,24,46,47.83,58.84782608695652
1220,3237,-6867,21,23,44,47.73,49.88636363636363
1225,9592,-66572,22,36,58,37.93,25.879310344827587
1227,14572,-37572,18,30,48,37.5,45.020833333333336
1229,7498,-22598,22,27,49,44.9,53.16326530612245
1231,8169,-35489,14,30,44,31.82,54.47727272727273
1232,12445,-109095,11,25,36,30.56,103.77777777777777
1233,5206,-20356,11,15,26,42.31,127.61538461538461
1234,5212,5718,20,18,38,52.63,84.92105263157895
1235,9886,-18236,20,31,51,39.22,39.76470588235294
1236,4919,-9819,20,21,41,48.78,53.90243902439025
1256,39870,-122370,12,17,29,41.38,24.20689655172414
1301,18175,26125,21,17,38,55.26,88.1842105263158
1303,15029,-28329,17,22,39,43.59,70.84615384615384
1304,5571,-14251,21,27,48,43.75,26.75
1305,5629,-34249,20,32,52,38.46,17.826923076923077
1307,6435,-6785,21,17,38,55.26,41.60526315789474
1308,7509,-2709,22,25,47,46.81,31.659574468085108
1309,5136,-16956,23,32,55,41.82,21.836363636363636
1310,5080,-11720,21,26,47,44.68,26.74468085106383
1312,6127,-11037,27,32,59,45.76,24.406779661016948
1313,5222,-4292,25,27,52,48.08,32.26923076923077
1314,5455,-11105,25,34,59,42.37,21.71186440677966
1315,7284,-18484,20,23,43,46.51,66.20930232558139
1316,4774,-5344,31,27,58,53.45,15.60344827586207
1319,10932,-57682,17,29,46,36.96,31.5
1321,7121,-7021,23,26,49,46.94,31.918367346938776
1323,5223,-11903,17,22,39,43.59,54.17948717948718
1324,3671,-10971,21,17,38,55.26,45.473684210526315
1325,9721,-193571,15,31,46,32.61,35.30434782608695
1326,16674,-86424,14,24,38,36.84,76.71052631578948
1337,3766,18344,8,5,13,61.54,24.076923076923077
1338,8526,35674,10,5,15,66.67,40.86666666666667
1339,5198,-29148,7,10,17,41.18,34.23529411764706
1340,1736,33664,6,0,6,100.0,19.333333333333332
1341,3256,-8656,3,5,8,37.5,62.875
1342,1528,2972,2,2,4,50.0,28.75
1402,9530,25520,26,25,51,50.98,46.86274509803921
1409,3840,-6710,25,26,51,49.02,32.35294117647059
1410,5061,-29961,17,29,46,36.96,45.97826086956522
1413,3122,-2882,25,27,52,48.08,20.192307692307693
1414,3777,-5547,27,28,55,49.09,19.581818181818182
1416,3705,-17035,19,29,48,39.58,38.5625
1417,3089,1121,21,25,46,45.65,21.73913043478261
1418,3750,-8680,26,32,58,44.83,15.517241379310345
1419,8246,-7196,20,24,44,45.45,55.81818181818182
1423,3664,376,27,25,52,51.92,37.21153846153846
1432,3839,-22639,21,25,46,45.65,14.0
1434,5961,-15961,15,22,37,40.54,58.2972972972973
1435,5569,-15889,27,37,64,42.19,18.109375
1436,6498,-24318,20,25,45,44.44,41.644444444444446
1437,6385,-26605,20,34,54,37.04,31.40740740740741
1438,3440,-3070,24,34,58,41.38,13.810344827586206
1439,6401,-87751,15,31,46,32.61,21.456521739130434
1440,4145,-20265,18,28,46,39.13,34.52173913043478
1441,2992,-13512,21,24,45,46.67,17.933333333333334
1442,5624,9746,28,21,49,57.14,37.795918367346935
1443,2894,-2794,23,25,48,47.92,22.333333333333332
1444,3620,1400,26,26,52,50.0,24.76923076923077
1445,2890,-8610,18,26,44,40.91,33.59090909090909
1446,5482,-14432,22,30,52,42.31,22.78846153846154
1447,3641,-12121,20,32,52,38.46,25.134615384615383
1449,3409,11181,28,30,58,48.28,9.637931034482758
1451,4457,8493,20,14,34,58.82,81.55882352941177
1452,5148,-6188,27,25,52,51.92,43.69230769230769
1453,3548,-22728,23,24,47,48.94,26.78723404255319
1454,2648,1652,21,19,40,52.5,51.3
1455,3944,-23744,16,33,49,32.65,23.244897959183675
1456,3979,4611,37,23,60,61.67,13.516666666666667
1457,3601,-5081,24,28,52,46.15,30.153846153846153
1459,3470,-1820,23,24,47,48.94,21.76595744680851
1460,3087,-197,22,22,44,50.0,29.363636363636363
1463,3360,-29600,11,32,43,25.58,32.093023255813954
1464,4623,-18983,20,29,49,40.82,27.93877551020408
1465,3364,-6694,20,20,40,50.0,37.175
1466,5162,-5902,27,29,56,48.21,15.589285714285714
1467,3651,-20681,16,27,43,37.21,24.488372093023255
1468,2636,-3506,18,13,31,58.06,58.645161290322584
1470,4055,-6835,23,25,48,47.92,31.75
1471,6414,-41034,19,31,50,38.0,10.56
1472,5634,-11584,27,26,53,50.94,11.452830188679245
1473,7832,-25282,16,22,38,42.11,40.44736842105263
1474,2841,-6071,17,21,38,44.74,47.36842105263158
1475,9570,-27450,23,33,56,41.07,12.446428571428571
1476,69531,-183781,27,41,68,39.71,32.48529411764706
1477,40227,-211527,15,35,50,30.0,50.14
1503,6460,-25610,14,17,31,45.16,114.45161290322581
1504,5864,-9784,18,27,45,40.0,53.75555555555555
1506,4442,-15642,20,24,44,45.45,28.113636363636363
1512,2712,-5902,19,21,40,47.5,20.325
1513,6537,-29387,21,24,45,46.67,58.75555555555555
1514,4394,-5314,26,27,53,49.06,26.41509433962264
1515,10892,-76022,26,39,65,40.0,16.338461538461537
1516,4740,-12420,20,27,47,42.55,15.574468085106384
1517,4250,-5870,24,25,49,48.98,23.612244897959183
1519,7495,-19675,21,26,47,44.68,24.51063829787234
1521,11480,11220,21,19,40,52.5,48.675
1522,6057,-20307,16,24,40,40.0,35.35
1524,3209,-2439,19,20,39,48.72,26.923076923076923
1525,14973,4027,22,22,44,50.0,21.727272727272727
1526,8806,-56586,28,35,63,44.44,12.46031746031746
1527,13134,-54034,18,27,45,40.0,43.53333333333333
1528,3743,-4993,23,22,45,51.11,27.622222222222224
1529,4116,5594,29,25,54,53.7,10.277777777777779
1530,11379,-41379,20,29,49,40.82,37.16326530612245
1531,6814,5986,22,21,43,51.16,39.30232558139535
1532,11137,-73187,18,32,50,36.0,29.56
1533,11076,-52676,18,29,47,38.3,18.425531914893618
1535,8846,-44696,16,24,40,40.0,54.6
1536,17526,9324,22,30,52,42.31,28.442307692307693
1537,18788,-7288,18,26,44,40.91,59.56818181818182
1538,8811,-8671,24,28,52,46.15,16.903846153846153
1539,5093,-9933,23,25,48,47.92,19.0
1540,5575,-13375,19,22,41,46.34,38.609756097560975
1541,8389,-24369,20,29,49,40.82,14.693877551020408
1558,20062,-91612,11,19,30,36.67,84.66666666666667
1560,24503,-52003,24,28,52,46.15,23.826923076923077
1568,3273,-20723,6,12,18,33.33,19.444444444444443
1582,10810,-41010,11,14,25,44.0,72.92
1583,9807,-20107,16,14,30,53.33,29.466666666666665
1587,3241,-10491,10,12,22,45.45,33.95454545454545
1589,19533,-23233,11,19,30,36.67,18.666666666666668
1590,101472,-296972,15,22,37,40.54,26.18918918918919
1597,14407,-25107,12,15,27,44.44,13.25925925925926
