EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2002-11-12,2003-02-07,24.2,26.6,34,38,0,80,152,87,2248,0.0929,26.9,0.1116,24.2,0.0
2003-02-11,2003-07-10,26.8,29.1,38,41,0,87,166,149,2134,0.0796,29.5,0.1007,26.8,0.0
2003-07-14,2004-01-05,28.5,30.7,41,44,0,92,177,175,2023,0.071,32.6,0.1439,28.5,0.0
2004-01-07,2004-02-24,30.9,34.1,44,49,0,102,195,48,3005,0.0972,34.4,0.1133,30.9,0.0
2004-02-26,2004-05-05,33.8,31.1,48,44,0,93,185,69,-2885,-0.0854,33.8,0.0,30.2,-0.1065
2004-05-07,2004-09-22,31.0,33.8,44,48,0,101,193,138,2607,0.0841,34.1,0.1,31.0,0.0
2004-09-24,2005-07-27,34.3,29.5,49,42,0,88,179,306,-4979,-0.1452,34.3,0.0,29.2,-0.1487
2005-07-29,2006-03-28,29.0,32.0,41,46,0,96,183,242,2817,0.0971,32.0,0.1034,29.0,0.0
2006-03-30,2006-12-15,31.8,34.2,45,49,0,103,197,260,2203,0.0693,35.8,0.1258,31.8,0.0
2006-12-19,2007-03-21,34.35,36.65,49,52,0,110,211,92,2089,0.0608,37.9,0.1033,34.35,0.0
2007-03-23,2007-04-18,36.6,39.8,52,57,0,119,228,26,2972,0.0812,40.35,0.1025,36.6,0.0
2007-04-20,2007-07-17,39.5,44.0,56,63,0,132,251,88,4249,0.1076,44.4,0.1241,39.5,0.0
2007-08-02,2007-09-27,41.35,48.0,59,68,0,144,271,56,6379,0.1543,46.9,0.1342,41.35,0.0
2008-09-04,2008-10-01,37.5,32.8,53,47,0,98,198,27,-4898,-0.1306,37.5,0.0,32.2,-0.1413
2008-10-03,2008-10-23,32.0,28.0,46,40,0,84,170,20,-4170,-0.1303,32.0,0.0,28.0,-0.125
2008-10-27,2008-10-31,27.0,29.85,38,43,0,90,171,4,2679,0.0992,30.0,0.1111,27.0,0.0
2008-11-04,2009-02-10,30.0,33.0,43,47,0,99,189,98,2811,0.0937,33.75,0.125,30.0,0.0
2009-02-12,2009-03-13,33.0,30.3,47,43,0,91,181,29,-2881,-0.0873,33.0,0.0,29.5,-0.1061
2009-03-17,2009-06-01,30.6,33.8,44,48,0,101,193,76,3007,0.0983,34.7,0.134,30.6,0.0
2009-06-03,2009-12-17,34.5,37.0,49,53,0,111,213,197,2287,0.0663,38.7,0.1217,34.5,0.0
2009-12-21,2010-01-12,36.8,40.0,52,57,0,120,229,22,2971,0.0807,41.4,0.125,36.8,0.0
2010-01-14,2014-06-27,39.5,41.3,56,59,0,124,239,1625,1561,0.0395,43.8,0.1089,39.5,0.0
2016-03-09,2017-07-03,39.55,43.05,56,61,0,129,246,481,3254,0.0823,44.0,0.1125,39.55,0.0
