EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2012-11-05,2012-12-07,10.0,10.95,20,20,0,33,73,32,877,0.0877,11.3,0.13,10.0,0.0
2012-12-11,2012-12-21,10.75,11.7,20,20,0,35,75,10,875,0.0814,11.95,0.1116,10.75,0.0
2012-12-24,2013-01-03,11.55,12.85,20,20,0,39,79,10,1221,0.1057,12.75,0.1039,11.55,0.0
2013-01-07,2013-01-18,12.4,11.4,20,20,0,34,74,11,-1074,-0.0866,12.4,0.0,11.15,-0.1008
2013-01-22,2013-04-09,11.2,10.1,20,20,0,30,70,77,-1170,-0.1045,11.2,0.0,10.05,-0.1027
2013-04-11,2013-08-22,10.15,10.75,20,20,0,32,72,133,528,0.052,11.35,0.1182,10.15,0.0
2015-08-20,2015-08-25,8.59,7.01,20,20,0,21,61,5,-1641,-0.191,8.59,0.0,7.65,-0.1094
2015-08-27,2015-08-31,7.45,8.47,20,20,0,25,65,4,955,0.1282,8.5,0.1409,7.45,0.0
2015-09-02,2015-10-13,8.43,9.41,20,20,0,28,68,41,912,0.1082,9.32,0.1056,8.43,0.0
2015-11-09,2015-12-07,8.85,8.1,20,20,0,24,64,28,-814,-0.092,8.85,0.0,7.9,-0.1073
2015-12-09,2015-12-25,8.2,8.6,20,20,0,26,66,16,334,0.0407,9.08,0.1073,8.2,0.0
2015-12-29,2016-01-08,8.85,7.92,20,20,0,24,64,10,-994,-0.1123,8.85,0.0,7.9,-0.1073
2016-01-12,2016-02-17,7.9,9.2,20,20,0,28,68,36,1232,0.1559,9.03,0.143,7.9,0.0
2016-02-19,2016-03-01,9.1,9.98,20,20,0,30,70,11,810,0.089,10.35,0.1374,9.1,0.0
2016-03-18,2016-04-14,9.69,11.35,20,20,0,34,74,27,1586,0.1637,11.05,0.1404,9.69,0.0
2016-05-10,2016-07-07,9.8,10.85,20,20,0,33,73,58,977,0.0997,10.9,0.1122,9.8,0.0
2016-10-12,2016-10-27,9.65,11.0,20,20,0,33,73,15,1277,0.1323,10.7,0.1088,9.65,0.0
2017-06-27,2017-08-02,9.64,10.55,20,20,0,32,72,36,838,0.0869,10.7,0.11,9.64,0.0
2017-08-04,2018-01-12,10.4,11.65,20,20,0,35,75,161,1175,0.113,11.85,0.1394,10.4,0.0
2019-03-22,2019-03-29,9.06,8.82,20,20,0,26,66,7,-306,-0.0338,9.06,0.0,8.15,-0.1004
2019-04-02,2019-07-23,8.9,9.51,20,20,0,29,69,112,541,0.0608,9.8,0.1011,8.9,0.0
2019-07-25,2020-03-11,9.36,8.5,20,20,0,26,66,230,-926,-0.0989,9.36,0.0,8.2,-0.1239
2020-03-13,2020-04-13,7.05,7.79,20,20,0,23,63,31,677,0.096,7.79,0.105,7.05,0.0
2020-04-15,2020-06-01,8.09,8.3,20,20,0,25,65,47,145,0.0179,8.09,0.0,7.23,-0.1063
2020-06-03,2020-08-20,8.34,9.22,20,20,0,28,68,78,812,0.0974,9.26,0.1103,8.34,0.0
2020-08-24,2020-09-08,9.15,11.2,20,20,0,34,74,15,1976,0.216,10.65,0.1639,9.15,0.0
2020-09-14,2020-09-18,10.2,10.85,20,20,0,33,73,4,577,0.0566,11.65,0.1422,10.2,0.0
2020-09-24,2020-11-26,10.05,11.05,20,20,0,33,73,63,927,0.0922,11.2,0.1144,10.05,0.0
