代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,3347,23903,12,4,16,75.0,0.04440625000000001,73.5
1102,2290,1810,7,5,12,58.33,0.013850000000000003,116.5
1103,843,-2333,5,6,11,45.45,-0.007136363636363638,141.0909090909091
1104,1526,7674,10,4,14,71.43,0.03477857142857143,111.5
1108,1014,2716,10,6,16,62.5,0.026918749999999998,91.75
1109,692,2708,6,3,9,66.67,0.02982222222222222,179.22222222222223
1110,1254,10346,11,3,14,78.57,0.05324285714285713,109.0
1201,4288,11212,20,15,35,57.14,0.021577142857142857,39.17142857142857
1203,1318,7982,7,3,10,70.0,0.03923,187.1
1210,2406,12244,11,5,16,68.75,0.03466875,96.3125
1213,2320,-2780,18,17,35,51.43,-0.0015199999999999975,44.0
1215,3808,33692,19,5,24,79.17,0.056924999999999996,64.875
1216,4880,10470,9,6,15,60.0,0.017193333333333338,114.06666666666666
1217,1030,8830,14,2,16,87.5,0.07906875,71.3125
1218,1794,1356,13,9,22,59.09,0.01066363636363636,72.9090909090909
1219,1024,4526,7,4,11,63.64,0.03146363636363637,143.63636363636363
1220,285,1515,3,1,4,75.0,0.0378,454.25
1225,5664,34086,27,11,38,71.05,0.04025526315789473,41.39473684210526
1227,4632,-30782,6,8,14,42.86,-0.030242857142857144,116.07142857142857
1229,1076,3324,6,3,9,66.67,0.021766666666666663,174.55555555555554
1231,3679,10071,11,7,18,61.11,0.01753333333333333,77.55555555555556
1232,4671,40129,9,2,11,81.82,0.057590909090909095,186.45454545454547
1233,1038,-2488,2,3,5,40.0,-0.013439999999999997,301.8
1234,1679,6771,6,3,9,66.67,0.02764444444444445,205.77777777777777
1235,3589,18911,18,7,25,72.0,0.035184,58.6
1236,1696,3534,12,7,19,63.16,0.01576315789473684,81.89473684210526
1256,34677,205923,25,13,38,65.79,0.04258947368421053,22.13157894736842
1301,6713,28187,10,5,15,66.67,0.028239999999999998,123.13333333333334
1303,10215,23485,18,10,28,64.29,0.018321428571428575,50.25
1304,2452,15018,19,7,26,73.08,0.042630769230769236,59.84615384615385
1305,4470,17780,29,17,46,63.04,0.024743478260869558,28.608695652173914
1307,3388,-9738,10,16,26,38.46,-0.008192307692307691,58.5
1308,2814,9086,16,9,25,64.0,0.021584,49.96
1309,2079,5561,18,12,30,60.0,0.025396666666666668,44.766666666666666
1310,2960,19840,25,9,34,73.53,0.04325588235294118,35.05882352941177
1312,3453,13797,23,12,35,65.71,0.025037142857142865,36.714285714285715
1313,2000,7170,17,10,27,62.96,0.025185185185185185,53.148148148148145
1314,2814,-404,22,18,40,55.0,0.004197499999999998,34.975
1315,1542,-2842,5,5,10,50.0,-0.00586,167.6
1316,2462,22528,20,10,30,66.67,0.060393333333333334,39.1
1319,5288,24512,18,8,26,69.23,0.030753846153846156,36.53846153846154
1321,3957,34843,18,5,23,78.26,0.054747826086956525,44.34782608695652
1323,4031,28969,17,6,23,73.91,0.04768695652173914,56.04347826086956
