代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1476,70381,676819,37,7,44,84.09,0.06534545454545454,23.977272727272727
1477,25616,225884,25,5,30,83.33,0.05809333333333333,36.56666666666667
6234,2707,33293,20,4,24,83.33,0.07854583333333333,34.416666666666664
3685,5087,72613,25,5,30,83.33,0.09014666666666665,24.3
9955,3489,33461,27,6,33,81.82,0.059912121212121215,34.484848484848484
2461,2372,23778,22,5,27,81.48,0.06671481481481482,39.925925925925924
6535,4913,59387,19,5,24,79.17,0.07806249999999999,21.875
3128,2103,17177,22,6,28,78.57,0.05855714285714286,29.178571428571427
2484,2621,18939,22,6,28,78.57,0.04765357142857144,30.714285714285715
9910,23698,186302,28,8,36,77.78,0.05178333333333333,27.333333333333332
9914,36750,209750,30,9,39,76.92,0.04376923076923077,26.23076923076923
8928,3771,32569,23,7,30,76.67,0.06146666666666667,36.63333333333333
2356,3474,29986,23,7,30,76.67,0.05738999999999999,31.633333333333333
5202,2942,22398,26,8,34,76.47,0.05188235294117648,33.6764705882353
2457,3111,21809,29,9,38,76.32,0.04818684210526315,26.394736842105264
3529,43435,379465,29,9,38,76.32,0.05580526315789474,23.07894736842105
1783,5199,45501,22,7,29,75.86,0.06530689655172413,20.413793103448278
6488,42233,335067,24,8,32,75.0,0.05537187500000001,21.125
5904,37693,308607,24,8,32,75.0,0.05172500000000001,37.53125
3646,4987,35113,33,11,44,75.0,0.04855909090909092,28.59090909090909
8464,39532,285468,18,6,24,75.0,0.048854166666666664,20.833333333333332
8103,5477,50023,24,8,32,75.0,0.054784375,35.59375
5288,11437,84263,18,6,24,75.0,0.04351666666666667,36.375
8048,4951,30349,26,9,35,74.29,0.043217142857142864,37.457142857142856
3481,2482,16588,26,9,35,74.29,0.041800000000000004,30.97142857142857
6409,61526,318974,20,7,27,74.07,0.038511111111111114,39.148148148148145
3583,8500,86150,20,7,27,74.07,0.06422592592592592,30.48148148148148
3169,5950,42700,25,9,34,73.53,0.04468823529411764,36.1764705882353
1310,2960,19840,25,9,34,73.53,0.04325588235294118,35.05882352941177
5383,2255,15185,22,8,30,73.33,0.04693666666666667,28.833333333333332
4121,2562,17648,22,8,30,73.33,0.04772333333333333,24.8
3704,2606,18574,22,8,30,73.33,0.05059,31.2
3611,31888,187012,22,8,30,73.33,0.045363333333333325,33.833333333333336
6188,5883,33817,27,10,37,72.97,0.040032432432432444,30.37837837837838
6532,3924,8326,16,6,22,72.73,0.01677272727272727,22.363636363636363
2472,5067,26833,24,9,33,72.73,0.04085757575757575,32.72727272727273
8488,2086,11714,16,6,22,72.73,0.03902727272727272,31.0
8437,20837,152663,16,6,22,72.73,0.04384545454545455,23.363636363636363
6229,2734,18796,24,9,33,72.73,0.04801515151515151,36.666666666666664
6494,4604,40696,16,6,22,72.73,0.05112272727272727,30.636363636363637
1522,3831,27469,24,9,33,72.73,0.04822727272727272,32.121212121212125
2488,5748,23682,29,11,40,72.5,0.037029999999999993,29.225
3363,4553,31347,21,8,29,72.41,0.0459,29.551724137931036
1784,6082,49868,21,8,29,72.41,0.05316551724137931,33.37931034482759
4927,5442,34208,21,8,29,72.41,0.038251724137931035,39.3448275862069
1536,19210,90340,34,13,47,72.34,0.04083829787234043,24.48936170212766
2401,1830,11130,18,7,25,72.0,0.048096,39.88
2520,4161,30089,23,9,32,71.88,0.03842812500000001,28.0
1809,2366,13104,23,9,32,71.88,0.042315624999999996,33.6875
2402,3081,16169,25,10,35,71.43,0.03686571428571428,33.857142857142854
3094,3143,10257,20,8,28,71.43,0.023725,40.0
3624,3816,21034,20,8,28,71.43,0.03833928571428571,38.892857142857146
1527,8481,40119,25,10,35,71.43,0.036451428571428565,28.0
8390,3301,15199,20,8,28,71.43,0.04193928571428572,38.107142857142854
9802,9714,60536,25,10,35,71.43,0.03601142857142857,32.82857142857143
2369,2831,18279,27,11,38,71.05,0.04448947368421052,29.31578947368421
2375,2927,12603,27,11,38,71.05,0.04730526315789473,39.10526315789474
4107,18182,70518,27,11,38,71.05,0.03832368421052632,35.13157894736842
3551,9515,52035,27,11,38,71.05,0.03685,28.526315789473685
3265,5515,25335,27,11,38,71.05,0.031642105263157895,29.81578947368421
4528,7221,38329,22,9,31,70.97,0.04221290322580645,36.806451612903224
3489,2286,10834,22,9,31,70.97,0.03836129032258065,38.12903225806452
4952,4238,21112,17,7,24,70.83,0.036925,39.958333333333336
1539,4885,28475,34,14,48,70.83,0.046447916666666665,23.8125
1795,14180,95720,29,12,41,70.73,0.04958536585365853,16.926829268292682
9906,5488,52352,29,12,41,70.73,0.059263414634146326,22.51219512195122
4123,11055,65595,24,10,34,70.59,0.04269117647058823,32.294117647058826
6472,16860,123090,19,8,27,70.37,0.06297777777777779,16.88888888888889
2743,3744,32996,19,8,27,70.37,0.05561851851851852,13.0
6285,9871,54079,19,8,27,70.37,0.03435925925925926,32.81481481481482
8059,2572,19888,26,11,37,70.27,0.058191891891891896,28.45945945945946
