EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2016-08-24,2016-08-30,60.7,61.03,86,87,0,183,356,6,-26,-0.0004,61.1,0.0066,60.7,0.0
2016-10-05,2016-10-18,61.2,61.41,87,88,0,184,359,13,-149,-0.0024,61.5,0.0049,61.2,0.0
2016-11-24,2016-11-29,61.3,61.45,87,88,184,0,359,5,-509,-0.0083,61.5,0.0033,61.3,0.0
2017-01-04,2017-01-20,62.0,62.35,88,89,0,187,364,16,-14,-0.0002,62.4,0.0065,62.0,0.0
2017-04-14,2017-05-17,63.1,62.68,90,89,189,0,368,33,52,0.0008,63.1,0.0,62.6,-0.0079
2017-07-10,2017-09-06,61.9,62.44,88,89,186,0,363,58,-903,-0.0146,62.5,0.0097,61.9,0.0
2017-10-03,2017-10-06,62.8,62.61,89,89,0,188,366,3,-556,-0.0089,62.8,0.0,62.6,-0.0032
2017-11-24,2017-11-27,63.5,63.35,90,90,0,190,370,3,-520,-0.0082,63.5,0.0,63.3,-0.0031
2018-05-08,2018-05-14,65.7,65.56,94,93,0,197,384,6,-524,-0.008,65.7,0.0,65.5,-0.003
2018-11-13,2018-11-22,63.9,64.1,91,91,192,0,374,9,-574,-0.009,64.3,0.0063,63.9,0.0
2018-11-27,2018-11-30,64.3,64.62,92,92,0,194,378,3,-58,-0.0009,64.7,0.0062,64.2,-0.0016
2018-12-27,2018-12-28,64.6,64.81,92,92,0,194,378,1,-168,-0.0026,64.9,0.0046,64.4,-0.0031
2019-01-02,2019-01-03,64.8,64.54,92,92,0,194,378,1,-638,-0.0098,64.8,0.0,64.5,-0.0046
2019-01-16,2019-02-11,64.1,64.44,91,92,192,0,375,26,-715,-0.0112,64.5,0.0062,64.1,0.0
2019-02-22,2019-03-04,64.5,64.71,92,92,0,194,378,10,-168,-0.0026,64.8,0.0047,64.5,0.0
2019-03-05,2019-03-13,64.8,65.18,92,93,0,196,381,8,-1,-0.0,65.2,0.0062,64.8,0.0
2019-06-26,2019-07-17,65.0,65.16,93,93,195,0,381,21,-541,-0.0083,65.2,0.0031,65.0,0.0
2019-07-18,2019-08-06,65.3,65.66,93,94,0,197,384,19,-24,-0.0004,65.7,0.0061,65.3,0.0
2019-10-08,2019-11-27,65.0,64.61,93,92,0,194,379,50,-769,-0.0118,65.0,0.0,64.6,-0.0062
2019-12-25,2020-01-30,65.2,64.95,93,93,0,195,381,36,-631,-0.0097,65.4,0.0031,64.7,-0.0077
2020-04-24,2020-05-31,64.2,63.39,91,90,0,190,371,37,-1181,-0.0184,64.2,0.0,61.8,-0.0374
2020-06-03,2020-06-19,65.2,65.91,93,94,0,198,385,16,325,0.005,66.0,0.0123,65.2,0.0
2020-07-06,2021-05-12,63.5,61.57,90,88,190,0,368,310,1562,0.0246,63.5,0.0,61.5,-0.0315
2021-05-25,2021-05-26,62.1,62.36,88,89,0,187,364,1,-104,-0.0017,62.5,0.0064,62.1,0.0
2021-07-14,2021-07-16,63.1,63.27,90,90,0,190,370,2,-200,-0.0032,63.3,0.0032,63.0,-0.0016
2021-09-24,2021-09-27,61.8,61.95,88,88,185,0,361,3,-511,-0.0083,62.0,0.0032,61.8,0.0
2021-09-30,2021-10-01,62.1,61.97,88,88,0,186,362,1,-492,-0.0079,62.1,0.0,61.8,-0.0048
2022-04-07,2022-04-11,62.7,63.06,89,90,188,0,367,4,-727,-0.0116,63.1,0.0064,62.7,0.0
2022-05-05,2022-05-06,63.2,63.04,90,90,0,189,369,1,-529,-0.0084,63.2,0.0,63.0,-0.0032
2022-05-12,2022-05-24,62.9,62.63,90,89,189,0,368,12,-98,-0.0016,62.9,0.0,62.6,-0.0048
2022-05-31,2022-07-27,63.1,62.9,90,90,0,189,369,57,-569,-0.009,63.1,0.0,60.8,-0.0365
2022-09-05,2022-09-12,61.1,60.91,87,87,183,0,357,7,-167,-0.0027,61.1,0.0,60.9,-0.0033
