EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2017-05-12,2017-05-25,51.6,51.79,74,74,155,0,303,13,-493,-0.0096,51.8,0.0039,51.6,0.0
2017-08-15,2017-08-23,51.8,51.92,74,74,155,0,303,8,-423,-0.0082,52.0,0.0039,51.8,0.0
2017-09-05,2017-10-16,52.2,52.43,74,75,0,157,306,41,-76,-0.0015,52.5,0.0057,52.2,0.0
2017-11-01,2017-11-16,52.5,52.71,75,75,0,158,308,15,-98,-0.0019,52.8,0.0057,52.5,0.0
2017-12-20,2017-12-22,52.8,53.07,75,76,0,159,310,2,-40,-0.0008,53.1,0.0057,52.8,0.0
2018-01-12,2018-02-05,53.1,53.34,76,76,0,160,312,24,-72,-0.0014,53.4,0.0056,53.1,0.0
2018-06-25,2018-07-04,54.4,54.04,78,77,163,0,318,9,42,0.0008,54.4,0.0,51.8,-0.0478
2018-10-03,2018-10-05,53.6,53.43,76,76,0,160,312,2,-482,-0.009,53.6,0.0,53.4,-0.0037
2018-11-26,2019-01-14,53.4,53.78,76,77,0,161,314,49,66,0.0012,54.1,0.0131,53.4,0.0
2019-01-16,2019-01-24,54.0,54.45,77,78,0,163,318,8,132,0.0024,54.5,0.0093,54.0,0.0
2019-04-30,2019-05-28,55.4,55.22,79,79,0,166,324,28,-504,-0.0091,55.4,0.0,55.2,-0.0036
2019-06-17,2019-06-20,55.2,55.37,79,79,166,0,324,3,-494,-0.0089,55.4,0.0036,55.2,0.0
2019-07-05,2019-07-09,55.4,55.27,79,79,0,166,324,4,-454,-0.0082,55.4,0.0,53.5,-0.0343
2019-08-07,2019-08-19,55.1,55.58,79,79,0,167,325,12,155,0.0028,55.8,0.0127,55.1,0.0
2019-10-09,2019-10-18,56.0,56.27,80,80,0,169,329,9,-59,-0.0011,56.3,0.0054,56.0,0.0
2020-02-04,2020-02-13,56.1,55.85,80,80,0,168,328,9,-578,-0.0103,56.3,0.0036,55.6,-0.0089
2020-02-14,2020-02-24,56.3,56.12,80,80,0,168,328,10,-508,-0.009,56.3,0.0,56.1,-0.0036
2020-03-09,2020-03-12,56.5,56.38,81,80,0,169,330,3,-450,-0.008,56.5,0.0,55.7,-0.0142
2020-05-05,2020-05-31,54.2,53.58,77,76,0,161,314,26,-934,-0.0172,54.2,0.0,51.7,-0.0461
2020-06-04,2020-06-16,54.9,55.77,78,79,0,167,324,12,546,0.0099,55.8,0.0164,54.9,0.0
2020-06-17,2020-07-02,56.1,55.3,80,79,0,166,325,15,-1125,-0.0201,56.1,0.0,54.1,-0.0357
2020-07-09,2020-08-25,54.5,53.32,78,76,164,0,318,47,862,0.0158,54.5,0.0,53.3,-0.022
2020-08-31,2020-09-09,53.3,52.94,76,75,160,0,311,9,49,0.0009,53.3,0.0,52.8,-0.0094
2020-10-28,2020-10-30,52.6,52.33,75,75,158,0,308,2,-38,-0.0007,52.6,0.0,52.3,-0.0057
2020-11-24,2020-12-09,52.7,52.43,75,75,158,0,308,15,-38,-0.0007,52.7,0.0,52.4,-0.0057
2020-12-11,2020-12-15,52.4,52.54,75,75,157,0,307,4,-447,-0.0085,52.6,0.0038,52.4,0.0
2020-12-25,2020-12-30,52.3,52.44,75,75,157,0,307,5,-447,-0.0085,52.5,0.0038,52.3,0.0
2021-01-18,2021-02-02,52.3,52.49,75,75,157,0,307,15,-497,-0.0095,52.5,0.0038,52.3,0.0
2021-02-03,2021-03-02,52.6,53.07,75,76,0,159,310,27,160,0.003,53.1,0.0095,52.6,0.0
2021-05-04,2021-05-05,52.7,52.86,75,75,158,0,308,1,-468,-0.0089,52.9,0.0038,52.7,0.0
2021-05-13,2021-05-14,52.5,52.73,75,75,158,0,308,1,-538,-0.0102,52.9,0.0076,52.5,0.0
2021-05-26,2021-06-07,52.9,53.19,75,76,0,160,311,12,-21,-0.0004,53.4,0.0095,52.9,0.0
2021-07-30,2021-08-09,53.7,53.4,77,76,0,160,313,10,-613,-0.0114,53.7,0.0,51.4,-0.0428
2021-10-22,2021-10-29,52.4,52.58,75,75,0,158,308,7,-128,-0.0024,52.6,0.0038,52.4,0.0
2021-12-29,2022-01-03,53.2,53.08,76,76,0,159,311,5,-431,-0.0081,53.2,0.0,52.9,-0.0056
2022-02-10,2022-02-15,53.3,53.12,76,76,0,159,311,5,-491,-0.0092,53.3,0.0,53.1,-0.0038
2022-03-08,2022-03-22,52.9,53.16,75,76,159,0,310,14,-570,-0.0108,53.3,0.0076,52.9,0.0
2022-03-23,2022-05-16,53.3,53.06,76,76,0,159,311,54,-551,-0.0103,53.3,0.0,52.9,-0.0075
2022-05-19,2022-05-24,52.9,53.18,75,76,159,0,310,5,-590,-0.0112,53.3,0.0076,52.9,0.0
2022-05-25,2022-05-26,53.4,53.13,76,76,0,159,311,1,-581,-0.0109,53.4,0.0,53.1,-0.0056
2022-05-30,2022-06-27,53.4,53.76,76,77,0,161,314,28,46,0.0009,53.8,0.0075,53.4,0.0
2022-09-06,2022-09-08,51.5,51.29,73,73,154,0,300,2,-90,-0.0017,51.5,0.0,51.2,-0.0058
