EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2019-04-29,2019-05-23,51.8,51.68,74,74,0,155,303,24,-423,-0.0082,51.8,0.0,51.6,-0.0039
2019-07-10,2019-07-17,51.9,52.24,74,74,0,157,305,7,35,0.0007,52.4,0.0096,51.9,0.0
2019-08-01,2019-08-06,52.2,52.08,74,74,0,156,304,5,-424,-0.0081,52.2,0.0,51.9,-0.0057
2019-08-07,2019-08-13,52.3,52.58,75,75,0,158,308,6,-28,-0.0005,52.7,0.0076,52.3,0.0
2019-12-10,2019-12-12,54.2,54.04,77,77,0,162,316,2,-476,-0.0088,54.4,0.0037,53.8,-0.0074
2019-12-16,2019-12-17,54.4,54.18,78,77,0,163,318,1,-538,-0.0099,54.5,0.0018,54.1,-0.0055
2019-12-19,2019-12-20,54.5,54.28,78,77,0,163,318,1,-538,-0.0099,54.5,0.0,54.2,-0.0055
2020-02-06,2020-02-12,54.6,54.89,78,78,0,165,321,6,-31,-0.0006,54.9,0.0055,54.6,0.0
2020-02-13,2020-02-14,54.8,54.59,78,78,0,164,320,1,-530,-0.0097,54.9,0.0018,54.5,-0.0055
2020-05-29,2020-05-31,52.6,52.46,75,75,0,157,307,2,-447,-0.0085,52.6,0.0,50.7,-0.0361
2020-06-05,2020-07-01,53.1,53.94,76,77,0,162,315,26,525,0.0099,54.2,0.0207,53.1,0.0
2020-07-13,2020-08-27,52.5,51.94,75,74,158,0,307,45,253,0.0048,52.5,0.0,51.9,-0.0114
2020-11-20,2020-11-23,51.3,51.1,73,73,0,153,299,3,-499,-0.0097,51.3,0.0,51.0,-0.0058
2020-11-25,2020-11-26,51.0,51.15,73,73,153,0,299,1,-449,-0.0088,51.2,0.0039,51.0,0.0
2020-12-25,2020-12-28,51.0,51.11,73,73,153,0,299,3,-409,-0.008,51.2,0.0039,51.0,0.0
2020-12-30,2021-01-08,51.3,51.57,73,73,0,155,301,9,-31,-0.0006,51.6,0.0058,51.3,0.0
2021-02-24,2021-03-17,51.6,51.97,74,74,0,156,304,21,66,0.0013,52.0,0.0078,51.6,0.0
2021-05-04,2021-05-10,51.7,51.86,74,74,155,0,303,6,-463,-0.009,51.9,0.0039,51.7,0.0
2021-05-31,2021-06-11,51.5,51.67,73,74,154,0,301,11,-471,-0.0091,51.7,0.0039,51.5,0.0
2021-06-16,2021-07-02,51.9,52.29,74,75,0,157,306,16,84,0.0016,52.3,0.0077,51.9,0.0
2021-09-13,2021-09-22,50.5,50.65,72,72,152,0,296,9,-446,-0.0088,50.7,0.004,50.5,0.0
2021-10-20,2021-10-29,50.9,51.27,73,73,0,154,300,9,70,0.0014,51.3,0.0079,50.9,0.0
2022-01-05,2022-01-26,51.6,51.88,74,74,155,0,303,21,-583,-0.0113,51.9,0.0058,51.5,-0.0019
2022-03-03,2022-03-07,52.0,51.87,74,74,0,156,304,4,-434,-0.0083,52.0,0.0,51.5,-0.0096
2022-05-12,2022-05-13,51.5,51.23,73,73,154,0,300,1,-30,-0.0006,51.5,0.0,51.2,-0.0058
2022-05-17,2022-05-24,51.4,51.14,73,73,154,0,300,7,-40,-0.0008,51.4,0.0,51.1,-0.0058
2022-09-01,2022-09-05,49.8,49.65,71,71,149,0,291,4,-141,-0.0028,49.8,0.0,49.6,-0.004
2022-09-08,2022-09-16,49.55,49.28,71,70,149,0,290,8,-20,-0.0004,49.55,0.0,49.25,-0.0061
