EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2020-12-14,2020-12-22,41.95,42.11,60,60,126,0,246,8,-406,-0.0097,42.15,0.0048,41.95,0.0
2020-12-30,2021-01-19,42.4,42.1,60,60,0,126,246,20,-546,-0.0129,42.4,0.0,42.05,-0.0083
2021-01-20,2021-01-29,42.0,41.62,60,59,126,0,245,9,135,0.0032,42.0,0.0,41.5,-0.0119
2021-03-11,2021-05-05,42.0,41.62,60,59,0,125,244,55,-624,-0.0149,42.0,0.0,41.6,-0.0095
2021-05-20,2021-07-29,41.0,40.52,58,58,123,0,239,70,241,0.0059,41.0,0.0,40.35,-0.0159
2021-08-06,2021-08-19,40.45,40.14,58,57,121,0,236,13,74,0.0018,40.45,0.0,40.05,-0.0099
2021-08-31,2021-09-30,40.7,41.23,58,59,0,124,241,30,289,0.0071,41.35,0.016,40.7,0.0
2021-10-20,2021-10-27,41.45,41.74,59,59,0,125,243,7,47,0.0011,41.9,0.0109,41.45,0.0
2021-12-14,2021-12-28,42.55,42.77,61,61,0,128,250,14,-30,-0.0007,42.8,0.0059,42.55,0.0
2022-02-11,2022-02-14,43.35,43.27,62,62,0,130,254,3,-334,-0.0077,43.35,0.0,43.25,-0.0023
2022-03-11,2022-03-25,43.0,42.56,61,61,129,0,251,14,189,0.0044,43.0,0.0,42.5,-0.0116
2022-04-27,2022-04-29,42.55,42.74,61,61,128,0,250,2,-440,-0.0103,42.8,0.0059,42.5,-0.0012
2022-05-05,2022-05-09,42.55,42.39,61,60,128,0,249,4,-89,-0.0021,42.55,0.0,42.3,-0.0059
2022-05-11,2022-05-20,42.25,41.86,60,60,127,0,247,9,143,0.0034,42.25,0.0,41.85,-0.0095
2022-06-20,2022-06-28,42.0,41.71,60,59,126,0,245,8,45,0.0011,42.0,0.0,40.45,-0.0369
2022-08-30,2022-09-05,39.75,39.61,57,56,119,0,232,6,-92,-0.0023,39.75,0.0,39.5,-0.0063
