EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2019-08-01,2019-08-15,61.2,61.38,87,87,0,184,358,14,-178,-0.0029,61.4,0.0033,61.2,0.0
2019-10-21,2019-10-28,63.3,63.58,90,91,0,191,372,7,-92,-0.0015,63.6,0.0047,63.3,0.0
2019-11-25,2019-12-02,63.2,62.79,90,89,190,0,369,7,41,0.0006,63.2,0.0,62.7,-0.0079
2019-12-30,2020-01-02,63.3,63.17,90,90,0,190,370,3,-500,-0.0079,63.4,0.0016,63.1,-0.0032
2020-02-10,2020-02-20,63.5,63.84,90,91,0,192,373,10,-33,-0.0005,63.9,0.0063,63.5,0.0
2020-05-12,2020-05-13,62.8,62.56,89,89,0,188,366,1,-606,-0.0096,62.8,0.0,62.5,-0.0048
2020-06-05,2020-06-12,63.2,62.8,90,89,0,188,367,7,-767,-0.0121,63.6,0.0063,62.1,-0.0174
2020-06-30,2020-07-03,63.9,64.27,91,92,0,193,376,3,-6,-0.0001,64.3,0.0063,63.9,0.0
2022-01-03,2022-01-04,61.5,61.35,88,87,0,184,359,1,-509,-0.0083,61.5,0.0,61.0,-0.0081
2022-01-07,2022-01-12,61.6,61.87,88,88,0,186,362,5,-92,-0.0015,61.9,0.0049,61.6,0.0
