EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2009-07-16,2009-07-20,61.5,65.53,88,93,0,197,378,4,3652,0.0594,66.7,0.0846,61.5,0.0
2009-07-22,2009-08-11,68.4,62.15,97,89,0,186,372,20,-6622,-0.0968,68.4,0.0,61.8,-0.0965
2009-09-02,2009-09-18,72.0,68.0,103,97,0,204,404,16,-4404,-0.0612,72.0,0.0,67.8,-0.0583
2009-09-29,2009-10-01,65.9,67.79,94,97,198,0,389,2,-2279,-0.0346,68.5,0.0395,65.9,0.0
2009-10-02,2009-10-06,65.8,67.09,94,96,197,0,387,4,-1677,-0.0255,68.0,0.0334,65.5,-0.0046
2009-10-27,2009-10-28,63.5,64.99,90,93,190,0,373,1,-1863,-0.0293,66.2,0.0425,63.5,0.0
2009-10-29,2009-11-03,63.5,64.9,90,92,190,0,372,5,-1772,-0.0279,65.0,0.0236,63.5,0.0
2009-11-13,2009-11-27,67.7,64.85,96,92,0,195,383,14,-3233,-0.0478,67.7,0.0,63.5,-0.062
2010-01-27,2010-03-01,70.1,76.32,100,109,210,0,419,33,-6639,-0.0947,77.0,0.0984,70.1,0.0
2010-03-10,2010-03-15,77.3,75.59,110,108,0,227,445,5,-2155,-0.0279,77.7,0.0052,75.1,-0.0285
2010-03-26,2010-04-01,83.9,80.99,120,115,0,243,478,6,-3388,-0.0404,83.9,0.0,80.5,-0.0405
2010-05-05,2010-05-14,78.2,81.67,111,116,235,0,462,9,-3932,-0.0503,82.2,0.0512,78.2,0.0
2010-05-24,2010-05-31,77.7,79.62,111,113,233,0,457,7,-2377,-0.0306,83.1,0.0695,77.7,0.0
2010-06-01,2010-06-30,81.9,78.54,117,112,0,236,465,29,-3825,-0.0467,81.9,0.0,76.3,-0.0684
2010-07-12,2010-07-22,83.0,87.5,118,125,0,262,505,10,3995,0.0481,89.1,0.0735,83.0,0.0
2010-08-19,2010-08-20,86.4,88.89,123,127,0,267,517,1,1973,0.0228,92.0,0.0648,85.9,-0.0058
2010-08-24,2010-08-31,89.9,86.19,128,123,0,259,510,7,-4220,-0.0469,89.9,0.0,83.9,-0.0667
2010-09-15,2010-09-27,88.5,86.63,126,123,0,260,509,12,-2379,-0.0269,88.5,0.0,86.6,-0.0215
2010-09-28,2010-10-15,85.5,81.29,122,116,256,0,494,17,3716,0.0435,85.5,0.0,80.5,-0.0585
2010-10-26,2010-11-02,86.3,83.31,123,119,0,250,492,7,-3482,-0.0403,86.3,0.0,83.2,-0.0359
2010-11-08,2010-11-30,81.7,77.94,116,111,245,0,472,22,3288,0.0402,81.7,0.0,77.2,-0.0551
2010-12-03,2010-12-09,77.0,78.87,110,112,231,0,453,6,-2323,-0.0302,81.9,0.0636,76.0,-0.013
2010-12-29,2011-01-06,82.2,84.93,117,121,0,255,493,8,2237,0.0272,86.9,0.0572,82.0,-0.0024
2011-01-11,2011-01-20,85.3,83.35,122,119,0,250,491,9,-2441,-0.0286,85.3,0.0,83.1,-0.0258
2011-02-11,2011-02-17,79.5,82.18,113,117,239,0,469,6,-3149,-0.0396,82.2,0.034,79.5,0.0
2011-03-02,2011-03-14,82.5,80.48,118,115,0,241,474,12,-2494,-0.0302,82.5,0.0,80.1,-0.0291
2011-03-17,2011-03-22,77.1,80.93,110,115,231,0,456,5,-4286,-0.0556,84.9,0.1012,77.1,0.0
2011-03-23,2011-05-03,83.5,88.21,119,126,0,265,510,41,4200,0.0503,90.0,0.0778,83.5,0.0
2011-07-01,2011-07-11,120.5,114.95,172,164,0,345,681,10,-6231,-0.0517,120.5,0.0,112.5,-0.0664
2011-07-13,2011-07-19,110.0,118.45,157,169,330,0,656,6,-9106,-0.0828,119.0,0.0818,110.0,0.0
2011-07-20,2011-07-22,125.0,115.2,178,164,0,346,688,2,-10488,-0.0839,125.0,0.0,108.0,-0.136
2011-08-12,2011-08-22,92.2,80.29,131,114,277,0,522,10,11388,0.1235,92.2,0.0,78.6,-0.1475
2011-09-15,2011-09-16,86.1,88.55,123,126,258,0,507,1,-2957,-0.0343,91.4,0.0616,86.1,0.0
2011-09-27,2011-09-29,86.7,88.39,124,126,260,0,510,2,-2200,-0.0254,89.8,0.0358,85.9,-0.0092
2011-10-17,2011-10-28,95.1,101.31,136,144,0,304,584,11,5626,0.0592,102.0,0.0726,95.1,0.0
2011-11-15,2011-11-23,90.0,85.15,128,121,270,0,519,8,4331,0.0481,90.0,0.0,83.5,-0.0722
2011-11-30,2011-12-01,81.2,84.68,116,121,244,0,481,1,-3961,-0.0488,84.8,0.0443,81.2,0.0
2011-12-19,2011-12-21,77.7,81.74,111,116,233,0,460,2,-4500,-0.0579,82.8,0.0656,77.7,0.0
2012-01-17,2012-01-31,89.5,93.55,128,133,0,281,542,14,3508,0.0392,95.0,0.0615,89.5,0.0
2012-02-15,2012-02-16,101.0,98.71,144,141,0,296,581,1,-2871,-0.0284,101.5,0.005,97.0,-0.0396
2012-03-08,2012-03-13,106.0,100.9,151,144,0,303,598,5,-5698,-0.0538,106.0,0.0,99.8,-0.0585
2012-03-23,2012-03-28,107.5,103.75,153,148,0,311,612,5,-4362,-0.0406,107.5,0.0,102.0,-0.0512
2012-04-05,2012-06-04,95.9,86.37,137,123,288,0,548,60,8982,0.0937,95.9,0.0,85.0,-0.1137
2012-06-13,2012-06-18,86.4,88.08,123,126,259,0,508,5,-2188,-0.0253,90.4,0.0463,86.4,0.0
