代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,9173,1907,22,28,50,44.0,0.002217999999999999,19.52
1102,7084,7406,17,18,35,48.57,0.017420000000000005,30.142857142857142
1103,3623,6917,17,18,35,48.57,0.005120000000000002,31.2
1104,3255,5605,16,19,35,45.71,0.006662857142857141,25.457142857142856
1108,2395,-2955,13,22,35,37.14,-0.00908,27.82857142857143
1109,1599,6951,12,9,21,57.14,0.025285714285714293,30.047619047619047
1110,2694,-9624,11,25,36,30.56,-0.020872222222222223,36.083333333333336
1201,6469,-18629,20,31,51,39.22,-0.01240588235294118,25.529411764705884
1203,3591,-10591,12,21,33,36.36,-0.02411212121212121,34.18181818181818
1210,6628,-10378,16,21,37,43.24,-0.0073297297297297325,42.45945945945946
1213,3864,-20114,11,31,42,26.19,-0.03136428571428572,27.357142857142858
1215,3791,-1441,13,19,32,40.62,-0.0045625,27.28125
1216,6703,-21003,12,22,34,35.29,-0.0172764705882353,31.764705882352942
1217,2771,-4691,16,23,39,41.03,-0.00424102564102564,27.153846153846153
1218,3495,-585,21,21,42,50.0,0.004214285714285714,30.666666666666668
1219,3302,-2792,16,26,42,38.1,-0.015319047619047621,19.61904761904762
1220,2238,-3928,12,22,34,35.29,-0.02150294117647059,22.441176470588236
1225,4465,-5915,20,27,47,42.55,-0.0076255319148936145,34.276595744680854
1227,3021,33099,5,5,10,50.0,0.030539999999999994,60.9
1229,3233,-5883,15,19,34,44.12,-0.002279411764705883,19.735294117647058
1231,4035,-4465,11,15,26,42.31,-0.0029576923076923074,51.84615384615385
1232,3470,-14930,5,10,15,33.33,-0.01330666666666667,44.53333333333333
1233,794,-2374,2,3,5,40.0,0.006539999999999999,40.8
1234,2130,3280,11,10,21,52.38,0.01081904761904762,24.142857142857142
1235,4213,-6253,7,14,21,33.33,-0.02371428571428571,19.666666666666668
1236,1829,8271,10,6,16,62.5,0.023481249999999995,50.5
1256,24470,-117960,8,16,24,33.33,-0.0189875,23.125
1301,9370,-23240,9,11,20,45.0,-0.007085000000000001,39.85
1303,7464,-32524,7,16,23,30.43,-0.018786956521739128,17.52173913043478
1304,6538,6192,25,31,56,44.64,0.00034821428571428476,20.285714285714285
1305,6410,-10960,28,36,64,43.75,-0.0080953125,29.234375
1307,3561,-14131,8,15,23,34.78,-0.02032608695652174,22.304347826086957
1308,7144,27856,29,24,53,54.72,0.017732075471698108,20.433962264150942
1309,5110,14620,30,27,57,52.63,0.015680701754385965,31.982456140350877
1310,4878,-4128,17,28,45,37.78,-0.0033688888888888865,25.288888888888888
1312,5449,-3549,26,31,57,45.61,0.0002491228070175476,19.912280701754387
1313,4300,-3930,18,27,45,40.0,-0.007073333333333329,26.066666666666666
1314,5576,5054,30,34,64,46.88,0.008367187499999998,24.171875
1315,4681,2699,16,18,34,47.06,0.003535294117647058,26.0
1316,3386,-3106,20,25,45,44.44,-0.00011555555555555578,22.488888888888887
1319,12631,-94391,13,40,53,24.53,-0.04137735849056605,25.58490566037736
1321,4763,-17003,12,26,38,31.58,-0.02038684210526316,37.421052631578945
1323,2513,1337,10,12,22,45.45,3.636363636363678e-05,21.0
1324,2346,2294,13,13,26,50.0,0.0085,36.61538461538461
1325,9492,-3142,13,18,31,41.94,-0.0013612903225806456,38.806451612903224
1326,6828,-6108,7,11,18,38.89,-0.004994444444444445,30.555555555555557
1337,4233,-12343,8,17,25,32.0,-0.027416,16.2
1338,11181,-63921,6,16,22,27.27,-0.02881363636363636,22.727272727272727
1339,3631,-28161,3,9,12,25.0,-0.041875,25.5
1340,4648,-18098,3,12,15,20.0,-0.037373333333333335,37.4
1341,359,3741,1,0,1,100.0,0.0644,57.0
1342,928,3052,1,1,2,50.0,0.008800000000000002,41.0
1402,10096,-17486,19,36,55,34.55,-0.009743636363636371,24.727272727272727
1409,3654,4736,25,27,52,48.08,0.01253076923076923,24.75
