EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2006-12-04,2006-12-25,33.5,33.9,48,48,0,102,198,21,202,0.006,33.95,0.0134,32.3,-0.0358,0.08011244976042509
2007-11-15,2007-11-27,26.65,24.4,38,35,0,73,146,12,-2396,-0.0899,26.65,0.0,25.1,-0.0582,0.19574372722914712
2008-11-24,2008-12-23,6.08,6.65,20,20,0,20,60,29,510,0.0839,6.93,0.1398,6.08,0.0,0.3325260879302754
2010-04-23,2010-05-04,17.4,15.9,25,23,0,48,96,11,-1596,-0.0917,17.4,0.0,15.8,-0.092,0.13624340168189786
2010-05-13,2010-05-24,14.95,13.7,21,20,0,41,82,11,-1332,-0.0891,14.95,0.0,13.5,-0.097,0.24429152497304352
2011-02-09,2011-02-11,11.05,10.8,20,20,0,32,72,2,-322,-0.0291,11.05,0.0,10.8,-0.0226,0.09252884131739636
2011-08-16,2011-09-07,7.49,7.72,20,20,0,23,63,22,167,0.0223,7.78,0.0387,7.31,-0.024,0.38683233298983644
2012-07-31,2012-08-20,5.62,5.26,20,20,0,16,56,20,-416,-0.074,5.62,0.0,5.2,-0.0747,0.14312714051138853
2012-10-24,2012-10-29,5.22,5.0,20,20,0,15,55,5,-275,-0.0527,5.26,0.0077,5.0,-0.0421,0.08237422311377318
2013-08-13,2013-08-19,5.75,5.7,20,20,0,17,57,6,-107,-0.0186,5.81,0.0104,5.7,-0.0087,0.13454003414006532
2016-11-16,2016-12-13,6.27,5.81,20,20,0,17,57,27,-517,-0.0825,6.27,0.0,5.8,-0.075,0.19458841363337065
2017-03-20,2017-03-23,6.32,6.23,20,20,0,19,59,3,-149,-0.0236,6.35,0.0047,6.22,-0.0158,0.11952703115232621
2018-10-17,2018-10-30,7.0,6.22,20,20,0,19,59,13,-839,-0.1199,7.0,0.0,6.33,-0.0957,0.3812405406332502
2019-02-11,2019-03-05,6.51,6.62,20,20,0,20,60,22,50,0.0077,6.79,0.043,6.51,0.0,0.10230439563271676
2021-06-28,2021-06-30,9.5,9.16,20,20,0,27,67,2,-407,-0.0428,9.5,0.0,9.13,-0.0389,0.14907264008297982
2021-08-24,2021-08-31,8.65,8.43,20,20,0,25,65,7,-285,-0.0329,8.65,0.0,8.28,-0.0428,0.19091753557839142
