代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日),平均帶寬
1101,2881,-3631,7,8,15,46.67,-0.001973333333333333,21.0,0.1601016361382882
1102,2518,4182,8,5,13,61.54,0.02330769230769231,22.307692307692307,0.2541871179447722
1103,1138,-2738,3,8,11,27.27,-0.009327272727272724,14.909090909090908,0.1858825714632306
1104,1377,6023,2,10,12,16.67,0.019158333333333333,16.583333333333332,0.1497570423837156
1108,1110,-4800,4,13,17,23.53,-0.03242941176470588,20.470588235294116,0.1685527882614747
1109,553,1347,4,4,8,50.0,0.016212499999999998,22.875,0.22011499529992304
1110,236,-176,1,3,4,25.0,-0.007,10.5,0.2227733087354407
1201,2851,-6831,9,13,22,40.91,-0.013840909090909096,16.772727272727273,0.2494490842261439
1203,1488,-5928,5,7,12,41.67,-0.02071666666666667,21.916666666666668,0.18975055632176616
1210,1815,11685,6,5,11,54.55,0.04639090909090909,23.545454545454547,0.16988203000822275
1213,1510,-4070,7,8,15,46.67,-0.0038399999999999992,20.8,0.20892800681278245
1215,2852,13918,11,11,22,50.0,0.006363636363636364,17.818181818181817,0.19890924697607423
1216,5345,-18845,9,16,25,36.0,-0.013031999999999998,18.92,0.1675640953865302
1217,1193,7727,11,7,18,61.11,0.06821111111111113,24.666666666666668,0.19227597856298997
1218,1313,-633,9,8,17,52.94,-0.002764705882352941,21.88235294117647,0.18876925529243085
1219,55,-95,0,1,1,0.0,-0.0186,3.0,0.16721098266330792
1220,736,-1866,4,7,11,36.36,-0.012190909090909087,13.454545454545455,0.1550488622562697
1225,1544,-4984,3,5,8,37.5,-0.0036,25.5,0.15816249875256272
1227,64,186,1,0,1,100.0,0.0237,19.0,0.08981361542538413
1229,260,-2360,0,3,3,0.0,-0.05203333333333334,25.666666666666668,0.24787040877463107
1231,212,-2162,1,2,3,33.33,-0.050566666666666676,13.666666666666666,0.2638221412721773
1232,628,-578,3,1,4,75.0,0.019150000000000007,26.5,0.17936180570930704
1233,0,0,0,0,0,0.0,,,
1234,390,2140,2,3,5,40.0,0.029919999999999995,20.2,0.2638916622518005
1235,277,-1877,0,2,2,0.0,-0.03945,12.0,0.17397587667931458
1236,487,2513,2,3,5,40.0,0.016440000000000003,23.8,0.1976167165316487
1256,15902,5898,6,7,13,46.15,0.01698461538461538,22.76923076923077,0.17183399797591614
1301,4811,10989,7,5,12,58.33,0.014849999999999997,18.083333333333332,0.22547223502133992
1303,4752,-252,5,8,13,38.46,-0.0015230769230769243,14.538461538461538,0.14715974002539037
1304,153,2147,2,0,2,100.0,0.1014,22.5,0.34926910514159315
1305,1730,1810,8,11,19,42.11,0.0014947368421052618,22.842105263157894,0.28933758252201575
1307,1647,-7597,3,10,13,23.08,-0.02666153846153846,21.076923076923077,0.19101212950441568
1308,2380,2920,11,10,21,52.38,0.016561904761904764,21.523809523809526,0.18290687178100412
1309,1468,1892,7,12,19,36.84,0.019331578947368415,13.0,0.22826791608761313
1310,1099,-3459,6,5,11,54.55,0.004190909090909093,18.363636363636363,0.2567650251023885
1312,2769,-10899,8,21,29,27.59,-0.022634482758620685,14.0,0.2371440051482997
1313,1290,130,6,8,14,42.86,0.0008500000000000006,18.357142857142858,0.17996824358007532
1314,1863,5657,10,15,25,40.0,0.029296,18.84,0.2403291688909595
1315,839,2861,6,1,7,85.71,0.030014285714285716,22.0,0.17781113772855897
1316,300,-1230,1,5,6,16.67,-0.061266666666666664,17.333333333333332,0.3290888814765771
1319,5455,-33205,7,17,24,29.17,-0.035899999999999994,16.375,0.20549046818375258
1321,1554,4446,8,6,14,57.14,0.023914285714285714,21.285714285714285,0.2788909383511528
1323,1474,-2174,4,6,10,40.0,-0.005779999999999999,20.1,0.16390991671343322
1324,1157,1683,7,8,15,46.67,0.019133333333333336,21.733333333333334,0.21589611318212915
1325,424,276,3,3,6,50.0,-0.0012166666666666645,18.5,0.18826195601172224
1326,6847,10253,8,9,17,47.06,0.010535294117647056,17.88235294117647,0.18199061966914723
1337,3190,-24470,7,11,18,38.89,-0.02538333333333333,15.333333333333334,0.18373147937210788
1338,5655,17895,7,5,12,58.33,0.041291666666666664,15.833333333333334,0.24984592338630515
1339,1349,-4249,1,5,6,16.67,-0.01693333333333333,23.666666666666668,0.1437944673099908
1340,3034,-18634,2,6,8,25.0,-0.020325000000000003,13.0,0.2025740300052151
1341,347,2153,1,0,1,100.0,0.0374,18.0,0.1494266365917376
1342,679,1321,2,0,2,100.0,0.012150000000000001,7.5,0.24261530935690223
1402,1613,1887,5,5,10,50.0,0.008720000000000002,28.4,0.13401402518387634
1409,1558,-3618,8,14,22,36.36,-0.004759090909090908,12.772727272727273,0.21491604523996344
1410,1240,-2240,6,11,17,35.29,-0.005964705882352941,21.764705882352942,0.1707453426378104
1413,449,-1149,2,7,9,22.22,-0.04406666666666667,17.0,0.32602769565515377
1414,47,-197,0,1,1,0.0,-0.0752,15.0,0.4110105100400294
1416,365,1965,4,2,6,66.67,0.11299999999999999,24.5,0.267422075509364
1417,1140,-200,8,11,19,42.11,-0.0075421052631578925,18.157894736842106,0.23624831935952406
1418,352,-1532,0,7,7,0.0,-0.07104285714285714,10.857142857142858,0.4045798095687781
1419,1102,10598,3,5,8,37.5,0.083675,18.875,0.24019570191994072
1423,760,-880,5,8,13,38.46,-0.016476923076923077,17.846153846153847,0.1955340866596673
1432,0,0,0,0,0,0.0,,,
1434,1608,-10908,2,9,11,18.18,-0.04499090909090909,14.181818181818182,0.18963751988562194
1435,646,-1806,4,7,11,36.36,0.0011000000000000025,24.545454545454547,0.29973567674748414
1436,635,3545,5,2,7,71.43,0.05561428571428571,26.285714285714285,0.15532438358507936
1437,743,-4503,2,6,8,25.0,-0.031725,12.5,0.2989277123300113
1438,0,0,0,0,0,0.0,,,
1439,3065,-3685,11,13,24,45.83,0.005395833333333332,22.208333333333332,0.19880554824831864
1440,1018,-2368,7,7,14,50.0,-0.006464285714285714,15.928571428571429,0.2374037973524738
1441,0,0,0,0,0,0.0,,,
1442,161,-721,0,3,3,0.0,-0.049066666666666675,15.0,0.3129672001080579
1443,453,-83,3,6,9,33.33,-0.002055555555555552,21.0,0.2174156008639609
1444,1064,76,8,8,16,50.0,-0.011449999999999998,21.0,0.24578357193695335
1445,701,1499,4,7,11,36.36,0.024118181818181816,20.636363636363637,0.24652414218584473
