代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日),平均帶寬
2338,947,3103,8,2,10,80.0,0.018779999999999998,15.6,0.1895837777119677
3551,2279,10721,7,3,10,70.0,0.02555,17.1,0.17928946939975574
5013,1255,3995,7,4,11,63.64,0.01828181818181818,14.909090909090908,0.12303528555758868
4944,1007,10263,7,4,11,63.64,0.08336363636363636,15.909090909090908,0.28803240365381105
3527,10441,43659,10,6,16,62.5,0.0297125,15.375,0.23352144374827957
4739,6126,65724,10,6,16,62.5,0.06163125,18.1875,0.3107379227641153
5009,1444,-1064,8,5,13,61.54,0.0076230769230769225,15.076923076923077,0.2050816635226584
3680,9414,49836,8,5,13,61.54,0.011984615384615383,17.076923076923077,0.27057793775213934
8464,23193,66807,8,5,13,61.54,0.02354615384615384,17.153846153846153,0.1423142910764417
6117,1981,4319,11,7,18,61.11,0.0299,17.72222222222222,0.25724421213482423
3013,1454,246,9,6,15,60.0,0.0033799999999999998,16.133333333333333,0.19370919535105222
6419,1276,10684,6,4,10,60.0,0.05399,12.3,0.18974678734902412
3189,9507,22493,10,7,17,58.82,0.021805882352941175,17.823529411764707,0.18403739130823005
1338,5655,17895,7,5,12,58.33,0.041291666666666664,15.833333333333334,0.24984592338630515
1301,4811,10989,7,5,12,58.33,0.014849999999999997,18.083333333333332,0.22547223502133992
2880,1613,-1613,7,5,12,58.33,0.0034666666666666704,16.083333333333332,0.17164744458347447
8201,1409,1551,7,5,12,58.33,0.02266666666666667,14.25,0.23754852840142696
3443,11740,31060,7,5,12,58.33,0.016708333333333332,17.416666666666668,0.38023480199207477
3037,3744,14806,9,7,16,56.25,0.025999999999999995,16.75,0.35310623767339083
4306,1528,2752,9,7,16,56.25,0.00876875,14.75,0.17564233968177703
3556,6064,-16364,9,7,16,56.25,-0.014131250000000003,15.8125,0.32685590784903124
6282,3471,1479,14,11,25,56.0,0.0011640000000000025,17.2,0.21296884962870805
2409,2862,4238,10,8,18,55.56,0.02361111111111111,17.833333333333332,0.20077629098474503
8044,21259,-73359,11,9,20,55.0,0.006345000000000001,16.4,0.24666703034200213
1455,1357,2093,11,9,20,55.0,0.023455,17.15,0.24221460758919627
8150,2055,-3805,6,5,11,54.55,-0.009827272727272728,18.0,0.19986755230857042
2852,947,-1397,6,5,11,54.55,-0.0025909090909090877,17.09090909090909,0.16589134491145532
4102,3315,-9765,13,11,24,54.17,0.0022333333333333315,14.166666666666666,0.20171662308651647
8436,19945,-31645,7,6,13,53.85,0.011215384615384615,16.692307692307693,0.23667581048167777
3209,1746,-1346,7,6,13,53.85,-0.0035153846153846164,15.615384615384615,0.24799121689424247
4915,3349,901,7,6,13,53.85,0.016976923076923077,15.307692307692308,0.1693398158814014
3062,4188,5712,14,12,26,53.85,0.004046153846153844,16.846153846153847,0.23475070478435886
8034,928,-1268,7,6,13,53.85,0.010769230769230765,18.0,0.205129088070799
2481,5150,22990,15,13,28,53.57,0.01624642857142857,17.821428571428573,0.25663615643045207
5227,2883,17927,8,7,15,53.33,0.04034666666666666,14.8,0.2693730471151211
3035,4949,-1899,8,7,15,53.33,0.002573333333333334,17.4,0.22521156954655694
2427,1157,3203,8,7,15,53.33,0.01975333333333333,18.0,0.30321913895146047
8033,1526,3254,8,7,15,53.33,0.01484,17.066666666666666,0.20704879983517863
4735,4127,48173,8,7,15,53.33,0.03588,16.333333333333332,0.20866292312307708
1590,32634,-22134,8,7,15,53.33,-0.004833333333333333,13.066666666666666,0.17489794695205657
4119,5930,6070,9,8,17,52.94,0.005852941176470587,15.470588235294118,0.21079574625554864
3324,5330,29220,9,8,17,52.94,0.017882352941176467,16.0,0.2655145754476418
2493,1873,287,9,8,17,52.94,0.006364705882352942,17.058823529411764,0.23535516596539008
6605,9072,9378,9,8,17,52.94,0.008988235294117646,17.764705882352942,0.19060840794021128
3227,13907,47593,9,8,17,52.94,0.006952941176470589,17.294117647058822,0.3053226436393072
8016,11366,-52166,9,8,17,52.94,-0.0010235294117647033,14.294117647058824,0.21212817149516164
3083,9415,9335,11,10,21,52.38,0.01390476190476191,15.238095238095237,0.2688295204484306
9907,1852,3078,11,10,21,52.38,0.03421428571428572,16.333333333333332,0.21247826825133825
2323,1357,-247,11,10,21,52.38,-0.004299999999999999,17.19047619047619,0.22056007834807045
6173,3641,7869,12,11,23,52.17,0.0066999999999999985,17.17391304347826,0.337138715723486
2313,3269,-5049,14,13,27,51.85,0.0025,17.11111111111111,0.19957742295854497
2367,2685,3385,14,13,27,51.85,0.00433703703703704,16.48148148148148,0.21628959342450513
