EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding,SignalBandwith
2002-10-14,2002-10-22,23.6,25.6,34,36,0,77,147,8,1853,0.0785,25.8,0.0932,23.6,0.0,0.16795444570005635
2010-05-28,2010-06-14,60.6,65.9,86,94,0,198,378,17,4922,0.0812,66.0,0.0891,60.6,0.0,0.28619455365081725
2011-03-18,2011-04-01,83.8,95.0,119,135,0,285,539,14,10661,0.1272,95.4,0.1384,83.8,0.0,0.15005840654180624
2012-10-31,2012-11-07,57.3,64.0,82,91,0,192,365,7,6335,0.1106,63.3,0.1047,57.3,0.0,0.15952686707872932
2013-01-21,2013-01-28,62.9,62.1,90,88,0,186,364,7,-1164,-0.0185,62.9,0.0,61.6,-0.0207,0.0794938232256559
2014-12-30,2015-01-07,82.5,83.0,118,118,0,249,485,8,15,0.0002,83.4,0.0109,81.4,-0.0133,0.048702440215193876
2015-05-08,2015-06-16,70.9,63.4,101,90,0,190,381,39,-7881,-0.1112,70.9,0.0,63.0,-0.1114,0.18299208161888547
2015-08-27,2015-09-08,52.6,55.6,75,79,0,167,321,12,2679,0.0509,58.5,0.1122,52.6,0.0,0.28258509431722256
2016-07-06,2016-08-01,76.5,80.5,109,115,0,242,466,26,3534,0.0462,83.5,0.0915,76.5,0.0,0.06814411092371175
2018-10-16,2018-10-26,128.0,116.5,182,166,0,350,698,10,-12198,-0.0953,128.0,0.0,110.5,-0.1367,0.38636310906455185
2019-08-12,2019-09-24,147.5,159.5,210,227,0,479,916,43,11084,0.0751,163.5,0.1085,147.5,0.0,0.23734744152626486
2020-03-04,2020-03-13,142.0,113.0,202,161,0,339,702,9,-29702,-0.2092,142.0,0.0,121.0,-0.1479,0.17740312556786408
2021-05-17,2021-06-09,178.0,196.0,254,279,0,588,1121,23,16879,0.0948,198.0,0.1124,178.0,0.0,0.26365038437949817
