EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2013-09-23,2013-09-30,97.5,108.0,139,154,0,324,617,7,9883,0.1014,107.5,0.1026,97.5,0.0
2014-06-30,2014-07-08,55.3,47.65,79,68,0,143,290,8,-7940,-0.1436,55.3,0.0,47.65,-0.1383
2014-07-16,2014-08-07,48.4,42.9,69,61,0,129,259,22,-5759,-0.119,48.4,0.0,42.2,-0.1281
2014-08-14,2014-09-10,40.3,44.2,57,63,0,133,253,27,3647,0.0905,45.3,0.1241,40.3,0.0
2016-01-19,2016-02-23,14.2,15.85,20,23,0,48,91,35,1559,0.1098,15.9,0.1197,14.2,0.0
2016-05-18,2016-06-07,13.3,16.35,20,23,0,49,92,20,2958,0.2224,15.75,0.1842,13.3,0.0
2017-12-11,2018-02-07,44.05,39.9,63,57,0,120,240,58,-4390,-0.0997,44.05,0.0,37.8,-0.1419
2018-02-22,2018-03-16,37.6,41.5,54,59,0,124,237,22,3663,0.0974,42.45,0.129,37.6,0.0
2019-11-19,2020-01-31,91.7,76.0,131,108,0,228,467,73,-16167,-0.1763,91.7,0.0,76.4,-0.1668
2020-02-06,2020-03-10,73.2,57.5,104,82,0,173,359,33,-16059,-0.2194,73.2,0.0,60.3,-0.1762
2021-05-19,2021-05-26,42.2,45.5,60,65,0,136,261,7,3039,0.072,47.25,0.1197,42.2,0.0
