代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,1571,1329,4,3,7,57.14,0.00735714285714286,57.285714285714285
1102,1758,21142,7,1,8,87.5,0.0782,70.0
1103,700,5710,6,2,8,75.0,0.046,78.25
1104,325,-3625,1,2,3,33.33,-0.05246666666666668,150.33333333333334
1108,267,-1587,1,3,4,25.0,-0.04065,208.5
1109,456,3964,4,1,5,80.0,0.047319999999999994,58.2
1110,265,1085,2,1,3,66.67,0.027666666666666662,82.33333333333333
1201,1001,-8501,3,4,7,42.86,-0.029242857142857147,88.71428571428571
1203,481,6619,3,0,3,100.0,0.09013333333333334,233.0
1210,434,266,2,1,3,66.67,0.022266666666666667,60.333333333333336
1213,582,-2132,2,3,5,40.0,-0.013420000000000001,34.4
1215,1667,-8817,4,3,7,57.14,-0.015757142857142855,76.14285714285714
1216,2632,30268,6,1,7,85.71,0.07457142857142855,140.57142857142858
1217,378,372,4,2,6,66.67,0.01611666666666667,82.5
1218,706,12544,6,0,6,100.0,0.10578333333333334,149.83333333333334
1219,219,4081,2,0,2,100.0,0.11525,86.5
1220,457,1733,4,2,6,66.67,0.024666666666666667,185.83333333333334
1225,639,8861,4,0,4,100.0,0.1032,113.0
1227,2512,-21362,2,4,6,33.33,-0.04723333333333333,267.1666666666667
1229,478,3122,2,1,3,66.67,0.0222,238.66666666666666
1231,906,-56,2,2,4,50.0,0.006425000000000004,89.5
1232,1807,-607,2,2,4,50.0,-0.006099999999999998,156.5
1233,1145,-5845,2,3,5,40.0,-0.029920000000000002,401.4
1234,531,-10431,0,3,3,0.0,-0.10656666666666666,242.33333333333334
1235,362,-1462,1,1,2,50.0,-0.048600000000000004,7.0
1236,363,-3363,1,3,4,25.0,-0.042975,257.75
1256,10890,-4890,6,3,9,66.67,0.03846666666666666,34.666666666666664
1301,1258,6442,2,1,3,66.67,0.033499999999999995,23.333333333333332
1303,2391,17659,5,1,6,83.33,0.0516,97.83333333333333
1304,473,-1123,3,2,5,60.0,-0.003720000000000001,73.4
1305,549,-1599,2,2,4,50.0,-0.025975,42.75
1307,488,2912,2,1,3,66.67,0.02463333333333333,107.33333333333333
1308,849,-8899,2,5,7,28.57,-0.05675714285714285,67.0
1309,578,4932,5,1,6,83.33,0.060700000000000004,63.0
1310,454,5616,5,0,5,100.0,0.08558,33.0
1312,750,-7200,3,5,8,37.5,-0.0447125,29.75
1313,737,-1077,5,4,9,55.56,0.0031999999999999976,79.88888888888889
