代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
2323,583,3077,8,2,10,80.0,0.054749999999999986,52.7
2368,1004,8546,8,2,10,80.0,0.04628,11.9
2406,1105,6645,8,2,10,80.0,0.047939999999999997,17.5
2316,1292,15758,8,2,10,80.0,0.06816,58.3
2505,1140,3260,9,3,12,75.0,0.044074999999999996,37.25
3050,822,2328,9,3,12,75.0,0.02590000000000001,30.75
1742,1291,13159,8,3,11,72.73,0.10370909090909092,21.272727272727273
3563,8778,68872,8,3,11,72.73,0.044463636363636365,28.727272727272727
3360,1075,6675,8,3,11,72.73,0.04553636363636364,15.727272727272727
1532,1852,7848,7,3,10,70.0,0.03266,62.5
6016,637,2653,7,3,10,70.0,0.03134,55.7
4728,3129,26621,7,3,10,70.0,0.05,38.5
3324,4599,68151,7,3,10,70.0,0.03866,23.3
9914,9145,24355,7,3,10,70.0,0.022909999999999996,39.1
5469,1450,10890,7,3,10,70.0,0.04638,55.7
4142,1736,6964,7,3,10,70.0,0.02133,33.3
4979,2297,4703,8,4,12,66.67,0.006508333333333335,16.416666666666668
4108,2133,5217,9,5,14,64.29,0.0021214285714285736,42.357142857142854
2731,7599,29301,9,5,14,64.29,0.02225,50.42857142857143
3176,4149,18401,7,4,11,63.64,0.0411909090909091,24.636363636363637
4529,1430,5870,7,4,11,63.64,0.015590909090909093,35.81818181818182
4946,2997,1053,7,4,11,63.64,0.035036363636363636,39.18181818181818
6246,973,9667,7,4,11,63.64,0.05340909090909091,23.545454545454547
8937,928,2822,7,4,11,63.64,0.023463636363636364,67.45454545454545
