EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2002-10-02,2002-10-30,8.6,9.5,20,20,0,28,68,28,832,0.0967,9.5,0.1047,8.6,0.0
2003-03-17,2003-04-29,11.0,9.4,20,20,0,28,68,43,-1668,-0.1516,11.0,0.0,9.4,-0.1455
2004-03-26,2004-04-05,11.4,12.5,20,20,0,38,78,10,1022,0.0896,12.6,0.1053,11.4,0.0
2005-04-12,2005-04-22,11.75,10.6,20,20,0,32,72,10,-1222,-0.104,11.75,0.0,10.5,-0.1064
2005-10-03,2005-10-26,9.8,8.2,20,20,0,25,65,23,-1665,-0.1699,9.8,0.0,8.71,-0.1112
2008-09-25,2008-10-23,13.6,11.9,20,20,0,36,76,28,-1776,-0.1306,13.6,0.0,12.05,-0.114
2008-11-03,2009-03-19,11.0,11.9,20,20,0,36,76,136,824,0.0749,12.15,0.1045,11.0,0.0
2014-03-14,2014-09-29,22.85,20.55,33,29,0,62,124,199,-2424,-0.1061,22.85,0.0,20.5,-0.1028
2014-10-21,2015-03-17,20.4,21.6,29,31,0,65,125,147,1075,0.0527,22.6,0.1078,20.4,0.0
2015-08-07,2016-03-02,20.85,23.0,30,33,0,69,132,208,2018,0.0968,22.95,0.1007,20.85,0.0
2017-07-26,2017-09-05,26.45,29.3,38,42,0,88,168,41,2682,0.1014,29.15,0.1021,26.45,0.0
2018-07-26,2019-04-23,33.9,37.3,48,53,0,112,213,271,3187,0.094,37.3,0.1003,33.9,0.0
2020-03-30,2021-03-29,30.8,34.0,44,48,0,102,194,364,3006,0.0976,34.1,0.1071,30.8,0.0
