EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2004-08-12,2004-08-20,7.25,6.9,20,20,0,21,61,8,-411,-0.0567,7.25,0.0,6.3,-0.131
2005-03-29,2005-04-06,6.6,5.65,20,20,0,17,57,8,-1007,-0.1526,6.6,0.0,5.6,-0.1515
2006-03-16,2006-04-14,4.95,5.46,20,20,0,16,56,29,454,0.0917,5.49,0.1091,4.95,0.0
2007-01-17,2007-02-27,8.45,10.05,20,20,0,30,70,41,1530,0.1811,9.42,0.1148,8.45,0.0
2007-10-30,2007-11-09,13.65,12.45,20,20,0,37,77,10,-1277,-0.0936,13.65,0.0,12.1,-0.1136
2007-11-15,2007-11-28,12.9,12.0,20,20,0,36,76,13,-976,-0.0757,12.9,0.0,11.5,-0.1085
2007-12-26,2007-12-31,9.8,11.2,20,20,0,34,74,5,1326,0.1353,11.1,0.1327,9.8,0.0
2008-06-17,2008-06-26,13.7,12.9,20,20,0,39,79,9,-879,-0.0642,13.7,0.0,12.3,-0.1022
2008-07-04,2008-07-17,11.15,10.5,20,20,0,32,72,13,-722,-0.0648,11.15,0.0,10.0,-0.1031
2010-01-29,2010-02-08,23.2,20.05,33,29,0,60,122,10,-3272,-0.141,23.2,0.0,20.1,-0.1336
2010-02-10,2010-03-09,22.1,23.8,31,34,0,71,136,27,1564,0.0708,24.35,0.1018,22.1,0.0
2010-09-15,2010-12-29,27.0,31.0,38,44,0,93,175,105,3825,0.1417,30.35,0.1241,27.0,0.0
2011-03-21,2011-04-18,27.35,30.2,39,43,0,91,173,28,2677,0.0979,30.1,0.1005,27.35,0.0
2011-12-22,2012-01-13,13.6,14.8,20,21,0,44,85,22,1115,0.082,15.0,0.1029,13.6,0.0
2012-04-09,2012-08-29,13.6,14.75,20,21,0,44,85,142,1065,0.0783,15.55,0.1434,13.6,0.0
2014-07-31,2014-10-30,16.25,15.1,23,22,0,45,90,91,-1240,-0.0763,16.25,0.0,14.55,-0.1046
2018-07-11,2018-12-18,24.8,27.0,35,38,0,81,154,160,2046,0.0825,27.3,0.1008,24.8,0.0
2020-03-25,2020-05-04,34.4,37.5,49,53,0,112,214,40,2886,0.0839,38.15,0.109,34.4,0.0
2021-01-28,2021-03-18,46.5,51.6,66,74,0,155,295,49,4805,0.1033,51.9,0.1161,46.5,0.0
2021-05-19,2022-02-14,47.6,52.2,68,74,0,157,299,271,4301,0.0904,52.8,0.1092,47.6,0.0
