代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1101,4385,17415,16,8,24,66.67,0.02794166666666667,46.375
1102,4287,34563,17,6,23,73.91,0.05294782608695652,75.17391304347827
1103,2399,5921,17,10,27,62.96,0.019311111111111116,48.666666666666664
1104,2346,3304,15,9,24,62.5,0.01580416666666667,81.58333333333333
1108,1232,4838,13,6,19,68.42,0.03773684210526316,88.57894736842105
1109,1015,3435,8,5,13,61.54,0.010084615384615385,54.07692307692308
1110,1117,4583,10,5,15,66.67,0.02955333333333333,31.933333333333334
1201,3181,8589,15,8,23,65.22,0.026517391304347823,53.30434782608695
1203,0,0,0,0,0,0.0,,
1210,3250,7050,13,8,21,61.9,0.019419047619047617,52.523809523809526
1213,2346,-4876,12,12,24,50.0,-0.008037500000000005,63.916666666666664
1215,3199,-12459,13,11,24,54.17,-0.0063208333333333285,48.125
1216,3899,37501,12,3,15,80.0,0.06242,98.0
1217,1772,1648,16,11,27,59.26,0.01118888888888889,48.851851851851855
1218,2056,20314,19,6,25,76.0,0.048796000000000006,53.32
1219,958,7392,9,3,12,75.0,0.04533333333333334,41.583333333333336
1220,953,-3,7,7,14,50.0,-0.006814285714285711,111.71428571428571
1225,3064,12146,15,8,23,65.22,0.02876086956521739,48.47826086956522
1227,5671,-10221,11,8,19,57.89,0.012005263157894736,128.6315789473684
1229,2444,5306,11,10,21,52.38,-0.005823809523809525,91.33333333333333
1231,2669,-5799,11,8,19,57.89,0.013105263157894734,45.31578947368421
1232,3482,9968,7,5,12,58.33,0.008333333333333333,124.16666666666667
1233,2004,-7904,4,5,9,44.44,-0.013944444444444445,317.0
1234,2703,-10193,9,12,21,42.86,-0.0312047619047619,100.76190476190476
1235,1979,13771,8,4,12,66.67,0.031366666666666675,52.25
1236,1375,3175,8,6,14,57.14,0.015492857142857138,126.0
1256,18195,-125695,7,7,14,50.0,-0.00359285714285714,36.5
1301,7169,25281,11,6,17,64.71,0.02254705882352941,63.411764705882355
1303,6988,18912,13,7,20,65.0,0.018025,74.75
1304,2896,-276,18,11,29,62.07,0.012358620689655174,41.172413793103445
1305,2354,-8664,13,13,26,50.0,-0.02155769230769231,23.5
1307,3822,2228,16,11,27,59.26,0.009922222222222221,72.07407407407408
1308,3548,7802,17,12,29,58.62,0.010472413793103447,55.93103448275862
1309,2244,-3044,14,15,29,48.28,-0.01077241379310345,35.827586206896555
1310,3195,8935,20,11,31,64.52,0.02294193548387097,32.193548387096776
1312,2370,-1830,15,13,28,53.57,0.006903571428571427,20.178571428571427
1313,2688,-4438,17,15,32,53.12,0.00037812499999999825,50.375
1314,3040,-10260,18,18,36,50.0,-0.01938888888888889,36.388888888888886
1315,1967,19483,6,6,12,50.0,0.011050000000000004,50.666666666666664
1316,1193,-6123,10,7,17,58.82,0.007717647058823527,36.76470588235294
1319,6865,-3815,17,16,33,51.52,-0.0020575757575757546,33.696969696969695
1321,4476,10624,18,13,31,58.06,0.013348387096774193,61.45161290322581
1323,3285,8045,14,8,22,63.64,0.025218181818181817,68.95454545454545
1324,2258,-8358,12,15,27,44.44,-0.009037037037037033,58.333333333333336
1325,4055,-10445,12,12,24,50.0,-0.0093875,57.625
1326,6283,46567,12,5,17,70.59,0.03566470588235294,55.94117647058823
1337,3611,-22611,6,17,23,26.09,-0.06137391304347825,49.08695652173913
1338,5330,-41030,6,6,12,50.0,-0.02449166666666666,55.5
1339,2016,-19616,3,5,8,37.5,-0.0418875,56.375
1340,4654,-47554,6,11,17,35.29,-0.03921176470588235,58.05882352941177
1341,0,0,0,0,0,0.0,,
1342,318,4682,1,0,1,100.0,0.0923,35.0
1402,3625,2175,14,9,23,60.87,0.010504347826086958,63.869565217391305
1409,1339,6841,15,5,20,75.0,0.041354999999999996,55.45
1410,1526,6854,11,5,16,68.75,0.03509375,102.9375
1413,1754,26,14,18,32,43.75,-0.005034375000000004,34.84375
1414,1720,2850,18,11,29,62.07,0.02451379310344827,38.310344827586206
1416,2343,-7873,15,16,31,48.39,-0.006506451612903225,39.096774193548384
1417,1875,2675,18,12,30,60.0,0.015283333333333331,54.766666666666666
1418,1096,-1736,10,10,20,50.0,-0.01884,35.8
1419,2843,557,9,10,19,47.37,-0.013978947368421056,28.789473684210527
1423,1334,2026,12,10,22,54.55,0.0062090909090909115,56.27272727272727
1432,1486,-2316,8,9,17,47.06,-0.0005882352941176475,28.941176470588236
1434,2474,-4824,9,8,17,52.94,0.00043529411764705824,99.47058823529412
1435,1379,8471,13,9,22,59.09,0.04019090909090909,32.22727272727273
1436,1617,8873,12,1,13,92.31,0.0741076923076923,128.92307692307693
1437,2965,-6445,13,17,30,43.33,-0.014510000000000004,38.766666666666666
1438,529,-3349,4,6,10,40.0,-0.03529,20.3
1439,2727,-2737,13,11,24,54.17,0.005670833333333333,38.125
1440,1846,-7166,13,11,24,54.17,-0.009379166666666668,61.666666666666664
1441,1525,2805,14,11,25,56.0,0.054368,41.32
1442,2165,-11845,9,11,20,45.0,-0.020009999999999997,65.1
1443,1280,-1090,12,12,24,50.0,-0.008266666666666663,30.875
1444,2169,1321,17,16,33,51.52,-0.007742424242424241,36.03030303030303
1445,1163,-1763,10,9,19,52.63,-0.00813157894736842,65.0
1446,2979,7631,15,12,27,55.56,0.03156296296296296,36.96296296296296
1447,1978,-4068,17,14,31,54.84,-0.0015516129032258075,43.03225806451613
1449,1298,-2338,11,12,23,47.83,-0.013756521739130428,22.391304347826086
1451,2553,-15383,8,13,21,38.1,-0.03021428571428571,63.904761904761905
1452,2215,-7015,13,15,28,46.43,-0.019667857142857147,48.142857142857146
1453,721,4529,10,2,12,83.33,0.07194166666666665,40.166666666666664
1454,1216,4964,15,5,20,75.0,0.04084,54.7
1455,2070,-9320,14,18,32,43.75,-0.021815624999999998,50.53125
1456,1008,-5898,4,14,18,22.22,-0.05747777777777779,24.38888888888889
1457,1710,3540,17,10,27,62.96,0.007929629629629628,48.370370370370374
1459,1698,5232,16,9,25,64.0,0.018444000000000002,44.76
1460,1699,-7639,11,15,26,42.31,-0.030834615384615384,50.03846153846154
1463,1754,-5884,12,13,25,48.0,-0.026951999999999997,31.2
1464,2366,174,17,9,26,65.38,0.015923076923076922,48.30769230769231
1465,1359,13251,13,4,17,76.47,0.059576470588235286,97.05882352941177
1466,2331,-6551,12,15,27,44.44,-0.020477777777777775,37.888888888888886
1467,1836,8154,16,9,25,64.0,0.033964,43.36
1468,1050,2130,8,6,14,57.14,0.013385714285714289,80.35714285714286
1470,229,-389,2,2,4,50.0,-0.002525000000000003,33.0
1471,3463,-4283,19,18,37,51.35,-0.007702702702702704,25.945945945945947
1472,2345,-9715,8,17,25,32.0,-0.029348,24.88
1473,4959,-4559,14,14,28,50.0,-0.006721428571428571,96.96428571428571
1474,1622,-5972,11,13,24,45.83,-0.022362500000000004,75.375
1475,1329,2991,8,8,16,50.0,0.004981249999999999,13.375
1476,13886,75934,8,6,14,57.14,0.011478571428571432,27.142857142857142
1477,15038,-13788,12,10,22,54.55,-0.0001318181818181812,53.40909090909091
1503,2524,1376,8,6,14,57.14,1.4285714285716677e-05,112.0
1504,2404,1686,13,9,22,59.09,0.011636363636363637,54.86363636363637
1506,2573,-21023,10,16,26,38.46,-0.033830769230769234,34.42307692307692
1512,1919,7181,19,12,31,61.29,0.03395806451612904,37.096774193548384
1513,2870,27080,19,5,24,79.17,0.0472875,74.45833333333333
1514,2087,9133,20,10,30,66.67,0.02315,41.53333333333333
1515,4477,-46127,13,15,28,46.43,-0.01126785714285714,37.57142857142857
1516,1213,-6213,8,9,17,47.06,-0.026052941176470584,44.529411764705884
1517,1747,-15467,10,15,25,40.0,-0.03722000000000001,58.4
1519,3695,21305,18,10,28,64.29,0.029160714285714286,43.25
1521,8033,16607,18,12,30,60.0,0.018556666666666662,46.333333333333336
1522,4319,-11119,20,16,36,55.56,-0.007863888888888889,50.638888888888886
1524,1722,2298,13,11,24,54.17,0.011708333333333333,61.125
1525,9518,-35468,14,19,33,42.42,-0.02221818181818182,51.09090909090909
1526,2229,-7129,12,8,20,60.0,0.03579,18.05
1527,8153,-19103,14,17,31,45.16,-0.0184258064516129,37.935483870967744
1528,1693,-10293,8,14,22,36.36,-0.03220909090909091,42.36363636363637
1529,1204,586,12,9,21,57.14,0.006357142857142857,16.80952380952381
1530,5156,-2656,13,10,23,56.52,0.008234782608695652,57.21739130434783
1531,3797,-8427,14,14,28,50.0,-0.0020071428571428558,52.392857142857146
